Source;Target;Weight
11;10;5
11;27;2
11;14;3
11;17;2
11;23;17
11;32;3
11;6;24
11;9;3
11;8;9
10;11;3
10;14;4
10;17;5
10;23;3
10;32;2
10;2;1
10;6;8
10;9;2
10;8;5
27;11;2
27;14;4
27;17;2
27;23;1
27;32;1
27;22;2
27;2;5
27;6;6
27;9;1
27;8;6
14;11;1
14;10;5
14;27;2
14;22;1
14;17;20
14;16;1
14;32;4
14;2;4
14;6;3
14;9;6
14;8;15
17;11;5
17;10;7
17;27;7
17;14;22
17;16;1
17;32;8
17;2;1
17;6;5
17;9;5
17;8;13
16;10;2
16;14;1
16;17;4
16;23;1
16;32;6
16;2;3
16;6;1
16;8;5
32;11;3
32;27;2
32;14;12
32;17;11
32;2;16
32;6;6
32;9;3
32;8;10
23;11;19
23;10;6
23;27;2
23;22;3
23;17;1
23;16;3
23;32;3
23;2;9
23;6;21
23;9;1
23;8;4
22;27;3
22;14;2
22;17;1
22;23;1
2;11;6
2;10;1
2;27;3
2;14;2
2;17;8
2;16;2
2;32;10
2;23;18
2;6;11
2;8;17
6;11;37
6;10;8
6;27;4
6;14;3
6;17;4
6;23;20
6;32;9
6;22;1
6;2;8
6;9;2
6;8;35
9;11;2
9;10;4
9;27;2
9;14;5
9;17;3
9;32;4
9;2;2
9;6;2
9;8;5
8;11;15
8;10;5
8;27;7
8;14;8
8;17;10
8;16;3
8;32;10
8;23;11
8;2;16
8;6;42
8;9;7
