Source;Target;Weight
24;10;4
24;66;10
24;25;1
24;18;1
24;23;2
24;42;1
24;35;5
24;3;7
24;2;10
24;4;8
24;7;2
10;24;2
10;25;13
10;66;3
10;18;9
10;42;2
10;88;2
10;3;6
10;4;4
10;7;3
66;24;7
66;10;8
66;25;8
66;18;3
66;42;8
66;3;5
66;2;2
66;4;6
66;7;2
25;24;3
25;10;5
25;66;3
25;18;4
25;42;4
25;3;9
25;2;3
25;4;5
25;7;5
18;10;6
18;7;4
18;23;1
18;42;2
18;25;4
18;66;3
23;24;2
23;25;1
23;18;1
23;42;2
23;88;1
23;2;2
42;10;3
42;25;2
42;18;3
42;88;1
42;35;2
42;3;1
42;4;11
42;66;5
88;10;1
88;18;1
35;24;9
35;10;4
35;66;3
35;25;3
35;2;1
35;4;6
35;7;1
3;24;6
3;10;7
3;66;3
3;25;8
3;18;2
3;35;1
3;88;2
3;2;3
3;4;2
3;7;4
2;24;2
2;10;3
2;66;3
2;25;6
2;18;1
2;23;3
2;35;1
2;3;6
2;4;3
2;7;10
4;24;10
4;10;8
4;66;8
4;25;4
4;23;2
4;42;14
4;35;3
4;3;4
4;2;10
4;7;1
7;24;3
7;10;7
7;25;3
7;18;3
7;42;2
7;88;1
7;3;4
7;2;2
7;4;2
7;66;3
