Source;Target;Weight
25;8;1
25;36;2
12;27;2
12;21;9
12;17;2
12;23;1
12;18;2
12;31;13
12;36;7
12;1;8
12;5;12
12;7;7
12;8;7
21;12;10
21;17;4
21;18;4
21;31;7
21;36;12
21;1;2
21;5;9
21;7;5
21;9;3
21;8;8
17;12;4
17;21;3
17;23;1
17;18;3
17;31;10
17;1;2
17;27;1
17;5;5
17;7;5
17;9;1
17;8;4
23;8;1
23;12;2
23;21;1
23;7;2
18;12;1
18;21;2
18;31;4
18;36;6
18;1;1
18;7;2
18;9;1
18;8;5
31;12;8
31;21;10
31;17;7
31;18;6
31;36;5
31;1;3
31;5;8
31;7;4
31;9;6
31;8;17
36;25;1
36;12;4
36;21;8
36;17;2
36;18;6
36;31;5
36;5;2
36;7;9
36;9;5
36;8;7
1;12;2
1;21;1
1;17;1
1;18;1
1;31;6
1;36;3
1;27;1
1;5;5
1;9;1
1;8;1
27;8;2
27;31;1
27;12;1
27;17;2
5;12;18
5;21;7
5;17;5
5;18;1
5;31;11
5;36;1
5;1;2
5;27;2
5;7;5
5;9;1
5;8;2
7;12;1
7;21;2
7;17;4
7;23;2
7;31;2
7;36;4
7;27;3
7;5;1
7;9;11
7;8;8
9;21;3
9;17;1
9;18;5
9;31;2
9;36;2
9;7;2
9;8;5
8;25;2
8;12;3
8;21;14
8;17;8
8;23;1
8;18;7
8;31;8
8;36;9
8;27;2
8;5;2
8;7;10
8;9;1
