Source;Target;Weight
11;18;2
11;5;3
11;4;3
11;29;1
11;6;1
20;16;1
20;18;2
20;29;2
20;1;4
20;5;2
20;6;2
20;9;2
20;8;1
16;20;2
16;18;1
16;1;1
16;3;2
16;5;2
16;4;1
18;11;1
18;20;1
18;16;1
18;29;1
18;5;2
18;4;1
18;6;1
18;9;2
29;20;2
29;16;2
29;18;3
29;1;3
29;3;3
29;5;3
29;4;1
29;6;1
29;9;3
1;20;1
1;19;1
1;29;1
1;3;3
1;5;10
1;4;3
1;9;1
3;20;2
3;16;3
3;18;1
3;1;3
3;5;7
3;6;1
3;9;5
5;11;1
5;20;4
5;16;2
5;18;2
5;29;3
5;1;11
5;3;6
5;4;5
5;6;4
5;9;4
5;8;1
4;11;4
4;16;2
4;18;1
4;29;3
4;3;1
4;5;6
4;6;2
4;9;2
6;11;3
6;20;4
6;16;4
6;29;2
6;1;1
6;3;1
6;4;3
6;9;2
6;8;1
9;11;3
9;18;1
9;20;2
9;29;2
9;6;6
8;3;1
8;20;1
8;4;1
8;6;2
