Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 30 September 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Malmö New Stadium - Malmö,,,,,,,,,,,,,,,,,,,,,,,,,
,Malmö FF,,,,,,,,,0 - 2,,,,,,,Real Madrid CF,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,6,8,9,13,17,20,21,23,28,19,25,PC,PA,PC,PA,PC,PA,PC,PA,%,
Johan Wiland,1,"93'09""",,2,-,1,3,6,-,-,-,2,1,1,1,10,21,7,7,0,0,17,28,61%,
Anton Tinnerholm,3,"93'09""",1,,5,-,3,-,-,11,1,-,1,1,-,2,9,18,22,3,6,23,37,62%,
Oscar Lewicki,6,"93'09""",1,9,,2,1,3,3,-,4,1,-,-,1,5,6,16,18,4,6,25,30,83%,
Enoch Kofi Adu,8,"93'09""",1,6,3,,1,5,1,1,1,2,3,-,1,6,7,17,20,2,3,25,30,83%,
Markus Rosenberg,9,"93'09""",-,-,1,-,,-,-,1,-,2,2,1,-,0,1,4,9,3,4,7,14,50%,
Yoshimar Yotún,13,"77'46""",2,-,1,5,2,,1,-,-,4,4,-,-,2,5,11,12,6,7,19,24,79%,
Rasmus Bengtsson,17,"93'09""",1,1,3,2,1,2,,-,2,1,-,-,-,2,4,8,8,3,3,13,15,87%,
Vladimir Rodić,20,"66'48""",-,5,1,-,2,-,-,,-,-,4,-,-,0,0,9,11,3,5,12,16,75%,
Kári Árnason,21,"93'09""",2,3,-,2,1,-,-,1,,-,-,-,-,2,5,6,11,1,1,9,17,53%,
Jo Inge Berget,23,"93'09""",-,-,2,5,1,2,-,-,-,,1,-,-,0,0,8,11,3,4,11,15,73%,
Nikola Djurdjić,28,"80'51""",-,5,3,-,1,2,1,2,1,1,,-,-,0,1,9,11,7,7,16,19,84%,
Magnus Wolff Eikrem 19,,"26'21""",-,-,-,-,2,-,-,-,-,-,-,,-,1,1,1,1,0,0,2,2,100%,
Felipe Carvalho 25,,"12'18""",1,-,-,-,-,-,-,-,-,-,-,1,,1,1,1,1,0,0,2,2,100%,
Total passes received:,,,9,31,19,17,18,20,6,16,9,13,16,4,3,31,61,115 142,,35,46,181,249,73%,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,6,7,8,9,14,15,16,17,22,18,19,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Keylor Navas,1,"93'09""",,5,4,-,-,-,-,1,-,4,2,-,-,1,4,8,13,13,0,0,17,21,81%
Raphaël Varane,2,"93'09""",4,,18,1,15,1,8,14,-,1,4,-,-,-,6,7,53,56,7,7,66,70,94%
Nacho,6,"93'09""",1,10,,-,5,-,14,-,11,12,3,-,4,-,2,3,39,39,19,20,60,62,97%
Cristiano Ronaldo,7,"93'09""",-,-,-,,4,6,5,1,10,-,4,1,-,-,1,1,10,10,20,23,31,34,91%
Toni Kroos,8,"93'09""",-,4,5,9,,10,26,22,18,4,23,6,7,1,14,15,79,85,42,44,135,144,94%
Karim Benzema,9,"67'06""",-,1,-,5,5,,1,2,6,1,8,-,-,-,2,2,13,16,14,16,29,34,85%
Casemiro,14,"93'09""",1,16,9,5,26,1,,12,18,9,5,-,2,-,19,23,67,72,18,18,104,113,92%
Dani Carvajal,15,"93'09""",2,11,1,4,29,-,7,,-,-,7,6,2,-,6,7,44,47,19,21,69,75,92%
Mateo Kovačić,16,"72'26""",-,6,6,9,14,2,17,3,,12,6,-,1,-,3,4,54,59,19,22,76,85,89%
Álvaro Arbeloa,17,"93'09""",1,2,6,2,7,4,16,-,13,,11,-,5,2,2,3,36,38,31,32,69,73,95%
Isco,22,"83'16""",-,-,-,6,14,8,8,8,4,9,,1,5,-,2,3,37,41,24,27,63,71,89%
Lucas Vázquez 18,,"20'43""",-,-,-,2,4,-,-,4,-,-,-,,1,-,0,0,5,8,6,7,11,15,73%
Luka Modrić 19,,"26'02""",-,-,-,1,10,-,2,4,2,7,2,2,,3,8,9,18,18,7,8,33,35,94%
Denis Cheryshev 21,,"9'52""",-,-,2,1,-,-,-,-,-,-,-,-,3,,0,0,5,5,1,1,6,6,100%
Total passes received:,,,9,55,51,45,133,32,104,71,82,59,75,16,30,7,69,85,473 507 227 246,,,,769,838,92%
,,,,,,,,,,,,,,,,,,,,,,,,01:33:46CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,01 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
