Source;Target;Weight
11;24;1
11;10;2
11;27;7
11;15;3
11;23;6
11;34;5
11;12;4
11;7;6
10;11;6
10;25;2
10;12;3
10;15;5
10;17;2
10;23;3
10;34;2
10;3;1
10;27;1
10;7;7
10;24;1
12;11;4
12;10;3
12;27;1
12;23;5
12;18;1
12;34;1
12;7;1
15;11;3
15;10;6
15;27;2
15;17;2
15;23;5
15;18;1
15;1;2
15;25;5
15;7;1
17;11;2
17;10;1
17;15;1
17;34;1
23;11;4
23;10;6
23;12;1
23;15;7
23;17;1
23;25;6
23;18;2
23;34;3
23;1;1
23;7;5
18;11;1
18;10;1
18;27;2
18;23;1
18;34;3
18;1;4
18;25;3
18;7;3
18;24;1
34;11;1
34;10;4
34;12;1
34;17;2
34;23;1
34;18;2
34;27;1
34;25;6
34;7;6
1;11;2
1;25;16
1;12;1
1;15;1
1;23;1
1;18;2
1;34;2
1;27;1
1;24;1
3;10;1
27;11;3
27;10;2
27;12;1
27;15;1
27;25;2
27;18;2
27;34;3
27;7;4
25;11;2
25;10;5
25;12;3
25;15;11
25;23;4
25;18;3
25;34;1
25;1;8
25;27;2
25;7;3
25;24;1
7;11;2
7;10;5
7;12;1
7;17;2
7;23;4
7;18;1
7;34;4
7;1;2
7;27;1
7;25;2
7;24;2
24;11;1
24;10;1
24;17;2
24;25;1
24;23;1
24;3;1
24;7;1
