Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 21 October 2015,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Malmö New Stadium - Malmö,,,,,,,,,,,,,,,,,,,,,,,,
,Malmö FF,,,,,,,,,1 - 0,,,,,,FC Shakhtar Donetsk,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,6,8,9,17,20,21,23,28,5,11,PC,PA,PC,PA,PC,PA,PC,PA,%
Johan Wiland,1,"97'09""",,-,2,-,1,2,-,-,-,7,1,-,-,11,23,2,2,0,0,13,25,52%
Pa Konate,2,"97'09""",2,,-,1,-,2,1,-,-,4,1,-,-,0,1,7,10,4,5,11,16,69%
Anton Tinnerholm,3,"97'09""",-,-,,1,1,2,1,10,-,1,2,3,-,4,10,12,18,5,7,21,35,60%
Oscar Lewicki,6,"97'09""",-,-,1,,3,6,1,3,1,1,3,-,-,1,1,16,20,2,8,19,29,66%
Enoch Kofi Adu,8,"97'09""",-,2,2,4,,1,-,1,-,4,1,-,1,1,2,12,15,3,5,16,22,73%
Markus Rosenberg,9,"97'09""",-,-,-,-,-,,1,1,1,1,3,-,-,1,2,5,11,1,5,7,18,39%
Rasmus Bengtsson,17,"97'09""",2,3,-,1,2,-,,-,-,1,1,-,1,0,1,8,9,3,3,11,13,85%
Vladimir Rodić,20,"82'14""",-,-,7,4,-,4,-,,-,-,4,-,-,0,1,9,11,10,13,19,25,76%
Kári Árnason,21,"97'09""",1,-,3,3,-,-,1,-,,-,-,-,-,1,2,4,6,3,4,8,12,67%
Jo Inge Berget,23,"97'09""",-,5,-,1,3,1,-,1,-,,4,1,-,1,2,11,15,4,10,16,27,59%
Nikola Djurdjić,28,"91'41""",-,1,4,5,2,3,1,3,1,6,,-,-,0,1,14,15,12,14,26,30,87%
Erdal Rakip,5,"14'55""",-,-,2,-,-,-,-,-,-,1,1,,1,0,0,2,2,3,3,5,5,100%
Agon Mehmeti 11,,"5'28""",-,-,-,-,-,-,-,-,-,-,-,1,,0,0,0,0,1,1,1,1,100%
Total passes received:,,,5,11,21,20,12,21,6,19,3,26,21,5,3,20,46,102 134,,51,78,173,258,67%
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,5,6,8,10,11,21,29,31,33,44,22,74,PC,PA,PC,PA,PC,PA,PC,PA,%
Andriy Pyatov,30,"97'09""",,22,2,2,1,-,2,-,2,2,4,1,1,10,12,28,28,1,1,39,41,95%
Olexandr Kucher,5,"97'09""",12,,8,8,3,3,5,2,1,37,10,1,1,10,14,72,76,9,10,91,100,91%
Taras Stepanenko,6,"97'09""",2,8,,2,5,2,2,2,10,5,9,-,-,1,1,40,47,6,8,47,56,84%
Fred,8,"97'09""",-,5,3,,7,11,1,8,5,17,2,1,-,5,6,37,40,18,21,60,67,90%
Bernard,10,"97'09""",-,4,4,7,,9,2,5,2,5,2,-,-,5,5,27,31,8,10,40,46,87%
Marlos,11,"74'24""",-,5,6,7,2,,-,6,8,12,1,-,-,4,5,29,32,14,14,47,51,92%
Olexandr Gladkiy,21,"84'55""",-,-,3,5,1,5,,5,-,-,1,-,-,0,0,9,14,11,12,20,26,77%
Alex Teixeira,29,"97'09""",-,-,1,5,5,5,4,,2,7,1,1,-,1,2,16,19,14,16,31,37,84%
Ismaily,31,"97'09""",-,-,2,3,14,3,3,1,,-,8,-,-,1,2,20,22,13,17,34,41,83%
Darijo Srna,33,"97'09""",6,23,5,13,4,9,4,6,1,,3,1,-,7,9,57,67,11,15,75,91,82%
Yaroslav Rakitskiy,44,"97'09""",3,12,5,7,5,2,-,-,6,1,,1,-,4,8,33,37,5,6,42,51,82%
Eduardo 22,,"22'46""",-,-,2,-,-,-,-,1,1,-,-,,1,0,0,2,2,3,3,5,5,100%
Viktor Kovalenko 74,,"12'14""",-,-,1,-,-,-,-,-,-,-,-,-,,0,0,1,4,0,1,1,5,20%
Total passes received:,,,23,79,42,59,47,49,23,36,38,86,41,6,3,48,64,371 419 113 134,,,,532,617,86%
,,,,,,,,,,,,,,,,,,,,,,,,02:11:16CET
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,22 Oct 2015
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,
