Source;Target;Weight
11;10;8
11;19;6
11;5;1
11;6;10
11;9;1
11;8;6
10;11;4
10;14;4
10;17;4
10;19;4
10;5;1
10;7;2
10;6;9
10;9;1
10;8;15
27;10;2
27;14;4
27;17;3
27;19;2
27;22;2
27;2;2
27;7;2
27;8;3
14;11;2
14;10;1
14;27;7
14;17;16
14;19;2
14;2;7
14;5;2
14;7;1
14;6;3
14;9;8
14;8;11
17;10;10
17;27;4
17;14;15
17;22;5
17;2;6
17;5;1
17;6;8
17;9;2
17;8;19
16;11;1
16;17;2
16;19;2
16;2;8
16;5;8
16;6;1
16;8;2
19;11;6
19;10;1
19;14;2
19;5;3
19;7;1
19;6;7
19;9;1
19;8;6
22;27;1
22;14;1
22;17;1
2;10;2
2;27;2
2;14;10
2;17;11
2;19;2
2;5;3
2;6;8
2;9;2
2;8;19
5;11;4
5;10;1
5;27;1
5;17;3
5;16;7
5;19;2
5;2;12
5;7;1
5;6;6
5;9;1
5;8;13
7;19;1
7;8;1
7;27;1
7;5;1
7;10;3
6;11;13
6;10;13
6;27;3
6;14;5
6;17;4
6;19;9
6;2;7
6;5;11
6;7;1
6;8;31
9;11;2
9;10;2
9;14;2
9;17;5
9;2;1
9;5;1
9;6;2
9;8;1
8;11;10
8;10;12
8;27;5
8;14;15
8;17;17
8;16;1
8;19;5
8;2;12
8;5;7
8;7;2
8;6;45
8;9;2
