Source;Target;Weight
12;20;6
12;14;5
12;22;8
12;2;1
12;4;5
12;7;4
12;8;12
20;12;8
20;14;2
20;22;4
20;19;1
20;4;2
20;7;4
20;8;1
14;12;4
14;20;3
14;22;2
14;23;6
14;19;1
14;18;4
14;2;6
14;7;6
14;8;12
22;12;6
22;14;3
22;23;3
22;18;4
22;4;2
22;7;2
22;8;9
23;12;1
23;20;2
23;14;6
23;22;3
23;19;1
23;18;12
23;1;1
23;2;6
23;4;2
23;7;4
23;8;5
23;21;2
19;8;2
19;12;1
19;21;1
19;23;1
18;12;1
18;14;6
18;22;2
18;23;9
18;7;3
18;8;3
18;21;1
1;14;1
1;22;1
1;23;2
1;2;3
1;4;4
1;7;1
1;8;3
2;12;2
2;20;3
2;14;4
2;22;1
2;23;8
2;18;2
2;1;1
2;4;9
2;7;1
2;8;2
4;12;8
4;20;2
4;14;4
4;22;1
4;23;2
4;1;4
4;2;7
4;7;2
4;8;11
4;21;1
7;12;5
7;20;5
7;14;3
7;22;4
7;23;1
7;19;1
7;18;3
7;4;1
7;8;3
8;12;7
8;20;10
8;14;8
8;22;10
8;23;12
8;19;1
8;18;9
8;2;2
8;4;11
8;7;7
8;21;3
21;8;2
21;14;1
21;7;1
