Source;Target;Weight
11;10;3
11;15;2
11;33;2
11;44;1
11;2;2
11;89;2
11;9;1
11;8;1
10;11;1
10;24;1
10;12;3
10;15;1
10;44;1
10;2;4
10;89;6
10;8;2
12;10;1
12;15;3
12;33;3
12;44;1
12;89;1
12;9;1
12;20;1
15;24;4
15;10;2
15;33;5
15;28;1
15;89;1
15;9;3
15;8;2
33;11;2
33;24;10
33;12;3
33;15;4
33;44;4
33;28;1
33;1;5
33;2;1
33;89;1
33;9;1
33;8;6
44;11;3
44;24;2
44;20;1
44;10;2
44;33;7
44;1;5
44;2;11
44;89;3
44;8;2
28;33;1
28;44;2
28;2;1
20;12;2
20;2;1
20;15;1
1;24;2
1;10;2
1;33;5
1;44;3
1;2;1
1;89;2
1;9;2
2;11;1
2;24;4
2;10;6
2;44;6
2;89;3
2;8;2
89;11;1
89;10;7
89;15;1
89;28;2
89;2;2
89;9;2
89;8;1
24;11;4
24;10;6
24;12;2
24;15;4
24;33;3
24;44;6
24;28;2
24;1;2
24;2;4
24;9;2
24;20;1
9;11;1
9;12;1
9;89;2
9;15;3
8;24;2
8;10;4
8;15;2
8;33;1
8;44;2
8;2;1
8;11;1
8;9;3
