Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 21 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Estadio Vicente Calderón - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
Club Atlético de Madrid,,,,,,,,,,4 - 0,,,,,,,,FC Astana,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,5,7,11,14,15,17,20,21,9,10,16,PC,PA,PC,PA,PC,PA,PC,PA,%
Jan Oblak,13,"93'04""",,5,-,-,-,1,-,5,-,1,1,-,-,-,3,4,7,7,3,3,13,14,93%
Diego Godín,2,"93'04""",1,,12,5,1,-,11,11,13,2,-,-,2,-,2,4,43,44,13,13,58,61,95%
Guilherme Siqueira,4,"93'04""",-,7,,4,1,-,2,-,13,1,24,-,6,-,1,5,29,30,28,30,58,65,89%
Tiago,5,"45'03""",2,3,8,,2,1,9,1,8,6,1,-,-,-,7,9,27,29,7,7,41,45,91%
Antoine Griezmann,7,"57'26""",-,-,1,1,,5,-,1,3,2,4,-,-,-,0,0,10,12,7,10,17,22,77%
Jackson Martínez,11,"66'32""",-,-,1,-,3,,-,-,3,2,2,-,3,1,1,1,11,14,3,6,15,21,71%
Gabi,14,"93'04""",1,6,3,6,5,1,,12,14,19,4,1,12,7,12,15,62,68,17,19,91,102,89%
Stefan Savić,15,"93'04""",2,18,-,5,-,-,8,,6,12,-,-,-,-,5,5,38,39,8,8,51,52,98%
Saúl Ñíguez,17,"93'04""",-,8,19,1,6,2,12,4,,7,14,-,11,2,2,4,59,63,25,32,86,99,87%
Juanfran,20,"93'04""",-,-,-,4,4,2,22,11,4,,2,-,1,4,2,2,35,40,17,19,54,61,89%
Yannick Carrasco,21,"93'04""",-,4,16,5,2,3,3,-,10,2,,-,11,1,2,3,32,35,23,24,57,62,92%
Fernando Torres,9,"26'33""",-,-,-,-,-,-,-,-,-,-,-,,-,1,0,0,1,1,0,1,1,2,50%
Óliver Torres 10,,"48'02""",-,1,3,-,-,-,7,-,12,7,9,-,,4,5,7,23,28,15,16,43,51,84%
Ángel Correa 16,,"35'39""",-,-,-,-,-,1,5,-,1,2,1,4,2,,1,2,9,10,6,8,16,20,80%
Total passes received:,,,6,52,63,31,24,16,79,45,87,63,62,5,48,20,43,61,386 420 172 196,,,,601,677,89%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,8,9,10,11,15,24,33,44,89,12,20,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Nenad Erić,1,"93'04""",,1,-,2,2,-,-,2,5,3,2,-,-,-,5,9,9,9,3,3,17,21,81%
Yeldos Akhmetov,2,"93'04""",-,,2,-,6,1,-,4,-,6,3,-,-,-,1,1,16,22,5,8,22,31,71%
Georgi Zhukov,8,"63'49""",-,1,,3,4,1,2,2,1,2,-,-,-,-,1,2,10,14,5,6,16,22,73%
Aleksei Schetkin,9,"79'47""",-,-,-,,-,1,3,-,-,-,2,1,-,-,0,0,3,6,4,6,7,12,58%
Foxi Kéthévoama,10,"93'04""",-,4,2,-,,1,1,1,-,1,6,3,-,-,1,2,12,15,6,7,19,24,79%
Serikzhan Muzhikov,11,"83'02""",-,2,1,1,3,,2,-,2,1,2,-,-,-,2,2,9,10,3,5,14,17,82%
Abzal Beysebekov,15,"93'04""",-,-,2,3,2,-,,4,5,-,1,-,-,1,1,2,12,16,5,8,18,26,69%
Denys Dedechko,24,"93'04""",2,4,-,2,6,4,4,,3,6,-,2,1,2,7,8,23,27,6,6,36,41,88%
Branko Ilić,33,"93'04""",5,1,6,1,-,2,4,10,,4,1,3,-,1,6,7,30,31,2,3,38,41,93%
Evgeni Postnikov,44,"93'04""",5,11,2,-,2,3,-,2,7,,3,-,1,-,2,5,33,35,1,2,36,42,86%
Junior Kabananga,89,"93'04""",-,2,1,2,7,1,1,-,-,-,,-,-,2,1,1,7,7,8,11,16,19,84%
Igor Pikalkin 12,,"29'16""",-,-,-,1,1,-,3,-,3,1,1,,1,-,0,1,8,10,3,3,11,14,79%
Zhakyp Kozhamberdy 20,,"10'02""",-,1,-,-,-,-,1,-,-,-,-,2,,-,0,0,4,5,0,0,4,5,80%
Birzhan Kulbekov 28,,"13'17""",-,1,-,-,-,-,-,-,1,2,-,-,-,,1,2,3,4,0,0,4,6,67%
Total passes received:,,,12,28,16,15,33,14,21,25,27,26,21,11,3,6,28,42,179 211,,51,68,258,321,80%
,,,,,,,,,,,,,,,,,,,,,,,,00:54:39CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,22 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
