Source;Target;Weight
10;17;3
10;19;5
10;28;2
10;34;1
10;33;1
10;4;2
10;9;4
12;10;1
12;17;2
12;19;1
12;33;11
12;4;3
12;7;1
12;9;1
20;10;2
20;17;1
20;28;6
20;34;5
20;4;1
20;7;2
20;9;1
21;10;1
21;12;1
21;17;3
21;33;3
21;28;1
21;34;2
21;7;6
21;9;2
17;10;6
17;20;3
17;21;2
17;19;1
17;28;1
17;34;4
17;33;1
17;4;1
17;7;3
17;9;7
19;10;7
19;17;2
19;33;7
19;34;5
19;4;2
19;7;9
19;9;3
31;34;1
28;10;3
28;12;2
28;20;12
28;21;2
28;17;4
28;33;1
28;34;9
28;4;6
28;7;2
28;9;3
34;10;3
34;12;1
34;20;4
34;21;1
34;17;1
34;19;6
34;31;4
34;28;10
34;33;2
34;4;7
34;7;7
34;9;4
33;10;3
33;12;2
33;20;2
33;21;3
33;17;1
33;19;12
33;28;8
33;34;5
33;4;16
33;7;11
33;9;4
4;10;1
4;12;2
4;20;3
4;21;2
4;17;4
4;33;18
4;31;1
4;28;11
4;34;12
4;7;8
4;9;1
7;10;6
7;12;2
7;20;1
7;21;3
7;17;5
7;19;9
7;31;1
7;28;7
7;34;6
7;33;7
7;4;10
7;9;5
9;11;1
9;10;3
9;20;2
9;21;3
9;17;4
9;19;4
9;31;1
9;28;2
9;34;2
9;33;1
9;7;2
