Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 21 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Ali Sami Yen Spor Kompleksi - Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,
,Galatasaray AŞ,,,,,,,,,2 - 1,,,,,,,,SL Benfica,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,7,8,9,10,11,21,22,23,55,14,17,29,PC,PA,PC,PA,PC,PA,PC,PA,%
Fernando Muslera,1,"95'20""",,-,2,-,2,1,4,2,4,1,2,-,2,-,9,21,7,7,4,4,20,32,62%
Bilal Kisa,5,"93'32""",-,,3,3,2,13,2,2,3,3,10,-,1,-,3,4,19,22,20,24,42,50,84%
Yasin Öztekin,7,"58'35""",-,2,,1,1,5,-,-,2,1,-,-,-,-,0,0,6,8,6,8,12,16,75%
Selçuk İnan,8,"95'20""",-,6,-,,2,6,4,4,4,4,4,-,1,1,1,2,24,27,11,14,36,43,84%
Umut Bulut,9,"77'21""",-,3,-,1,,4,1,-,-,1,2,-,-,-,1,1,4,7,7,12,12,20,60%
Wesley Sneijder,10,"95'20""",-,9,5,6,2,,4,1,5,7,5,-,2,-,7,9,23,25,16,18,46,52,88%
Lukas Podolski,11,"95'20""",-,1,-,3,2,-,,-,1,-,5,-,2,1,1,2,10,13,4,10,15,25,60%
Aurélien Chedjou,21,"95'20""",5,4,-,2,3,2,5,,7,1,5,-,-,-,7,7,19,23,8,8,34,38,89%
Hakan Balta,22,"95'20""",5,2,-,9,1,6,-,3,,10,-,-,1,1,4,7,23,23,11,11,38,41,93%
Lionel Carole,23,"95'20""",1,4,7,2,1,9,1,-,5,,-,-,1,2,1,2,12,16,20,23,33,41,80%
Sabri Sarıoğlu,55,"95'20""",6,2,-,2,2,3,7,6,-,2,,-,-,-,7,10,15,20,8,9,30,39,77%
José Rodríguez 14,,"1'48""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
Burak Yılmaz 17,,"17'59""",-,-,-,1,-,3,1,-,-,-,1,-,,-,0,0,3,3,3,5,6,8,75%
Olcan Adın 29,,"36'45""",-,-,-,-,-,-,-,-,-,1,-,-,-,,0,0,1,2,0,2,1,4,25%
Total passes received:,,,17,33,17,30,18,52,29,18,31,31,34,0,10,5,41,65,166 196 118 148,,,,325,409,79%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,4,7,9,10,17,19,20,28,33,34,11,21,31,PC,PA,PC,PA,PC,PA,PC,PA,%
Júlio César,12,"95'20""",,3,1,1,1,2,1,-,-,11,-,-,-,-,6,9,12,12,2,2,20,23,87%
Luisão,4,"95'20""",2,,8,1,1,4,-,3,11,18,12,-,2,1,3,3,50,52,10,11,63,66,95%
Andreas Samaris,7,"95'20""",2,10,,5,6,5,9,1,7,7,6,-,3,1,7,10,41,47,14,16,62,73,85%
Raúl Jiménez,9,"95'20""",-,-,2,,3,4,4,2,2,1,2,1,3,1,1,2,8,11,16,19,25,32,78%
Nicolás Gaitán,10,"95'20""",-,2,-,4,,3,5,-,2,1,1,-,-,-,3,6,8,15,7,13,18,34,53%
Jonas,17,"95'20""",-,1,3,7,6,,1,3,1,1,4,-,2,-,2,2,13,13,14,20,29,35,83%
Eliseu,19,"65'49""",-,2,9,3,7,2,,-,-,7,5,-,-,-,0,1,22,26,13,15,35,42,83%
Gonçalo Guedes,20,"75'05""",-,1,2,1,2,1,-,,6,-,5,-,-,-,2,3,7,13,9,15,18,31,58%
Sílvio,28,"81'08""",2,6,2,3,3,4,-,12,,1,9,-,2,-,4,8,24,33,16,18,44,59,75%
Jardel,33,"95'20""",2,16,11,4,3,1,12,2,8,,5,-,3,-,7,7,50,52,10,10,67,69,97%
André Almeida,34,"95'20""",1,7,7,4,3,1,6,4,10,2,,-,1,4,5,7,32,34,13,19,50,60,83%
Kostas Mitroglou 11,,"14'12""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0%
Pizzi 21,,"29'32""",1,-,6,2,1,3,-,-,1,3,2,-,,-,3,3,10,11,6,8,19,22,86%
Victor Andrade 31,,"20'15""",-,-,-,-,-,-,-,-,-,-,1,-,-,,0,0,0,0,1,2,1,2,50%
Total passes received:,,,10,48,51,35,37,30,38,27,48,52,52,1,16,7,43,61,278 320 131 168,,,,452,549,82%
,,,,,,,,,,,,,,,,,,,,,,,,01:12:30CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,22 Oct 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
