Source;Target;Weight
13;17;1
13;19;1
13;28;3
13;2;2
13;5;3
13;9;3
20;21;1
20;17;1
20;28;6
20;3;4
20;5;4
20;9;2
20;8;2
21;20;1
21;17;1
21;1;2
21;3;2
21;5;1
21;9;1
21;8;7
17;8;4
17;13;3
17;2;5
17;5;1
17;21;3
23;2;3
23;28;3
19;13;2
19;5;2
28;20;5
28;21;1
28;23;3
28;3;6
28;2;1
28;5;2
28;9;4
28;8;2
1;20;1
1;21;4
1;23;2
1;3;1
1;2;1
1;5;1
1;9;2
3;13;2
3;20;6
3;21;1
3;17;2
3;28;4
3;5;2
3;9;3
3;8;3
2;13;4
2;17;3
2;23;3
2;19;2
2;1;1
2;5;1
2;9;1
2;8;3
5;13;6
5;20;2
5;21;2
5;17;2
5;28;3
5;3;2
5;2;2
5;9;2
5;8;5
6;28;1
9;28;10
9;8;4
9;13;1
9;20;2
9;23;1
8;20;2
8;21;3
8;17;3
8;23;2
8;19;1
8;28;5
8;1;3
8;3;6
8;2;3
8;5;7
8;9;3
