Source;Target;Weight
24;10;1
24;20;3
24;14;14
24;17;4
24;2;18
24;5;6
24;7;1
24;6;3
10;21;1
10;20;1
10;4;3
10;7;2
10;14;1
13;24;1
13;17;1
13;2;5
13;5;1
13;4;1
13;6;1
20;24;3
20;14;16
20;17;3
20;2;2
20;5;1
20;4;1
20;7;1
20;6;4
20;9;1
20;21;1
14;24;9
14;20;11
14;21;1
14;17;8
14;2;6
14;5;13
14;4;2
14;7;10
14;6;11
14;9;2
17;11;1
17;20;8
17;14;4
17;2;3
17;5;5
17;7;2
17;6;1
17;9;1
11;21;2
11;7;3
11;6;1
2;24;7
2;13;3
2;20;4
2;14;1
2;17;1
2;5;21
2;4;4
2;7;1
2;6;9
2;9;1
2;21;1
5;24;5
5;20;4
5;14;13
5;17;3
5;2;10
5;4;12
5;7;4
5;6;7
5;21;1
4;24;1
4;10;2
4;21;2
4;11;1
4;2;2
4;5;4
4;7;2
4;6;13
4;9;2
7;10;2
7;14;6
7;17;6
7;4;2
7;6;4
7;9;3
7;21;4
6;24;3
6;11;1
6;20;4
6;14;7
6;17;1
6;2;2
6;5;10
6;4;10
6;7;5
6;9;1
6;21;1
9;17;3
9;4;1
9;7;2
9;14;1
21;20;4
21;2;2
21;5;3
21;7;1
21;10;1
