Passing Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 3 November 2015,,,,,,,,,,,,,,,,,,,,,,,,,
GROUP C - Astana Arena - Astana,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Astana,,,,,,,,,0 - 0,,,,,,Club Atlético de Madrid,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,6,10,11,22,33,44,77,88,89,8,9,15,PC,PA,PC,PA,PC,PA,PC,PA,%
Nenad Erić,1,"93'19""",,2,4,-,-,-,3,-,1,1,-,-,2,-,7,13,5,5,1,1,13,19,68%
Marin Aničić,5,"93'19""",2,,-,-,1,1,3,6,4,3,-,-,-,-,2,5,16,17,2,2,20,24,83%
Nemanja Maksimović,6,"93'19""",1,4,,4,2,-,1,1,3,2,-,1,1,-,1,3,13,16,6,9,20,28,71%
Foxi Kéthévoama,10,"93'19""",-,-,3,,2,1,1,-,6,1,-,-,1,-,3,4,9,14,3,4,15,22,68%
Serikzhan Muzhikov,11,"77'11""",-,1,1,1,,1,3,-,-,3,3,-,-,-,2,3,6,10,5,8,13,21,62%
Baurzhan Dzholchiyev,22,"89'12""",-,-,-,-,4,,-,-,-,-,5,-,-,-,0,0,6,8,3,6,9,14,64%
Branko Ilić,33,"93'19""",4,2,1,-,3,4,,3,1,2,1,-,-,-,3,5,15,20,3,5,21,30,70%
Evgeni Postnikov,44,"93'19""",2,3,1,1,-,1,8,,2,4,-,-,-,-,6,11,12,14,4,4,22,29,76%
Dmitri Shomko,77,"93'19""",1,3,4,7,-,1,-,2,,4,5,-,-,-,2,6,18,22,7,11,27,39,69%
Roger Cañas,88,"93'19""",-,3,1,2,-,2,5,2,11,,4,-,-,-,6,9,16,18,8,12,30,39,77%
Junior Kabananga,89,"79'49""",-,-,-,2,2,-,1,-,1,-,,-,-,-,0,1,3,5,3,6,6,12,50%
Georgi Zhukov,8,"16'08""",-,-,-,-,-,-,-,-,-,-,-,,-,-,0,1,0,0,0,0,0,1,0%
Aleksei Schetkin,9,"13'30""",-,-,-,1,-,-,-,-,-,-,-,1,,-,0,0,1,1,1,3,2,4,50%
Abzal Beysebekov 15,,"4'07""",-,-,1,-,-,-,-,-,-,-,-,-,-,,0,0,0,1,1,1,1,2,50%
Total passes received:,,,10,18,16,18,14,11,25,14,29,20,18,2,4,0,32,61,120 151,,47,72,199,284,70%
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,5,6,7,9,14,17,20,24,10,11,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Jan Oblak,13,"93'19""",,5,1,1,1,-,-,-,1,-,1,-,-,-,3,7,5,5,2,2,10,14,71%
Diego Godín,2,"93'19""",3,,4,21,9,1,1,1,1,4,7,-,-,1,2,3,36,41,15,15,53,59,90%
Guilherme Siqueira,4,"93'19""",-,2,,4,13,2,2,-,-,-,1,2,1,2,2,3,16,20,11,12,29,35,83%
Tiago,5,"93'19""",-,10,12,,7,4,-,13,3,4,5,-,-,1,5,10,37,41,17,21,59,72,82%
Koke,6,"81'10""",-,2,10,10,,5,1,7,1,4,3,-,1,1,3,6,32,38,10,19,45,63,71%
Antoine Griezmann,7,"93'19""",-,-,2,-,4,,3,6,6,-,-,2,-,4,2,3,14,17,11,13,27,33,82%
Fernando Torres,9,"63'13""",-,-,1,-,-,2,,1,3,-,-,-,-,-,0,0,3,4,4,4,7,8,88%
Gabi,14,"93'19""",-,6,2,13,11,10,2,,8,11,9,-,-,1,8,12,46,51,19,24,73,87,84%
Saúl Ñíguez,17,"72'39""",-,3,-,5,1,2,1,4,,8,-,-,1,-,1,1,19,26,5,5,25,32,78%
Juanfran,20,"93'19""",-,2,1,1,4,1,1,16,3,,3,-,-,1,3,6,18,21,12,12,33,39,85%
José María Giménez,24,"93'19""",-,18,-,6,3,1,-,14,4,3,,1,-,-,4,5,32,33,14,14,50,52,96%
Óliver Torres 10,,"12'09""",-,-,3,-,-,2,-,1,-,1,-,,-,1,0,1,5,6,3,3,8,10,80%
Jackson Martínez 11,,"30'06""",-,-,-,-,1,3,-,-,-,-,-,-,,2,1,1,1,2,4,5,6,8,75%
Yannick Carrasco 21,,"20'40""",-,2,-,3,-,1,-,-,-,4,-,1,-,,4,4,5,9,2,3,11,16,69%
Total passes received:,,,3,50,36,64,54,34,11,63,30,39,29,6,3,14,38,62,269 314 129 152,,,,436,528,83%
,,,,,,,,,,,,,,,,,,,,,,,,21:51:46CET,
TP: Time played,PA: Passes attempted,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,03 Nov 2015,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
