Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 17 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Stadio Olimpico - Rome,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Roma,,,,,,,,,5 - 1,,,,,,,PFC CSKA Moskva,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,26,4,7,10,13,15,20,23,27,35,44,2,8,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Morgan De Sanctis,26,96'05,,2,-,-,-,-,4,7,-,1,4,1,-,2,3,5,16,17,2,2,21,24,0.88
Radja Nainggolan,4,96'05,3,,1,9,11,16,18,12,4,21,2,3,3,2,12,12,71,73,22,23,105,108,0.97
Juan Manuel Iturbe,7,25'11,-,-,,2,6,4,-,-,1,-,-,-,-,-,3,3,6,7,4,4,13,14,0.93
Francesco Totti,10,96'05,-,8,2,,4,12,4,2,5,5,-,1,1,7,8,10,21,26,22,26,51,62,0.82
Maicon,13,96'05,-,5,5,11,,12,13,1,2,1,5,3,2,5,8,9,33,36,24,24,65,69,0.94
Miralem Pjanić,15,96'05,-,23,5,15,12,,25,1,9,6,3,3,1,2,6,6,69,73,30,31,105,110,0.95
Seydou Keita,20,96'05,1,23,3,5,16,24,,3,4,6,6,-,2,8,3,3,70,72,28,28,101,103,0.98
Davide Astori,23,96'05,2,10,-,1,1,5,13,,1,10,6,-,1,-,2,2,37,38,11,11,50,51,0.98
Gervinho,27,72'55,-,2,1,5,4,4,-,1,,4,-,-,-,-,0,0,16,17,5,7,21,24,0.88
Vassilis Torossidis,35,96'05,1,17,1,4,-,6,5,14,3,,-,-,5,4,4,5,39,41,17,18,60,64,0.94
Kostas Manolas,44,78'04,4,3,2,1,8,9,5,1,1,1,,-,-,-,4,4,25,25,6,6,35,35,1
Mapou Yanga-Mbiwa,2,18'01,2,-,-,1,2,3,-,-,-,1,-,,1,3,1,1,9,9,3,3,13,13,1
Adem Ljajić,8,23'09,-,6,-,1,1,3,-,-,-,4,-,-,,-,0,0,10,10,5,5,15,15,1
Alessandro Florenzi 24,,70'54,-,3,-,6,4,8,2,-,-,3,-,-,-,,2,2,16,16,8,10,26,28,0.93
Total passes received:,,,13,102,20,61,69,106,89,42,30,63,26,11,16,33,56,62,438 460 187 198,,,,681,720,0.95
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,35,2,4,7,14,18,23,24,25,66,88,8,15,42,PC,PA,PC,PA,PC,PA,PC,PA,%
Igor Akinfeev,35,96'05,,2,1,-,-,-,3,4,-,1,-,-,-,-,3,3,7,8,1,1,11,12,0.92
Mário Fernandes,2,96'05,1,,-,6,2,-,1,5,6,4,1,-,5,-,1,1,15,15,15,15,31,31,1
Sergei Ignashevich,4,96'05,1,1,,-,2,2,2,7,2,2,2,-,-,1,2,2,18,18,2,2,22,22,1
Zoran Tošić,7,54'46,1,5,1,,-,-,1,2,2,8,1,-,-,-,0,0,12,12,9,10,21,22,0.95
Kirill Nababkin,14,47'03,-,-,1,-,,2,2,-,2,3,-,-,-,-,0,0,9,11,1,2,10,13,0.77
Ahmed Musa,18,96'05,-,-,2,-,1,,1,1,3,-,2,-,1,1,0,0,11,16,1,2,12,18,0.67
Georgi Milanov,23,96'05,1,-,1,1,3,5,,1,6,4,4,4,1,2,2,3,24,26,7,9,33,38,0.87
Vasili Berezutski,24,96'05,2,8,6,5,2,1,3,,1,7,1,2,-,1,2,3,33,33,4,4,39,40,0.98
Roman Eremenko,25,67'43,-,3,-,7,2,1,6,-,,3,6,-,1,2,1,1,14,16,16,17,31,34,0.91
Bebras Natcho,66,96'05,-,3,3,2,2,3,7,7,1,,-,6,2,-,6,8,19,22,11,11,36,41,0.88
Seydou Doumbia,88,96'05,-,-,1,1,-,3,3,1,4,-,,-,-,-,0,0,8,9,5,7,13,16,0.81
Kirill Panchenko,8,28'21,-,-,-,-,-,1,1,-,-,2,2,,2,-,0,1,4,4,4,5,8,10,0.8
Dmitri Efremov 15,,41'19,-,3,-,-,-,-,2,1,-,3,1,-,,-,0,1,8,9,2,3,10,13,0.77
Georgi Schennikov 42,,49'01,-,1,1,-,-,2,2,1,2,1,-,1,-,,1,1,8,10,2,2,11,13,0.85
Total passes received:,,,6,26,17,22,14,20,34,30,29,38,20,13,12,7,18,24,190 209,,80,90,288,323,0.89
,,,,,,,,,,,,,,,,,,,,,,,,03:45:12CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
