Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 17 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Camp Nou - Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Barcelona,,,,,,,,,1 - 0,,,,,,,,APOEL FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,10,11,15,20,21,22,26,31,8,12,29,PC,PA,PC,PA,PC,PA,PC,PA,%
Marc-André ter Stegen,1,94'14,,3,-,-,-,3,2,3,1,1,1,1,-,-,4,4,10,10,1,1,15,15,1
Gerard Piqué,3,94'14,2,,12,-,-,15,9,4,8,6,-,3,5,-,8,8,50,50,6,6,64,64,1
Xavi Hernández,6,61'11,-,4,,11,2,4,4,5,28,19,3,-,-,-,3,4,68,71,9,11,80,86,0.93
Lionel Messi,10,94'14,-,2,8,,10,2,5,5,8,7,1,5,3,-,2,2,33,39,21,27,56,68,0.82
Neymar,11,94'14,-,-,2,12,,2,8,7,2,4,1,4,1,1,3,4,26,29,15,21,44,54,0.81
Marc Bartra,15,94'14,2,13,7,1,1,,12,15,2,8,-,4,1,-,6,7,48,49,12,13,66,69,0.96
Sergi Roberto,20,79'54,-,3,5,6,10,3,,25,12,12,-,-,-,1,0,1,60,60,17,20,77,81,0.95
Adriano,21,94'14,-,2,4,2,18,9,14,,1,11,1,9,-,-,4,5,50,51,17,19,71,75,0.95
Daniel Alves,22,94'14,-,6,21,15,-,-,9,-,,1,7,2,7,-,4,4,37,37,27,30,68,71,0.96
Sergi Samper,26,94'14,3,9,14,16,5,8,12,3,8,,-,6,3,2,11,13,67,69,11,12,89,94,0.95
Munir El Haddadi,31,69'03,-,2,3,1,1,-,-,1,2,-,,-,-,-,0,0,4,4,6,8,10,12,0.83
Andrés Iniesta,8,33'03,-,2,-,4,8,4,3,10,-,8,-,,-,1,3,3,30,32,7,8,40,43,0.93
Rafinha 12,,14'20,-,1,-,4,2,1,-,-,5,1,-,1,,2,1,1,14,15,2,5,17,21,0.81
Sandro Ramírez 29,,25'10,-,1,-,-,1,1,-,-,-,-,-,-,-,,0,0,2,4,1,3,3,7,0.43
Total passes received:,,,7,48,76,72,58,52,78,78,77,78,14,35,20,7,49,56,499 520 152 184,,,,700,760,0.92
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,78,3,5,8,9,15,16,26,28,30,46,10,21,79,PC,PA,PC,PA,PC,PA,PC,PA,%
Urko Pardo,78,94'14,,1,1,-,1,2,-,-,2,3,-,-,-,-,6,11,3,3,1,1,10,15,0.67
João Guilherme,3,94'14,4,,1,3,-,-,2,5,2,-,1,-,1,-,1,1,13,14,5,5,19,20,0.95
Carlão,5,94'14,1,1,,1,-,6,2,1,-,1,2,-,-,-,3,3,10,10,2,2,15,15,1
Tiago Gomes,8,61'31,-,2,-,,2,-,1,1,3,3,-,-,-,-,0,2,6,8,6,8,12,18,0.67
Cillian Sheridan,9,76'03,-,1,-,-,,-,3,2,-,2,-,-,-,-,0,0,3,5,5,10,8,15,0.53
Marios Antoniades,15,94'14,1,-,-,-,1,,1,2,-,1,7,-,4,1,1,3,12,15,5,8,18,26,0.69
Vinicius,16,94'14,-,4,1,1,-,1,,3,10,5,-,-,2,1,4,5,14,17,10,12,28,34,0.82
Nuno Morais,26,94'14,-,1,1,1,-,2,3,,4,2,5,-,2,-,4,4,12,12,5,7,21,23,0.91
Mário Sérgio,28,94'14,-,4,1,4,1,1,8,1,,3,-,3,1,-,4,7,19,21,4,5,27,33,0.82
Tomás De Vincenti,30,79'38,-,-,-,3,4,2,1,2,4,,-,-,2,-,0,3,12,17,6,11,18,31,0.58
Stathis Aloneftis,46,94'14,1,-,1,-,6,3,-,1,-,2,,-,1,2,2,3,9,12,6,10,17,25,0.68
Constantinos Charalambides 10,,14'36,-,-,-,-,-,-,1,-,-,-,-,,2,-,0,0,2,2,1,1,3,3,1
Gustavo Manduca 21,,32'42,-,-,-,-,-,1,1,-,2,3,3,-,,3,0,0,8,9,5,7,13,16,0.81
Rafik Djebbour 79,,18'11,-,-,1,-,-,1,-,-,-,-,1,-,1,,0,0,1,3,3,5,4,8,0.5
Total passes received:,,,7,14,7,13,15,19,23,18,27,25,19,3,16,7,25,42,124 148,,64,92,213,282,0.76
,,,,,,,,,,,,,,,,,,,,,,,,03:26:56CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
