Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 17 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Amsterdam ArenA - Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,
,AFC Ajax,,,,,,,,,1 - 1,,,,,,Paris Saint-Germain,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,22,2,3,4,5,9,10,16,20,25,26,19,21,32,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasper Cillessen,22,92'19,,5,3,5,3,-,1,1,-,1,2,-,-,1,2,2,20,20,0,0,22,22,1
Ricardo van Rhijn,2,92'19,2,,9,2,1,-,-,5,4,1,1,-,4,11,5,5,31,33,4,5,40,43,0.93
Joël Veltman,3,92'19,3,5,,12,2,-,2,1,6,6,10,-,-,8,5,7,46,47,4,4,55,58,0.95
Niklas Moisander,4,92'19,2,4,14,,10,2,-,3,5,6,6,1,-,10,7,8,48,51,8,8,63,67,0.94
Nicolai Boilesen,5,92'19,2,3,-,8,,-,3,13,2,5,5,2,-,6,1,4,39,41,9,10,49,55,0.89
Kolbeinn Sigthórsson,9,60'07,-,1,1,1,-,,1,-,1,1,-,-,-,1,0,0,3,3,4,6,7,9,0.78
Davy Klaassen,10,92'19,-,1,2,1,4,-,,1,3,2,2,-,6,3,1,1,15,16,9,14,25,31,0.81
Lucas Andersen,16,92'19,-,3,1,4,12,-,2,,1,4,1,1,-,6,0,1,22,25,13,14,35,40,0.88
Lasse Schöne,20,81'14,-,7,3,1,2,2,7,3,,1,5,-,-,2,0,0,22,24,11,12,33,36,0.92
Thulani Serero,25,92'19,-,5,4,5,9,-,-,7,5,,1,-,-,6,1,3,33,33,8,10,42,46,0.91
Nick Viergever,26,45'03,2,1,7,8,4,2,1,-,3,3,,-,-,-,3,4,23,24,5,7,31,35,0.89
Arek Milik 19,,11'05,-,-,-,1,-,-,1,1,-,-,-,,-,-,0,0,2,2,1,1,3,3,1
Anwar El Ghazi 21,,32'11,-,1,-,-,-,-,2,-,-,-,-,-,,-,0,1,1,1,2,5,3,7,0.43
Niki Zimling 32,,47'16,-,6,4,13,7,1,3,4,4,14,-,1,-,,2,2,46,47,9,10,57,59,0.97
Total passes received:,,,11,42,48,61,54,7,23,39,34,44,33,5,10,54,27,38,351 367,,87,106,465,511,0.91
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,30,5,7,8,9,10,14,17,23,24,32,22,27,PC,PA,PC,PA,PC,PA,PC,PA,%,
Salvatore Sirigu,30,92'19,,6,1,-,-,1,-,1,1,-,15,-,-,6,7,17,17,2,2,25,26,0.96,
Marquinhos,5,92'19,4,,1,6,-,1,5,-,11,8,7,1,-,3,5,34,35,7,8,44,48,0.92,
Lucas,7,81'02,-,4,,6,3,7,6,-,5,3,-,-,-,1,2,16,20,17,23,34,45,0.76,
Thiago Motta,8,92'19,-,3,5,,3,4,12,11,4,12,7,1,1,2,4,49,50,12,15,63,69,0.91,
Edinson Cavani,9,92'19,-,1,2,5,,2,3,5,1,4,3,-,1,1,1,14,17,12,12,27,30,0.9,
Zlatan Ibrahimović,10,92'19,-,3,6,2,2,,5,2,4,-,4,1,-,3,3,19,22,7,10,29,35,0.83,
Blaise Matuidi,14,92'19,-,-,2,8,6,13,,6,2,5,7,-,-,1,1,32,32,16,17,49,50,0.98,
Maxwell,17,92'19,2,1,1,9,6,5,6,,1,-,4,-,1,1,1,20,23,15,18,36,42,0.86,
Gregory van der Wiel,23,92'19,3,3,6,3,1,4,-,-,,5,1,1,-,4,4,12,12,11,14,27,30,0.9,
Marco Verratti,24,80'45,1,6,9,13,3,3,4,3,3,,6,-,-,2,4,34,35,15,15,51,54,0.94,
David Luiz,32,92'19,4,15,2,11,2,2,4,6,1,5,,-,-,6,10,39,40,7,8,52,58,0.9,
Ezequiel Lavezzi 22,,11'17,-,-,-,-,1,1,-,-,-,-,-,,-,0,0,2,3,0,1,2,4,0.5,
Javier Pastore 27,,11'33,-,-,-,-,1,-,1,-,-,-,-,1,,0,1,1,1,2,3,3,5,0.6,
Total passes received:,,,14,42,35,63,28,43,46,34,33,42,54,5,3,30,43,289 307 123 146,,,,442,496,0.89,
,,,,,,,,,,,,,,,,,,,,,,,,03:44:34CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
