Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 17 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stamford Bridge - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea FC,,,,,,,,,1 - 1,,,,,,,FC Schalke 04,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,3,4,7,10,11,21,22,24,26,8,18,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Thibaut Courtois,13,94'17,,-,5,-,1,-,-,1,-,1,1,1,-,-,1,1,8,8,1,1,10,10,1
Branislav Ivanović,2,94'17,1,,-,5,4,3,2,2,7,5,1,1,-,1,0,0,24,29,8,10,32,39,0.82
Filipe Luís,3,94'17,-,-,,6,-,14,3,5,1,3,9,2,1,-,4,4,29,32,11,11,44,47,0.94
Cesc Fàbregas,4,94'17,-,9,4,,7,15,3,9,8,-,2,3,4,-,10,10,46,52,8,9,64,71,0.9
Ramires,7,67'55,1,7,1,8,,-,1,6,6,4,2,-,-,-,3,3,24,28,9,10,36,41,0.88
Eden Hazard,10,94'17,-,6,8,7,2,,4,1,2,1,3,-,-,1,3,4,18,25,14,14,35,43,0.81
Didier Drogba,11,74'50,-,-,1,2,2,3,,1,1,-,-,-,-,-,0,0,4,5,6,8,10,13,0.77
Nemanja Matić,21,94'17,-,4,9,13,3,6,-,,2,4,9,2,-,-,1,1,37,39,14,15,52,55,0.95
Willian,22,74'54,-,6,2,5,4,4,1,-,,4,-,-,-,-,8,8,11,13,7,7,26,28,0.93
Gary Cahill,24,94'17,2,8,3,7,7,3,-,7,1,,4,1,-,-,5,5,35,36,3,3,43,44,0.98
John Terry,26,94'17,2,-,7,8,5,1,-,9,1,13,,-,-,-,3,3,31,31,12,12,46,46,1
Oscar,8,26'22,1,-,-,1,-,2,-,1,1,2,-,,-,-,1,2,6,7,1,1,8,10,0.8
Loïc Rémy 18,,19'23,-,-,2,-,-,-,-,-,-,1,1,-,,1,0,0,3,3,2,2,5,5,1
Diego Costa 19,,19'27,-,1,-,-,-,-,-,1,-,-,-,-,-,,0,0,1,2,1,1,2,3,0.67
Total passes received:,,,7,41,42,62,35,51,14,43,30,38,32,10,5,3,39,41,277 310,,97,104,413,455,0.91
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,7,9,10,12,15,18,23,24,25,33,13,20,27,PC,PA,PC,PA,PC,PA,PC,PA,%
Ralf Fährmann,1,94'17,,-,-,-,-,3,-,-,4,-,13,1,-,-,0,0,20,20,1,1,21,21,1
Max Meyer,7,74'38,-,,6,1,5,2,4,3,2,2,-,-,-,-,1,2,18,21,6,6,25,29,0.86
Kevin-Prince Boateng,9,94'17,1,7,,3,8,8,1,6,12,2,9,-,-,1,7,7,45,49,6,7,58,63,0.92
Julian Draxler,10,86'51,1,6,3,,2,4,4,7,2,3,2,-,-,-,1,3,23,24,10,11,34,38,0.89
Marco Höger,12,94'17,2,2,8,1,,6,6,-,3,1,-,-,-,-,2,3,17,17,10,15,29,35,0.83
Dennis Aogo,15,94'17,-,2,6,7,4,,3,11,9,1,11,-,-,1,2,3,45,47,8,8,55,58,0.95
Sidney Sam,18,78'29,-,6,1,-,4,1,,1,1,1,1,-,-,-,1,2,10,10,5,7,16,19,0.84
Christian Fuchs,23,94'17,4,3,3,10,-,5,-,,3,3,6,1,-,-,5,5,25,28,8,8,38,41,0.93
Kaan Ayhan,24,94'17,7,1,13,1,9,6,2,1,,3,13,-,-,-,4,4,42,44,10,10,56,58,0.97
Klaas-Jan Huntelaar,25,94'17,-,-,-,4,1,-,2,4,-,,1,-,1,-,1,1,9,10,3,4,13,15,0.87
Roman Neustädter,33,94'17,6,2,9,6,2,14,1,7,15,1,,-,-,-,4,4,53,53,6,6,63,63,1
Eric Maxim Choupo-Moting 13,,19'39,-,-,-,-,1,-,-,-,-,-,-,,-,2,0,0,2,2,1,1,3,3,1
Chinedu Obasi 20,,7'26,-,-,-,-,-,-,-,-,-,1,-,-,,-,0,0,1,1,0,0,1,1,1
Tranquillo Barnetta 27,,15'48,-,-,-,-,1,-,-,-,-,-,-,1,-,,0,0,2,3,0,0,2,3,0.67
Total passes received:,,,21,29,49,33,37,49,23,40,51,18,56,3,1,4,28,34,312 329,,74,84,414,447,0.93
,,,,,,,,,,,,,,,,,,,,,,,,03:26:49CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
