Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 17 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stadion Ljudski vrt - Maribor,,,,,,,,,,,,,,,,,,,,,,,,,
,NK Maribor,,,,,,,,,1 - 1,,,,,Sporting Clube de Portugal,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,5,8,9,10,22,26,28,30,44,70,11,14,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasmin Handanovič,33,93'25,,1,-,2,-,2,1,1,2,-,1,-,-,-,6,13,4,4,0,0,10,17,0.59
Željko Filipović,5,93'25,3,,1,1,3,3,3,6,3,-,4,-,-,2,5,6,20,22,4,4,29,32,0.91
Sintayehu Sallalich,8,57'31,-,1,,-,-,3,-,1,1,-,1,-,-,-,0,1,5,6,2,3,7,10,0.7
Tavares,9,83'38,-,2,2,,4,1,1,3,3,-,1,-,-,-,0,0,8,12,9,10,17,22,0.77
Agim Ibraimi,10,93'25,-,1,1,2,,3,-,5,-,-,1,-,1,-,0,0,10,12,4,8,14,20,0.7
Dare Vršič,22,81'07,-,4,-,3,3,,2,-,8,-,-,-,-,-,1,3,14,18,5,8,20,29,0.69
Aleksander Rajčevič,26,93'25,2,1,-,-,-,4,,-,6,2,3,-,-,-,1,3,15,15,2,2,18,20,0.9
Mitja Viler,28,93'25,4,5,2,1,4,2,1,,1,1,4,1,-,2,1,4,24,26,3,5,28,35,0.8
Petar Stojanovič,30,93'25,1,4,2,6,5,5,4,-,,2,1,-,-,-,4,5,23,24,3,5,30,34,0.88
Arghus,44,93'25,1,1,-,1,1,-,2,2,1,,1,-,-,1,1,2,9,10,1,2,11,14,0.79
Aleš Mertelj,70,93'25,-,3,2,-,1,5,4,1,5,1,,-,-,-,1,1,15,15,6,9,22,25,0.88
Luka Zahovič 11,,12'18,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Jean-Philippe Mendy 14,,9'47,-,-,-,-,1,-,-,-,-,-,-,-,,-,0,0,1,1,0,0,1,1,1
Damjan Bohar 39,,35'54,-,1,-,-,-,-,-,3,-,-,-,-,-,,0,0,4,6,0,0,4,6,0.67
Total passes received:,,,11,24,10,16,22,28,18,22,30,6,17,1,1,5,20,38,152 171,,39,56,211,265,0.8
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,8,9,14,18,23,29,41,77,10,17,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Rui Patrício,1,93'25,,6,3,-,1,2,-,-,2,1,3,-,1,-,10,11,9,9,0,0,19,20,0.95
Maurício,3,93'25,1,,-,1,-,7,1,1,6,14,-,-,-,1,3,4,25,26,4,4,32,34,0.94
Jefferson,4,93'25,-,1,,-,-,3,5,4,2,-,9,-,1,1,2,3,21,23,3,4,26,30,0.87
André Martins,8,45'10,-,-,-,,1,1,2,4,-,-,2,-,-,-,0,0,7,8,3,4,10,12,0.83
Islam Slimani,9,91'23,-,-,1,-,,3,4,1,-,1,3,-,3,-,2,2,8,13,6,7,16,22,0.73
William Carvalho,14,93'25,1,2,10,2,2,,4,8,7,13,4,-,6,3,10,14,44,45,8,10,62,69,0.9
André Carrillo,18,65'26,-,1,2,2,2,3,,1,-,7,-,-,-,-,1,1,8,13,9,14,18,28,0.64
Adrien Silva,23,93'25,-,3,3,2,1,11,4,,2,2,9,-,7,2,3,4,24,27,19,23,46,54,0.85
Naby Sarr,29,93'25,3,6,6,1,1,4,2,4,,-,1,-,1,1,3,3,25,27,2,3,30,33,0.91
Cédric,41,93'25,3,6,-,2,2,6,7,5,2,,12,-,6,1,4,6,34,37,14,16,52,59,0.88
Nani,77,93'25,-,1,3,-,2,7,-,8,-,8,,-,7,2,0,1,27,31,11,14,38,46,0.83
Fredy Montero 10,,2'02,-,-,-,-,-,1,-,-,-,-,-,,-,-,0,0,0,0,1,1,1,1,1
João Mário 17,,48'15,-,2,1,-,3,3,1,3,-,11,9,-,,5,3,3,21,23,14,15,38,41,0.93
Carlos Mané 36,,27'59,-,1,2,-,-,2,-,-,1,2,-,-,3,,1,2,7,9,3,4,11,15,0.73
Total passes received:,,,8,29,31,10,15,53,30,39,22,59,52,0,35,16,42,54,260 291,,97,119,399,464,0.86
,,,,,,,,,,,,,,,,,,,,,,,,04:22:29CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
