Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 17 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Estádio do Dragão - Porto,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Porto,,,,,,,,,6 - 0,,,,,,,FC BATE Borisov,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,3,4,6,7,8,9,16,18,26,11,15,99,PC,PA,PC,PA,PC,PA,PC,PA,%
Fabiano,12,93'02,,-,7,9,3,1,-,-,1,-,2,-,-,-,3,3,19,20,1,1,23,24,0.96
Danilo,2,93'02,3,,2,15,6,21,1,3,10,1,2,1,5,1,7,9,49,54,16,18,72,81,0.89
Bruno Martins Indi,3,93'02,7,2,,18,7,2,2,-,6,-,28,-,7,-,10,11,60,61,9,9,79,81,0.98
Maicon,4,93'02,2,23,20,,9,1,1,-,5,2,1,-,1,1,10,11,52,52,5,6,67,69,0.97
Casemiro,6,93'02,2,15,8,7,,4,4,2,6,7,4,-,8,-,9,10,46,49,12,12,67,71,0.94
Ricardo Quaresma,7,93'02,-,17,1,5,6,,2,-,4,3,4,1,3,1,4,6,34,44,9,10,47,60,0.78
Yacine Brahimi,8,59'00,-,1,2,2,6,2,,5,2,1,5,-,-,-,3,4,19,20,4,6,26,30,0.87
Jackson Martínez,9,63'41,-,1,1,-,1,5,2,,2,1,-,-,-,-,3,3,6,10,4,6,13,19,0.68
Hector Herrera,16,68'08,1,5,7,4,2,11,3,2,,1,4,-,-,-,7,10,29,31,4,8,40,49,0.82
Adrián López,18,93'02,-,6,2,1,2,3,3,-,3,,2,-,1,1,1,1,16,18,7,10,24,29,0.83
Alex Sandro,26,93'02,4,-,13,2,6,3,8,1,5,5,,1,4,-,2,3,42,46,8,12,52,61,0.85
Cristian Tello 11,,24'54,-,-,-,-,-,-,-,-,-,-,-,,-,1,0,0,1,2,0,0,1,2,0.5
Evandro 15,,34'03,-,4,2,2,8,9,-,-,-,4,4,1,,2,2,2,18,20,16,16,36,38,0.95
Vincent Aboubakar 99,,29'21,-,-,-,-,1,2,-,-,-,2,-,-,-,,0,0,4,6,1,2,5,8,0.62
Total passes received:,,,19,74,65,65,57,64,26,13,44,27,56,4,29,7,61,73,395 433,,96,116,552,622,0.89
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,2,8,9,14,20,21,22,23,33,62,7,13,77,PC,PA,PC,PA,PC,PA,PC,PA,%
Sergei Chernik,16,93'02,,1,-,-,3,1,2,1,-,7,-,-,-,-,3,3,11,12,1,1,15,16,0.94
Dmitri Likhtarovich,2,53'03,3,,3,1,-,1,-,3,4,5,2,-,-,-,4,5,13,15,5,8,22,28,0.79
Aleksandr Volodko,8,93'02,-,1,,8,1,1,1,7,3,-,2,-,2,2,1,3,14,19,13,16,28,38,0.74
Ilya Aleksievich,9,93'02,1,1,9,,2,-,3,1,-,4,-,1,-,-,2,4,15,16,5,7,22,27,0.81
Anri Khagush,14,93'02,1,-,-,-,,1,-,-,2,1,5,3,1,2,3,4,7,10,6,8,16,22,0.73
Vitali Rodionov,20,70'06,-,2,1,1,1,,-,1,2,2,2,-,-,-,1,1,10,11,1,5,12,17,0.71
Egor Filipenko,21,93'02,7,1,2,2,1,-,,3,1,4,1,1,1,-,7,9,15,18,2,2,24,29,0.83
Filip Mladenović,22,93'02,-,-,4,-,-,2,3,,1,-,1,1,-,1,0,3,9,10,4,5,13,18,0.72
Edgar Olekhnovich,23,61'59,-,3,2,2,4,3,1,1,,3,-,-,-,-,0,4,15,18,4,5,19,27,0.7
Denis Polyakov,33,93'02,4,6,1,3,3,-,4,-,5,,-,2,-,-,3,3,24,25,1,1,28,29,0.97
Mikhail Gordeychuk,62,93'02,-,-,-,2,1,3,1,-,2,-,,-,-,-,0,1,4,7,5,9,9,17,0.53
Aleksandr Karnitski,7,31'03,-,-,1,-,2,-,-,1,-,-,-,,1,1,1,2,4,7,1,2,6,11,0.55
Nikolai Signevich 13,,22'56,-,-,-,-,2,-,-,1,-,-,-,-,,2,0,0,2,3,3,5,5,8,0.62
Andriy Yakovlev 77,,39'59,-,-,2,-,-,-,-,-,1,1,1,1,1,,0,0,4,5,3,3,7,8,0.88
Total passes received:,,,16,15,25,19,20,12,15,19,21,27,14,9,6,8,25,42,147 176,,54,77,226,295,0.77
,,,,,,,,,,,,,,,,,,,,,,,,03:26:35CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
