Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Wednesday 17 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Estadio de San Mamés - Bilbao,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Club,,,,,,,,,0 - 0,,,,,,FC Shakhtar Donetsk,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,7,8,10,11,17,18,19,20,24,14,22,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Gorka Iraizoz,1,97'25,,4,-,1,1,1,1,7,-,-,4,-,-,-,5,5,14,14,0,0,19,19,1
Aymeric Laporte,4,97'25,6,,2,2,-,1,1,8,2,4,5,-,-,1,6,8,24,28,2,2,32,38,0.84
Beñat,7,66'05,-,1,,4,3,3,2,3,3,-,2,-,-,-,3,3,11,14,7,9,21,26,0.81
Ander Iturraspe,8,97'25,3,5,6,,4,2,7,3,4,2,3,2,1,1,7,9,24,24,12,14,43,47,0.91
Óscar de Marcos,10,97'25,1,-,2,2,,-,2,5,3,2,-,7,-,-,2,3,16,18,6,9,24,30,0.8
Ibai Gómez,11,97'25,-,1,3,-,-,,1,-,2,1,4,-,1,2,2,2,8,10,5,6,15,18,0.83
Mikel Rico,17,97'25,1,1,3,2,4,3,,2,5,-,-,4,-,1,4,4,17,25,5,7,26,36,0.72
Carlos Gurpegi,18,97'25,1,11,-,10,12,1,2,,1,1,1,-,-,-,4,5,31,34,5,5,40,44,0.91
Iker Muniain,19,76'17,-,1,5,3,9,1,2,-,,-,2,-,-,-,1,2,17,23,5,8,23,33,0.7
Aritz Aduriz,20,78'29,-,-,2,1,1,-,3,-,3,,-,-,-,-,1,1,4,5,5,6,10,12,0.83
Mikel Balenziaga,24,97'25,1,3,1,3,-,8,-,-,1,2,,-,1,1,1,1,14,16,6,6,21,23,0.91
Markel Susaeta 14,,31'20,-,-,-,-,3,-,4,1,-,1,-,,-,1,1,2,7,8,2,3,10,13,0.77
Guillermo Fernández 22,,18'56,-,-,-,-,-,1,1,-,-,-,-,-,,1,0,0,1,1,2,3,3,4,0.75
Ager Aqueche 23,,21'08,-,-,-,2,-,3,-,1,-,-,-,-,2,,0,0,6,6,2,3,8,9,0.89
Total passes received:,,,13,27,24,30,37,24,26,30,24,13,21,13,5,8,37,45,194 226,,64,81,295,352,0.84
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,5,6,9,17,20,28,29,33,44,66,8,11,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Andriy Pyatov,30,97'25,,9,3,-,3,2,1,2,2,7,6,1,-,-,6,9,28,28,2,2,36,39,0.92
Olexandr Kucher,5,97'25,12,,-,-,5,5,2,1,19,6,6,-,-,-,9,10,40,41,7,7,56,58,0.97
Taras Stepanenko,6,97'25,2,5,,-,2,1,3,4,2,2,6,1,-,-,3,6,17,21,8,8,28,35,0.8
Luiz Adriano,9,90'49,-,-,-,,-,-,2,1,-,1,1,-,1,-,0,0,4,6,2,3,6,9,0.67
Fernando,17,74'49,1,5,8,-,,3,3,1,10,2,3,-,-,-,4,4,27,29,5,5,36,38,0.95
Douglas Costa,20,97'25,-,2,3,-,2,,1,2,3,1,2,1,-,-,1,2,12,16,4,7,17,25,0.68
Taison,28,81'37,-,1,5,2,3,7,,1,2,4,16,-,-,-,4,5,20,21,17,18,41,44,0.93
Alex Teixeira,29,97'25,-,1,1,2,3,5,2,,1,-,1,-,-,-,3,3,8,11,5,5,16,19,0.84
Darijo Srna,33,97'25,9,10,1,1,7,6,2,1,,6,2,1,1,-,8,11,36,36,3,5,47,52,0.9
Yaroslav Rakitskiy,44,97'25,8,9,2,1,3,1,1,1,6,,2,-,1,-,9,12,24,26,2,2,35,40,0.88
Márcio Azevedo,66,97'25,1,2,6,1,1,4,12,1,2,7,,-,2,-,4,5,29,32,6,7,39,44,0.89
Fred,8,22'35,-,1,-,-,-,3,1,-,1,-,-,,2,-,0,0,5,6,3,3,8,9,0.89
Marlos 11,,15'47,-,2,-,-,-,-,-,-,-,-,2,3,,-,1,1,4,4,2,2,7,7,1
Olexandr Gladkiy 21,,6'36,-,-,-,-,-,1,-,-,-,-,-,-,-,,0,0,0,0,1,1,1,1,1
Total passes received:,,,33,47,29,7,29,38,30,15,48,36,47,7,7,0,52,68,254 277,,67,75,373,420,0.89
,,,,,,,,,,,,,,,,,,,,,,,,03:26:43CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
