Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 16 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Stadio Georgios Karaiskakis - Piraeus,,,,,,,,,,,,,,,,,,,,,,,,,
,Olympiacos FC,,,,,,,,,3 - 2,,,,,,Club Atlético de Madrid,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,2,3,5,6,7,10,11,14,22,26,8,19,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,96'19,,1,2,1,1,1,-,1,-,5,3,-,-,-,6,8,10,10,1,1,17,19,0.89
Giannis Maniatis,2,96'19,-,,2,5,-,1,1,2,12,-,-,-,-,-,1,1,14,16,9,12,24,29,0.83
Alberto Botía,3,96'19,3,1,,3,-,1,1,1,6,5,-,-,2,-,1,6,21,24,3,3,25,33,0.76
Luka Milivojević,5,96'19,1,4,4,,2,2,1,2,3,4,1,2,-,-,2,3,22,22,3,4,27,29,0.93
Ibrahim Afellay,6,71'52,-,2,1,1,,1,3,4,1,1,4,-,-,-,3,5,12,13,4,4,19,22,0.86
Kostas Mitroglou,7,96'19,-,2,-,3,-,,-,-,1,3,5,2,-,1,2,2,9,10,6,9,17,21,0.81
Alejandro Domínguez,10,59'50,-,1,-,1,3,3,,4,2,1,-,-,-,-,2,2,7,9,6,8,15,19,0.79
Pajtim Kasami,11,86'32,-,1,-,3,5,3,2,,-,1,9,-,-,-,3,4,15,19,8,8,26,31,0.84
Omar Elabdellaoui,14,96'19,1,7,6,2,1,2,2,1,,-,-,-,-,-,1,2,15,18,7,8,23,28,0.82
Éric Abidal,22,96'19,5,-,5,1,4,1,-,5,1,,1,3,1,-,8,10,19,20,4,5,31,35,0.89
Arthur Masuaku,26,96'19,3,-,-,1,5,2,2,5,-,6,,-,3,-,3,4,22,24,4,5,29,33,0.88
Delvin N'Dinga,8,24'28,-,1,2,1,-,-,-,1,1,-,2,,2,-,0,0,10,10,1,1,11,11,1
David Fuster 19,,36'29,-,-,-,-,-,4,-,-,1,-,-,3,,1,1,1,3,4,7,8,11,13,0.85
Kostas Giannoulis 20,,9'47,-,-,-,-,-,2,-,-,-,-,1,-,1,,0,0,5,5,0,0,5,5,1
Total passes received:,,,14,21,23,22,23,26,12,28,31,28,28,12,9,3,33,48,184 204,,63,76,280,328,0.85
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,6,8,9,10,14,15,20,23,7,17,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Jan Oblak,13,96'19,,2,-,-,-,-,1,-,1,1,2,-,-,-,1,1,7,7,0,0,8,8,1
Diego Godín,2,96'19,2,,8,4,2,-,-,3,5,1,4,1,-,1,3,6,27,28,6,7,36,41,0.88
Mario Suárez,4,77'43,-,4,,12,2,-,4,4,8,7,5,-,-,-,5,7,42,44,6,7,53,58,0.91
Koke,6,96'19,-,2,11,,5,4,13,4,6,4,2,1,2,1,5,8,37,43,25,27,67,78,0.86
Raúl García,8,69'03,-,-,1,3,,1,7,3,2,2,-,-,-,-,1,2,8,11,11,13,20,26,0.77
Mario Mandžukić,9,96'19,-,-,1,2,1,,2,1,2,-,-,-,-,-,0,0,7,7,3,5,10,12,0.83
Arda Turan,10,96'19,-,1,5,11,4,2,,6,6,6,2,2,1,-,3,8,28,29,23,28,54,65,0.83
Gabi,14,58'24,-,3,6,2,5,-,5,,4,11,3,-,-,-,5,8,29,30,9,10,43,48,0.9
Cristian Ansaldi,15,96'19,-,3,4,15,2,2,7,3,,2,3,-,-,-,7,9,29,34,13,13,49,56,0.88
Juanfran,20,96'19,-,1,5,3,3,2,8,8,-,,1,1,-,5,1,1,26,30,16,18,43,49,0.88
Miranda,23,96'19,-,5,3,2,-,-,1,6,6,7,,1,1,-,3,5,28,31,5,5,36,41,0.88
Antoine Griezmann,7,37'55,-,-,-,1,-,-,1,-,-,2,-,,-,-,0,0,5,8,2,2,7,10,0.7
Saúl Ñíguez 17,,18'36,-,-,-,2,-,-,-,-,2,-,1,-,,1,1,1,6,6,0,1,7,8,0.88
Alessio Cerci 22,,27'17,-,-,-,1,-,-,2,-,-,-,-,1,-,,2,2,4,4,0,0,6,6,1
Total passes received:,,,3,25,47,68,25,13,61,39,52,49,27,13,6,11,37,58,283 312 119 136,,,,439,506,0.87
,,,,,,,,,,,,,,,,,,,,,,,,17:19:37CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
