Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 16 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,2 - 0,,,,,,,,Malmö FF,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,6,8,10,14,19,22,26,33,2,9,12,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,96'25,,6,5,-,-,-,-,4,1,1,1,-,-,-,6,6,9,9,3,3,18,18,1
Giorgio Chiellini,3,96'25,7,,8,2,4,4,2,9,7,1,11,-,-,-,8,9,43,48,4,4,55,61,0.9
Martín Cáceres,4,96'25,2,2,,10,9,8,4,4,10,25,5,-,-,-,8,8,54,58,17,17,79,83,0.95
Paul Pogba,6,96'25,-,1,6,,6,12,2,1,-,20,1,-,-,-,0,3,33,34,16,18,49,55,0.89
Claudio Marchisio,8,96'25,-,9,6,3,,3,2,5,3,3,8,-,-,-,6,7,29,30,7,7,42,44,0.95
Carlos Tévez,10,93'00,-,-,6,7,4,,5,-,7,18,8,-,-,-,11,12,29,32,15,19,55,63,0.87
Fernando Llorente,14,87'23,-,1,2,4,-,7,,-,4,4,2,-,-,-,1,1,13,15,10,14,24,30,0.8
Leonardo Bonucci,19,96'25,1,7,6,-,4,-,-,,5,3,2,1,1,-,7,10,21,22,2,3,30,35,0.86
Kwadwo Asamoah,22,96'25,-,6,5,3,3,9,3,1,,2,19,-,-,-,7,8,30,31,14,17,51,56,0.91
Stephan Lichtsteiner,26,93'20,2,-,20,23,2,9,7,2,2,,1,-,-,-,0,0,37,38,31,36,68,74,0.92
Patrice Evra,33,96'25,-,5,-,5,2,7,2,2,20,1,,-,1,-,2,4,31,33,12,14,45,51,0.88
Rômulo,2,3'05,-,-,-,1,-,-,-,-,-,-,-,,-,-,0,0,1,1,0,0,1,1,1
Álvaro Morata,9,9'01,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Sebastian Giovinco 12,,3'25,-,-,-,1,-,-,-,-,-,-,-,-,-,,0,0,0,1,1,1,1,2,0.5
Total passes received:,,,12,37,64,59,34,59,27,28,59,78,58,1,2,0,56,68,330 352 132 153,,,,518,573,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,25,3,4,6,7,8,9,21,24,32,33,14,26,31,PC,PA,PC,PA,PC,PA,PC,PA,%
Robin Olsen,25,96'25,,3,3,-,-,-,-,4,-,-,-,-,-,-,4,5,5,5,1,1,10,11,0.91
Anton Tinnerholm,3,96'25,1,,-,1,-,1,2,4,2,-,2,-,-,2,2,2,11,14,2,2,15,18,0.83
Filip Helander,4,96'25,5,-,,1,-,1,-,-,-,1,1,-,-,-,2,3,7,7,0,0,9,10,0.9
Markus Halsti,6,96'25,2,1,3,,-,2,-,3,-,1,1,1,-,1,1,1,11,11,3,3,15,15,1
Magnus Eriksson,7,83'18,-,1,-,-,,6,1,2,2,3,2,-,-,-,1,2,9,9,7,9,17,20,0.85
Enoch Adu,8,96'25,1,3,2,1,5,,-,1,1,6,2,-,-,-,4,4,13,14,5,5,22,23,0.96
Markus Rosenberg,9,55'12,-,1,-,-,-,-,,-,-,1,1,-,-,-,0,0,1,5,2,4,3,9,0.33
Erik Johansson,21,96'25,1,3,1,5,-,2,-,,1,1,2,-,-,-,0,0,13,16,3,4,16,20,0.8
Isaac Thelin,24,74'45,-,1,-,1,3,-,-,-,,-,-,-,-,-,0,0,3,5,2,5,5,10,0.5
Pa Konate,32,96'25,2,-,-,-,2,3,-,-,1,,1,-,-,1,1,2,5,6,4,4,10,12,0.83
Emil Forsberg,33,96'25,-,2,-,1,1,1,1,1,1,2,,1,-,-,2,2,7,7,2,3,11,12,0.92
Simon Kroon 14,,21'40,-,-,-,-,1,-,-,-,-,-,-,,-,1,0,0,1,1,1,2,2,3,0.67
Agon Mehmeti 26,,41'13,-,-,-,-,1,-,-,-,-,-,1,-,,-,0,0,1,2,1,1,2,3,0.67
Erdal Rakip 31,,13'06,-,3,-,-,-,-,-,-,-,-,1,1,1,,0,0,2,2,4,5,6,7,0.86
Total passes received:,,,12,18,9,10,13,16,4,15,8,15,14,3,1,5,17,21,89,104,37,48,143,173,0.83
,,,,,,,,,,,,,,,,,,,,,,,,05:13:29CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,17 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
