Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 16 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Anfield - Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool FC,,,,,,,,,2 - 1,,,,,,PFC Ludogorets 1945,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,22,6,8,10,14,17,18,19,20,31,45,21,29,PC,PA,PC,PA,PC,PA,PC,PA,%,
Simon Mignolet,22,95'14,,10,4,-,2,10,1,2,-,-,1,-,-,3,5,27,27,0,0,30,32,0.94,
Dejan Lovren,6,95'14,10,,15,1,8,8,1,3,6,-,3,1,1,6,6,39,41,12,12,57,59,0.97,
Steven Gerrard,8,95'14,3,8,,13,6,14,9,4,5,2,1,3,1,10,12,53,55,6,6,69,73,0.95,
Coutinho,10,68'19,-,3,5,,5,6,7,-,3,12,4,-,-,2,5,34,37,9,15,45,57,0.79,
Jordan Henderson,14,95'14,-,10,9,5,,3,4,11,5,2,4,1,2,9,11,40,48,7,11,56,70,0.8,
Mamadou Sakho,17,95'14,10,11,14,12,4,,10,1,-,2,-,4,-,7,7,51,52,10,11,68,70,0.97,
Alberto Moreno,18,95'14,2,-,8,5,1,5,,-,2,7,3,3,2,5,6,29,30,4,5,38,41,0.93,
Javi Manquillo,19,95'14,-,6,2,-,13,1,1,,4,1,-,-,1,3,3,17,21,9,16,29,40,0.72,
Adam Lallana,20,67'45,-,1,2,3,4,1,1,8,,-,4,-,-,1,4,13,16,10,12,24,32,0.75,
Raheem Sterling,31,95'14,-,-,4,5,5,2,5,-,1,,3,-,-,2,4,14,16,9,13,25,33,0.76,
Mario Balotelli,45,95'14,-,-,1,2,7,1,2,3,2,1,,2,1,1,1,12,16,9,12,22,29,0.76,
Lucas 21,,26'56,-,1,2,-,3,1,5,2,-,2,1,,1,0,0,16,16,2,2,18,18,1,
Fabio Borini 29,,27'29,-,-,-,-,-,-,1,1,-,2,2,2,,0,0,4,6,4,5,8,11,0.73,
Total passes received:,,,25,50,66,46,58,52,47,35,28,31,26,16,9,49,64,349 381,,91,120,489,565,0.87,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,26,7,9,12,15,18,25,27,80,84,93,8,17,99,PC,PA,PC,PA,PC,PA,PC,PA,%
Milan Borjan,26,95'14,,-,-,-,4,1,2,4,4,-,-,-,1,-,1,2,14,14,1,1,16,17,0.94
Mihail Aleksandrov,7,95'14,-,,-,1,2,4,-,-,6,4,1,-,1,-,3,3,10,13,6,7,19,23,0.83
Roman Bezjak,9,87'02,-,-,,-,-,-,-,-,-,6,2,-,-,-,0,0,6,6,2,3,8,9,0.89
Anicet Abel,12,95'14,1,1,1,,3,10,2,5,6,-,2,3,1,-,4,4,19,24,12,14,35,42,0.83
Aleksandar Aleksandrov,15,95'14,5,2,1,2,,-,2,3,4,2,-,-,-,-,2,3,15,16,4,4,21,23,0.91
Svetoslav Dyakov,18,85'12,-,4,1,10,2,,6,4,3,4,1,-,1,-,9,11,22,23,5,8,36,42,0.86
Yordan Minev,25,95'14,2,1,2,5,-,2,,2,-,3,7,-,-,1,3,4,15,19,7,10,25,33,0.76
Cosmin Moţi,27,95'14,4,-,-,4,2,4,3,,1,-,2,1,-,-,5,8,12,15,4,4,21,27,0.78
Júnior Caiçara,80,95'14,-,9,-,-,-,3,1,-,,6,2,2,-,1,3,5,14,16,7,7,24,28,0.86
Marcelinho,84,95'14,-,-,3,1,3,1,5,1,3,,4,-,1,1,3,6,13,15,7,11,23,32,0.72
Virgil Misidjan,93,72'58,-,-,-,2,1,1,4,-,2,1,,-,-,-,1,1,5,8,5,12,11,21,0.52
Fábio Espinho,8,10'02,-,-,-,2,1,-,1,-,1,-,-,,-,-,1,1,2,3,2,3,5,7,0.71
Dani Abalo 17,,22'16,-,-,1,1,-,1,1,-,-,3,-,-,,-,0,0,5,5,2,2,7,7,1
Younes Hamza 99,,8'12,-,-,-,-,-,-,-,-,-,1,-,-,-,,0,1,0,0,1,1,1,2,0.5
Total passes received:,,,12,17,9,28,18,27,27,19,30,30,21,6,5,3,35,49,152 177,,65,87,252,313,0.81
,,,,,,,,,,,,,,,,,,,,,,,,15:28:37CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
