Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 16 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,,,,5 - 1,,,,,,,FC Basel 1893,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,7,8,9,10,11,12,18,19,2,14,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,1,93'04,,7,6,1,2,2,2,1,4,3,-,-,-,-,11,12,17,17,0,0,28,29,0.97
Pepe,3,93'04,1,,12,-,9,-,5,4,4,10,6,-,-,-,9,9,34,36,8,8,51,53,0.96
Sergio Ramos,4,66'34,4,4,,2,9,-,7,1,18,3,1,-,-,-,5,7,36,36,8,9,49,52,0.94
Cristiano Ronaldo,7,93'04,-,-,-,,4,2,11,-,5,8,2,-,-,-,0,1,19,21,13,17,32,39,0.82
Toni Kroos,8,93'04,-,10,9,11,,1,12,3,15,8,9,2,2,1,12,14,58,59,13,15,83,88,0.94
Karim Benzema,9,82'09,-,-,-,3,-,,1,4,1,1,1,-,-,1,1,1,4,6,7,7,12,14,0.86
James Rodríguez,10,93'04,-,-,2,8,12,5,,10,12,4,7,2,-,1,7,8,39,45,17,18,63,71,0.89
Gareth Bale,11,93'04,-,-,-,3,4,1,5,,6,7,4,-,-,1,2,4,18,20,11,16,31,40,0.78
Marcelo,12,93'04,2,2,12,10,14,2,11,6,,2,1,1,-,1,6,9,34,39,24,26,64,74,0.86
Nacho,18,93'04,4,13,3,5,7,-,2,9,2,,7,-,-,-,4,4,36,39,12,13,52,56,0.93
Luka Modrić,19,74'18,-,3,1,3,8,3,3,8,4,5,,-,-,-,5,7,26,27,7,9,38,43,0.88
Raphaël Varane,2,26'30,2,2,-,-,3,-,2,-,-,-,-,,-,3,4,4,3,3,5,5,12,12,1
Javier Hernández 14,,10'55,-,-,-,-,-,-,1,-,-,-,-,-,,2,0,0,1,1,2,2,3,3,1
Asier Illarramendi 24,,18'46,1,2,-,-,2,-,2,1,-,-,-,2,1,,1,1,8,8,2,2,11,11,1
Total passes received:,,,14,43,45,46,74,16,64,47,71,51,38,7,3,10,67,81,333 357 129 147,,,,529,585,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,6,7,9,16,17,19,20,25,33,34,10,14,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Tomáš Vaclík,1,93'04,,4,2,-,6,4,7,2,1,1,3,-,-,-,13,15,14,14,3,3,30,32,0.94
Walter Samuel,6,64'23,1,,2,-,5,4,4,7,1,4,6,-,-,-,6,9,27,28,1,1,34,38,0.89
Luca Zuffi,7,93'04,-,-,,5,-,2,6,14,4,3,3,1,1,2,3,4,24,28,14,16,41,48,0.85
Marco Streller,9,73'44,-,-,4,,-,-,2,2,3,1,-,-,-,-,1,2,7,8,4,6,12,16,0.75
Fabian Schär,16,93'04,4,7,3,1,,-,2,7,4,8,4,-,-,1,2,4,32,35,7,8,41,47,0.87
Marek Suchý,17,93'04,4,10,1,-,3,,7,9,-,3,1,1,1,-,2,3,34,34,4,4,40,41,0.98
Behrang Safari,19,93'04,1,1,9,5,-,13,,10,1,4,2,1,3,2,1,1,39,41,12,16,52,58,0.9
Fabian Frei,20,83'41,3,7,7,2,3,6,16,,4,15,8,-,1,-,3,8,57,62,12,13,72,83,0.87
Derlis Gonzalez,25,93'04,-,-,1,3,2,-,-,3,,5,4,1,1,2,0,0,14,15,8,12,22,27,0.81
Mohamed Elneny,33,93'04,-,4,4,2,10,2,2,11,7,,14,1,2,2,7,10,41,42,13,15,61,67,0.91
Taulant Xhaka,34,93'04,-,1,-,2,8,1,2,7,7,13,,-,-,-,3,4,25,27,13,15,41,46,0.89
Matías Delgado 10,,9'23,-,-,1,-,-,-,1,-,-,4,-,,2,3,1,1,7,9,3,3,11,13,0.85
Yoichiro Kakitani 14,,28'41,-,-,1,-,-,-,1,1,-,1,-,-,,1,1,1,3,5,1,2,5,8,0.62
Breel Embolo 36,,19'20,-,-,-,-,1,-,1,2,-,1,1,2,-,,0,0,6,6,2,4,8,10,0.8
Total passes received:,,,13,34,35,20,38,32,51,75,32,63,46,7,11,13,43,62,330 354,,97,118,470,534,0.88
,,,,,,,,,,,,,,,,,,,,,,,,14:28:03CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
