Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 16 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Stade Louis II - Monaco,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Monaco FC,,,,,,,,,1 - 0,,,,,,Bayer 04 Leverkusen,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,6,8,9,11,17,22,24,28,7,13,15,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,96'53,,4,4,-,-,-,-,-,-,2,-,-,-,-,7,7,3,3,0,0,10,10,1
Fabinho,2,96'53,1,,2,1,6,1,-,7,-,-,-,-,-,4,4,8,14,18,4,7,22,33,0.67
Layvin Kurzawa,3,96'53,2,-,,3,-,4,1,3,7,-,2,-,-,1,3,3,14,14,6,7,23,24,0.96
Ricardo Carvalho,6,95'59,2,3,2,,-,-,-,1,2,2,1,-,-,-,7,7,3,4,3,3,13,14,0.93
João Moutinho,8,96'53,-,9,5,2,,2,1,6,4,1,-,-,-,5,5,8,20,23,10,15,35,46,0.76
Dimitar Berbatov,9,96'53,-,-,-,-,5,,1,4,5,-,2,-,-,-,0,0,11,13,6,7,17,20,0.85
Lucas Ocampos,11,59'21,-,-,1,-,1,-,,-,-,-,1,-,-,-,0,0,0,1,3,4,3,5,0.6
Yannick Ferreira-Carrasco,17,87'57,-,5,3,-,3,3,1,,4,1,2,-,-,-,0,0,11,14,11,12,22,26,0.85
Geoffrey Kondogbia,22,96'53,-,-,14,5,6,3,5,4,,1,-,1,-,2,3,4,18,21,20,21,41,46,0.89
Andrea Raggi,24,96'53,2,7,-,-,1,-,-,1,-,,2,-,-,1,1,1,11,12,2,2,14,15,0.93
Jérémy Toulalan,28,96'53,-,2,-,1,7,4,1,1,1,1,,-,-,-,1,1,8,10,9,10,18,21,0.86
Nabil Dirar,7,8'56,-,-,-,-,2,-,-,-,-,-,-,,-,-,0,0,1,1,1,2,2,3,0.67
Wallace 13,,54,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Bernardo Silva 15,,37'32,-,3,-,-,2,-,-,2,1,1,-,-,-,,0,0,6,7,3,4,9,11,0.82
Total passes received:,,,7,33,31,12,33,17,10,29,24,9,10,1,0,13,31,39,120 141,,78,94,229,274,0.84
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,5,7,8,10,11,16,17,21,27,38,3,9,26,PC,PA,PC,PA,PC,PA,PC,PA,%
Bernd Leno,1,96'53,,5,-,-,-,-,-,3,4,-,-,1,-,-,2,2,9,9,2,2,13,13,1
Emir Spahić,5,96'53,5,,3,5,1,1,1,5,5,5,-,1,-,-,1,2,22,23,9,11,32,36,0.89
Son Heung-Min,7,96'53,-,2,,2,6,2,2,1,-,5,2,2,-,1,0,2,16,19,9,9,25,30,0.83
Lars Bender,8,77'35,-,4,3,,2,3,3,5,-,3,2,-,-,-,0,3,17,18,8,10,25,31,0.81
Hakan Çalhanoğlu,10,96'53,-,-,7,1,,2,1,2,-,7,6,-,-,-,2,3,14,17,10,11,26,31,0.84
Stefan Kiessling,11,96'53,-,-,3,2,4,,2,1,-,5,4,-,-,2,0,0,9,12,14,15,23,27,0.85
Tin Jedvaj,16,67'17,1,2,2,4,3,1,,1,3,4,1,-,-,-,3,3,12,12,7,7,22,22,1
Sebastian Boenisch,17,96'53,1,1,1,3,3,1,-,,-,2,-,-,-,-,0,3,11,12,1,2,12,17,0.71
Ömer Toprak,21,73'08,3,4,-,2,1,1,2,2,,8,-,-,-,-,1,1,15,17,7,7,23,25,0.92
Gonzalo Castro,27,96'53,1,7,3,4,7,2,5,3,6,,5,1,-,-,1,2,26,29,17,19,44,50,0.88
Karim Bellarabi,38,96'53,-,-,1,2,4,1,1,-,-,2,,-,-,-,0,0,4,8,7,7,11,15,0.73
Stefan Reinartz,3,23'45,1,1,-,-,-,-,-,-,-,1,-,,-,1,0,0,2,4,2,2,4,6,0.67
Josip Drmic,9,19'18,-,-,-,-,2,-,-,-,-,-,-,-,,-,0,0,0,0,2,2,2,2,1
Giulio Donati 26,,29'36,-,2,1,-,-,-,-,-,-,1,1,-,-,,0,0,3,3,2,2,5,5,1
Total passes received:,,,12,28,24,25,33,14,17,23,18,43,21,5,0,4,10,21,160 183,,97,106,267,310,0.86
,,,,,,,,,,,,,,,,,,,,,,,,15:11:09CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,19 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
