Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 16 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Estádio do SL Benfica - Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
,SL Benfica,,,,,,,,,0 - 2,,,,,,,Football Club Zenit,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,7,10,11,14,18,19,30,33,35,13,9,34,PC,PA,PC,PA,PC,PA,PC,PA,%
Artur,1,17'44,,1,-,-,-,-,-,-,-,-,2,-,-,-,0,1,2,2,1,1,3,4,0.75
Luisão,4,94'21,1,,4,-,1,5,4,-,-,8,9,2,-,1,2,2,27,30,6,6,35,38,0.92
Andreas Samaris,7,76'03,-,6,,7,3,4,4,5,-,4,8,-,-,-,4,4,29,31,8,10,41,45,0.91
Nicolás Gaitán,10,94'21,-,1,3,,2,1,2,3,-,2,1,-,-,1,1,2,14,18,1,5,16,25,0.64
Lima,11,75'25,-,-,5,3,,3,3,1,2,-,1,-,-,-,1,1,11,12,6,7,18,20,0.9
Maxi Pereira,14,94'21,-,4,2,-,3,,16,2,-,1,10,-,1,-,1,3,23,26,15,16,39,45,0.87
Eduardo Salvio,18,94'21,-,2,4,1,3,11,,1,-,-,6,-,-,1,2,4,18,24,9,14,29,42,0.69
Eliseu,19,94'21,1,2,1,10,1,-,2,,1,5,3,1,1,3,3,3,17,20,11,12,31,35,0.89
Talisca,30,19'38,-,-,-,-,-,-,1,-,,-,-,-,-,-,0,0,0,3,1,1,1,4,0.25
Jardel,33,94'21,-,5,9,5,1,-,2,7,1,,1,2,-,1,0,0,27,30,7,7,34,37,0.92
Enzo Pérez,35,94'21,-,6,3,5,6,10,9,8,-,2,,-,1,4,5,6,37,39,12,16,54,61,0.89
Paulo Lopes 13,,74'43,-,2,3,-,1,1,1,2,-,2,4,,-,1,4,4,12,12,1,1,17,17,1
Derley,9,18'57,-,-,-,-,-,-,1,-,-,-,-,-,,-,0,0,0,0,1,2,1,2,0.5
André Almeida 34,,18'18,-,3,-,1,-,1,3,3,-,1,4,-,-,,1,1,13,13,2,2,16,16,1
Total passes received:,,,2,32,34,32,21,36,48,32,4,25,49,5,3,12,24,31,230 260,,81,100,335,391,0.86
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,6,7,17,19,21,23,24,28,35,2,8,10,PC,PA,PC,PA,PC,PA,PC,PA,%
Yuri Lodygin,1,94'21,,2,10,-,-,1,-,1,3,2,3,-,-,-,4,7,18,18,0,0,22,25,0.88
Domenico Criscito,4,94'21,1,,15,-,8,-,5,-,2,7,5,-,2,-,4,4,31,32,10,11,45,47,0.96
Nicolas Lombaerts,6,94'21,4,14,,1,7,1,14,1,14,8,5,-,3,-,11,11,54,54,7,7,72,72,1
Hulk,7,86'36,-,2,-,,1,3,1,1,3,2,7,-,-,-,1,4,9,13,10,12,20,29,0.69
Oleg Shatov,17,94'21,-,5,2,6,,1,2,-,2,3,6,-,1,1,3,4,21,24,5,13,29,41,0.71
Igor Smolnikov,19,47'17,-,-,-,4,-,,1,-,5,3,2,-,-,-,0,0,10,11,5,6,15,17,0.88
Javi García,21,94'21,-,8,14,-,3,1,,1,13,9,9,5,4,-,6,6,55,55,6,6,67,67,1
José Rondón,23,77'28,-,-,-,4,2,-,-,,-,2,2,2,-,-,0,2,6,7,6,10,12,19,0.63
Ezequiel Garay,24,94'21,4,-,15,3,1,4,14,1,,15,10,5,1,-,12,14,50,50,11,13,73,77,0.95
Axel Witsel,28,94'21,-,5,3,5,7,4,11,1,3,,16,3,1,-,4,5,37,37,18,22,59,64,0.92
Danny,35,94'21,-,5,3,12,6,4,8,4,6,9,,5,2,2,7,9,45,48,14,16,66,73,0.9
Aleksandr Anyukov,2,47'04,-,1,-,-,-,-,2,1,10,2,5,,2,-,2,2,16,17,5,5,23,24,0.96
Pavel Mogilevets,8,16'54,-,2,1,1,1,-,1,-,4,1,1,2,,1,1,1,13,14,1,2,15,17,0.88
Andrey Arshavin 10,,7'45,-,-,-,-,1,-,-,-,-,-,1,1,1,,1,1,2,2,1,2,4,5,0.8
Total passes received:,,,9,44,63,36,37,19,59,11,65,63,72,23,17,4,56,70,367 382,,99,125,522,577,0.9
,,,,,,,,,,,,,,,,,,,,,,,,18:18:58CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
