Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 1 - Tuesday 16 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Ali Sami Yen Spor Kompleksi - Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,
,Galatasaray AŞ,,,,,,,,,1 - 1,,,,,,,RSC Anderlecht,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,8,10,13,17,19,21,26,88,9,11,77,PC,PA,PC,PA,PC,PA,PC,PA,%
Fernando Muslera,1,94'10,,1,2,1,-,2,1,-,10,5,1,-,-,-,6,7,15,15,2,2,23,24,0.96
Felipe Melo,3,94'10,-,,12,7,4,5,-,3,9,8,5,1,3,2,8,9,45,48,6,9,59,66,0.89
Blerim Dzemaili,6,94'10,-,11,,3,5,4,-,5,3,4,1,-,1,1,3,4,24,25,11,15,38,44,0.86
Selçuk İnan,8,72'10,-,9,3,,5,2,2,2,3,2,6,-,1,-,5,5,20,26,10,13,35,44,0.8
Wesley Sneijder,10,94'10,-,3,4,6,,4,5,3,-,1,2,1,2,1,4,5,17,19,11,15,32,39,0.82
Alex Telles,13,80'00,1,5,4,2,14,,-,-,1,2,1,1,1,-,4,6,22,24,6,8,32,38,0.84
Burak Yılmaz,17,94'10,-,-,1,1,-,-,,3,-,2,1,-,-,-,1,1,3,4,4,5,8,10,0.8
Goran Pandev,19,57'50,-,1,2,-,6,-,3,,-,-,-,-,-,-,1,2,4,7,7,10,12,19,0.63
Aurélien Chedjou,21,94'10,3,7,6,5,2,7,3,-,,14,16,-,1,1,7,7,53,57,5,8,65,72,0.9
Semih Kaya,26,94'10,5,5,2,4,5,13,-,-,9,,1,-,-,2,5,5,36,38,5,5,46,48,0.96
Veysel Sarı,88,94'10,1,3,-,7,-,-,-,1,13,-,,-,9,-,1,1,18,22,15,18,34,41,0.83
Umut Bulut,9,22'00,-,-,1,-,1,-,-,-,-,-,1,,1,-,0,0,1,1,3,3,4,4,1
Bruma 11,,36'20,-,1,6,-,1,-,-,-,1,-,3,2,,-,0,1,12,13,2,6,14,20,0.7
Tarık Çamdal 77,,14'10,-,1,-,-,1,-,-,-,-,1,-,-,-,,0,0,1,1,2,2,3,3,1
Total passes received:,,,10,47,43,36,44,37,14,17,49,39,38,5,19,7,45,53,271 300,,89,119,405,472,0.86
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,3,7,10,14,16,18,20,22,31,45,9,19,32,PC,PA,PC,PA,PC,PA,PC,PA,%
Davy Roef,33,94'10,,2,1,-,1,2,2,-,2,-,2,-,-,-,3,6,9,9,0,0,12,15,0.8
Olivier Deschacht,3,94'10,2,,-,1,-,1,11,-,1,2,1,2,-,-,3,7,16,19,2,3,21,29,0.72
Andy Najar,7,94'10,-,1,,1,-,10,-,6,4,6,-,2,1,1,1,1,24,27,7,8,32,36,0.89
Dennis Praet,10,78'55,-,3,1,,-,3,6,4,-,4,2,2,-,-,1,1,16,17,8,12,25,30,0.83
Bram Nuytinck,14,22'11,1,1,1,-,,1,-,-,2,-,-,-,-,-,0,0,6,6,0,0,6,6,1
Steven Defour,16,94'10,2,2,5,8,-,,5,5,5,5,-,4,2,1,7,7,31,34,6,8,44,49,0.9
Frank Acheampong,18,94'10,1,5,-,7,1,4,,-,1,7,2,1,3,-,5,5,18,25,9,9,32,39,0.82
Ibrahima Conté,20,94'10,-,1,7,2,-,6,-,,2,8,2,3,3,1,1,1,21,22,13,13,35,36,0.97
Chancel Mbemba,22,94'10,3,3,7,-,1,3,1,4,,4,-,1,1,-,6,8,20,21,2,2,28,31,0.9
Youri Tielemans,31,94'10,-,4,4,8,-,3,5,1,1,,1,5,1,-,6,7,22,26,5,9,33,42,0.79
Aleksandar Mitrović,45,66'55,-,1,1,2,-,1,1,2,-,-,,1,-,-,1,2,2,2,6,10,9,14,0.64
Matías Suárez,9,71'59,-,-,2,1,-,1,1,2,1,-,2,,3,-,1,4,8,13,4,6,13,23,0.57
Sacha Kljestan 19,,27'15,-,1,2,-,-,3,1,-,-,3,-,6,,-,0,0,10,11,6,6,16,17,0.94
Leander Dendoncker 32,,15'14,-,1,-,-,-,2,2,-,-,-,-,-,-,,0,0,5,5,0,0,5,5,1
Total passes received:,,,9,25,31,30,3,40,35,24,19,39,12,27,14,3,35,49,208 237,,68,86,311,372,0.84
,,,,,,,,,,,,,,,,,,,,,,,,15:29:10CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,18 Sep 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
