Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 1 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Malmö New Stadium - Malmö,,,,,,,,,,,,,,,,,,,,,,,,,
,Malmö FF,,,,,,,,,2 - 0,,,,,,,Olympiacos FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,25,3,4,6,7,8,9,20,21,24,33,15,31,PC,PA,PC,PA,PC,PA,PC,PA,%,
Robin Olsen,25,93'38,,5,2,-,-,-,-,7,-,1,-,-,-,7,9,8,8,0,0,15,17,0.88,
Anton Tinnerholm,3,93'38,1,,-,6,13,-,2,-,2,-,-,-,-,0,2,17,18,7,8,24,28,0.86,
Filip Helander,4,93'38,3,2,,1,1,4,1,6,3,-,1,-,-,5,6,15,16,2,3,22,25,0.88,
Markus Halsti,6,93'38,1,4,3,,4,3,-,3,-,-,2,-,-,2,4,14,15,4,6,20,25,0.8,
Magnus Eriksson,7,74'36,-,9,-,2,,2,2,1,4,1,-,-,-,2,4,13,15,6,7,21,26,0.81,
Enoch Adu,8,93'38,1,2,5,4,3,,4,11,4,3,5,-,-,5,5,25,26,12,13,42,44,0.95,
Markus Rosenberg,9,93'38,-,1,1,2,4,1,,-,-,1,1,-,-,0,0,5,7,6,7,11,14,0.79,
Ricardinho,20,93'38,1,1,5,-,1,6,-,,-,3,11,-,-,4,6,15,17,9,10,28,33,0.85,
Erik Johansson,21,93'38,2,5,3,-,4,5,1,-,,-,-,-,-,1,1,14,15,5,5,20,21,0.95,
Isaac Kiese Thelin,24,93'38,-,-,-,-,-,1,2,1,1,,2,1,-,0,0,4,5,4,4,8,9,0.89,
Emil Forsberg,33,92'06,-,-,2,1,1,2,3,4,-,1,,-,-,1,1,7,8,6,9,14,18,0.78,
Pawel Cibicki 15,,19'03,-,-,-,-,-,-,1,-,-,-,-,,1,0,0,2,2,0,0,2,2,1,
Erdal Rakip 31,,1'32,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,1,0,1,0,
Total passes received:,,,9,29,21,16,31,24,16,33,14,10,22,1,1,27,38,139 152,,61,73,227,263,0.86,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,2,3,5,6,7,8,11,14,22,26,9,10,17,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,93'38,,2,11,3,-,-,1,-,4,5,2,-,-,-,5,5,21,21,2,2,28,28,1
Giannis Maniatis,2,93'38,-,,8,10,3,1,3,7,8,2,6,2,9,-,4,8,45,46,10,11,59,65,0.91
Alberto Botía,3,93'38,4,10,,14,2,-,12,2,23,3,1,-,1,-,3,5,54,54,15,16,72,75,0.96
Luka Milivojević,5,93'38,1,11,7,,3,-,3,2,11,4,4,3,6,-,4,7,44,48,7,9,55,64,0.86
Ibrahim Afellay,6,78'30,-,3,2,3,,1,4,1,4,-,9,-,4,-,3,3,20,25,8,8,31,36,0.86
Kostas Mitroglou,7,93'38,-,2,1,2,2,,-,-,-,-,-,-,2,-,0,0,5,5,4,7,9,12,0.75
Delvin N'Dinga,8,56'56,1,6,11,5,8,-,,3,5,3,8,-,-,-,2,4,42,43,6,7,50,54,0.93
Pajtim Kasami,11,68'32,-,4,1,1,4,2,3,,3,-,3,-,2,-,2,2,9,9,12,13,23,24,0.96
Omar Elabdellaoui,14,93'38,2,11,17,9,-,1,4,7,,-,-,7,2,-,1,2,37,38,22,24,60,64,0.94
Éric Abidal,22,93'38,3,2,3,2,2,1,6,-,1,,4,-,2,-,5,5,17,19,4,4,26,28,0.93
Arthur Masuaku,26,93'38,1,4,-,3,14,1,5,2,-,4,,-,5,-,2,2,21,24,16,16,39,42,0.93
Jimmy Durmaz,9,25'06,-,-,-,1,-,1,-,-,3,-,1,,3,-,0,0,5,5,4,4,9,9,1
Alejandro Domínguez 10,,36'42,-,5,-,4,-,3,-,3,2,4,3,5,,-,1,2,17,18,11,12,29,32,0.91
Dimitris Diamantakos 17,,15'08,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,12,60,61,57,38,11,41,27,64,25,41,17,36,0,32,45,337 355 121 133,,,,490,533,0.92
,,,,,,,,,,,,,,,,,,,,,,,,01:26:48CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,02 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
