Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 1 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - St. Jakob-Park - Basel,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Basel 1893,,,,,,,,,1 - 0,,,,,,,,Liverpool FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,8,9,16,17,19,20,24,33,34,36,7,25,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Tomáš Vaclík,1,95'43,,-,2,5,1,-,-,-,2,11,-,-,-,-,1,1,20,20,0,0,21,21,1
Geoffroy Serey Die,8,95'43,-,,3,3,9,-,9,6,7,4,3,-,3,-,5,5,31,33,11,13,47,51,0.92
Marco Streller,9,95'43,-,1,,-,-,-,3,2,3,-,3,-,1,-,0,1,8,8,5,6,13,15,0.87
Fabian Schär,16,95'43,-,7,-,,13,-,7,3,6,5,2,-,5,-,12,13,33,34,3,3,48,50,0.96
Marek Suchý,17,95'43,4,7,1,9,,2,6,3,6,-,1,-,-,-,1,1,34,35,4,4,39,40,0.98
Behrang Safari,19,8'51,2,-,-,-,-,,1,1,1,-,-,-,-,-,1,1,4,6,0,0,5,7,0.71
Fabian Frei,20,95'43,-,4,5,4,5,3,,5,4,7,4,-,12,1,9,11,35,38,10,10,54,59,0.92
Ahmed Hamoudi,24,93'24,-,6,1,3,3,-,2,,15,-,1,-,-,-,0,1,21,24,10,11,31,36,0.86
Mohamed Elneny,33,95'43,-,10,2,1,-,1,5,14,,1,4,-,1,-,3,3,20,25,16,17,39,45,0.87
Taulant Xhaka,34,95'43,5,2,5,18,1,1,9,1,-,,3,-,7,-,4,4,38,39,10,10,52,53,0.98
Breel Embolo,36,82'44,1,-,2,1,-,-,7,1,-,6,,-,4,-,1,3,14,16,7,10,22,29,0.76
Luca Zuffi,7,2'19,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Derlis Gonzalez 25,,86'52,-,2,1,1,-,-,3,-,-,9,5,-,,-,1,1,14,14,6,8,21,23,0.91
Davide Calla 39,,12'59,-,-,-,-,-,-,1,-,-,-,-,-,-,,0,0,1,1,0,0,1,1,1
Total passes received:,,,12,39,22,45,32,7,53,36,44,43,26,0,33,1,38,45,273 293,,82,92,393,430,0.91
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,22,3,6,8,10,14,19,31,37,45,50,9,20,PC,PA,PC,PA,PC,PA,PC,PA,%,
Simon Mignolet,22,95'43,,-,2,5,-,1,-,-,10,-,-,-,-,1,1,17,17,0,0,18,18,1,
José Enrique,3,95'43,3,,2,3,3,-,-,5,1,2,2,-,-,2,2,12,16,7,7,21,25,0.84,
Dejan Lovren,6,95'43,-,4,,5,1,5,2,-,1,-,-,-,-,1,2,12,12,5,5,18,19,0.95,
Steven Gerrard,8,95'43,4,9,4,,5,10,4,7,8,-,3,1,1,8,9,37,39,11,12,56,60,0.93,
Coutinho,10,71'18,-,3,1,2,,2,2,7,-,-,6,-,-,4,5,12,14,7,7,23,26,0.88,
Jordan Henderson,14,95'43,-,1,1,4,5,,4,4,11,2,6,-,3,4,6,27,28,10,11,41,45,0.91,
Javi Manquillo,19,95'43,1,-,-,4,-,3,,1,3,2,5,-,-,0,0,12,13,7,7,19,20,0.95,
Raheem Sterling,31,95'43,-,5,1,1,4,3,-,,-,1,-,-,-,0,2,9,11,6,6,15,19,0.79,
Martin Škrtel,37,95'43,7,2,3,7,2,9,1,-,,4,4,-,3,4,4,34,34,4,4,42,42,1,
Mario Balotelli,45,95'43,-,-,-,1,1,-,2,-,1,,2,-,2,1,2,5,8,3,3,9,13,0.69,
Lazar Marković,50,82'24,-,-,-,6,2,3,3,1,1,2,,-,1,2,2,10,12,7,8,19,22,0.86,
Rickie Lambert,9,13'19,-,-,-,-,-,-,-,-,-,2,-,,1,0,0,0,0,3,3,3,3,1,
Adam Lallana 20,,24'25,-,-,-,1,-,2,1,2,-,1,-,2,,0,0,8,9,1,1,9,10,0.9,
Total passes received:,,,15,24,14,39,23,38,19,27,36,16,28,3,11,27,35,195 213,,71,74,293,322,0.91,
,,,,,,,,,,,,,,,,,,,,,,,,02:25:44CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,02 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
