Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 1 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Arsenal Stadium - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Arsenal FC,,,,,,,,,4 - 1,,,,,,,Galatasaray AŞ,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,6,11,15,17,19,20,21,23,13,7,10,PC,PA,PC,PA,PC,PA,PC,PA,%
Wojciech Szczęsny,1,61'56,,1,4,4,-,-,-,-,-,1,-,-,-,-,0,0,9,9,1,1,10,10,1
Kieran Gibbs,3,96'10,-,,-,3,7,-,10,6,2,-,5,-,-,1,1,2,15,18,18,20,34,40,0.85
Per Mertesacker,4,96'10,2,-,,7,-,1,-,4,3,7,-,2,-,-,5,5,17,18,4,4,26,27,0.96
Laurent Koscielny,6,96'10,3,6,7,,1,-,2,5,3,2,1,-,1,-,4,6,24,25,3,3,31,34,0.91
Mesut Özil,11,78'33,-,8,-,1,,5,12,14,2,3,7,1,1,-,5,5,26,27,23,23,54,55,0.98
Alex Oxlade-Chamberlain,15,69'42,-,-,-,-,3,,1,7,3,5,2,-,-,-,3,4,14,18,4,6,21,28,0.75
Alexis Sánchez,17,64'04,-,4,1,2,5,2,,7,5,1,1,-,-,-,3,3,14,17,11,11,28,31,0.9
Santi Cazorla,19,96'10,-,9,1,1,18,5,5,,7,4,4,-,1,2,5,8,39,41,13,17,57,66,0.86
Mathieu Flamini,20,96'10,-,7,-,4,4,2,2,6,,1,1,-,1,1,0,0,20,21,9,9,29,30,0.97
Calum Chambers,21,96'10,-,-,4,-,6,7,-,4,-,,2,-,-,-,2,3,15,18,6,8,23,29,0.79
Danny Welbeck,23,96'10,-,3,1,1,6,4,2,4,1,-,,-,2,2,2,2,12,12,12,12,26,26,1
David Ospina 13,,32'06,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Tomáš Rosický,7,26'28,-,-,-,-,2,-,-,2,1,-,4,-,,1,1,1,4,5,5,5,10,11,0.91
Jack Wilshere 10,,17'37,-,-,-,-,-,-,-,2,-,-,1,-,2,,1,1,2,3,2,3,5,7,0.71
Total passes received:,,,5,38,18,23,52,26,34,61,27,24,28,3,8,7,32,40,211 232 111 122,,,,354,394,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,10,13,17,19,21,26,35,88,4,9,11,PC,PA,PC,PA,PC,PA,PC,PA,%
Fernando Muslera,1,96'10,,1,-,1,2,-,-,2,2,-,-,-,-,-,2,2,5,5,1,1,8,8,1
Felipe Melo,3,96'10,-,,3,5,2,4,3,5,4,2,4,7,1,2,6,9,30,35,6,6,42,50,0.84
Blerim Dzemaili,6,96'10,1,1,,16,9,3,2,3,-,-,-,-,1,2,2,4,18,20,18,19,38,43,0.88
Wesley Sneijder,10,96'10,2,14,14,,12,3,3,7,4,3,2,3,2,2,7,11,57,62,7,8,71,81,0.88
Alex Telles,13,96'10,-,4,8,12,,3,2,1,4,-,-,-,-,1,1,1,22,22,12,13,35,36,0.97
Burak Yılmaz,17,96'10,-,1,1,6,1,,1,-,-,1,1,2,-,2,0,0,12,12,4,5,16,17,0.94
Goran Pandev,19,70'09,-,1,-,4,2,-,,-,-,1,1,-,-,-,0,1,8,11,1,1,9,13,0.69
Aurélien Chedjou,21,96'10,4,6,3,8,5,1,2,,3,1,4,8,-,2,5,5,36,38,6,7,47,50,0.94
Semih Kaya,26,96'10,1,5,2,8,4,-,1,6,,1,-,1,-,-,2,2,20,22,7,7,29,31,0.94
Yekta Kurtuluş,35,47'11,-,-,1,3,-,-,-,3,1,,1,-,-,-,0,0,6,9,3,4,9,13,0.69
Veysel Sarı,88,70'09,1,3,-,1,-,-,1,3,-,1,,3,-,-,0,0,8,9,5,6,13,15,0.87
Hamit Altıntop,4,49'00,-,4,1,4,-,-,1,4,2,-,3,,-,9,2,3,15,15,11,12,28,30,0.93
Umut Bulut,9,26'02,-,-,2,2,-,2,-,-,-,-,-,2,,2,0,0,5,5,5,6,10,11,0.91
Bruma 11,,26'02,-,2,3,4,3,-,-,-,-,-,-,2,3,,1,1,9,10,7,8,17,19,0.89
Total passes received:,,,9,42,38,74,40,16,16,34,20,10,16,28,7,22,28,39,251 275,,93,103,372,417,0.89
,,,,,,,,,,,,,,,,,,,,,,,,01:54:42CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,02 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
