Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Wednesday 1 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Constant Vanden Stock Stadium - Brussels,,,,,,,,,,,,,,,,,,,,,,,,,
,RSC Anderlecht,,,,,,,,,0 - 3,,,,,,,Borussia Dortmund,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,7,9,10,14,16,20,22,31,45,15,18,42,PC,PA,PC,PA,PC,PA,PC,PA,%
Silvio Proto,1,94'04,,1,1,-,-,9,5,-,9,2,1,1,1,-,6,7,23,23,1,1,30,31,0.97
Olivier Deschacht,3,94'04,5,,-,2,7,6,7,-,1,1,-,-,1,-,5,7,20,23,5,5,30,35,0.86
Andy Najar,7,94'04,2,1,,4,-,1,3,7,4,7,2,1,-,-,3,5,24,27,5,7,32,39,0.82
Matías Suárez,9,82'53,-,-,1,,-,-,5,2,-,1,2,-,-,-,2,3,8,10,1,3,11,16,0.69
Dennis Praet,10,94'04,2,6,2,2,,3,2,1,1,6,2,-,2,1,5,5,20,22,5,5,30,32,0.94
Bram Nuytinck,14,94'04,5,2,-,3,-,,13,-,9,7,-,-,-,-,3,4,30,34,6,6,39,44,0.89
Steven Defour,16,94'04,-,8,5,1,6,11,,5,7,7,4,-,2,1,4,6,48,48,5,6,57,60,0.95
Ibrahima Conté,20,73'45,1,2,5,-,-,1,1,,2,5,-,-,-,-,1,1,13,16,3,3,17,20,0.85
Chancel Mbemba,22,94'04,5,2,9,-,2,7,7,6,,3,-,-,-,-,8,9,28,30,5,5,41,44,0.93
Youri Tielemans,31,94'04,2,4,9,4,5,5,5,4,6,,-,1,3,-,8,9,30,34,10,10,48,53,0.91
Aleksandar Mitrović,45,82'41,-,-,-,2,1,-,1,3,2,-,,-,-,-,2,2,6,7,1,2,9,11,0.82
Cyriac 15,,11'11,-,-,-,-,-,-,-,-,-,-,-,,1,-,0,0,0,0,1,1,1,1,1
Frank Acheampong 18,,20'19,1,2,-,1,1,-,1,-,-,3,-,-,,1,3,3,5,5,2,2,10,10,1
Nathan Kabasele 42,,11'23,-,-,-,-,-,-,-,-,-,-,-,1,-,,0,0,1,1,0,0,1,1,1
Total passes received:,,,23,28,32,19,22,43,50,28,41,42,11,4,10,3,50,61,256 280,,50,56,356,397,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,6,7,9,17,19,25,26,29,15,20,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Roman Weidenfeller,1,94'04,,4,1,-,-,1,1,-,2,-,2,-,-,2,1,1,11,11,1,1,13,13,1
Neven Subotić,4,94'04,3,,2,5,7,2,-,1,10,4,1,-,-,4,3,4,29,33,7,9,39,46,0.85
Sebastian Kehl,5,94'04,-,6,,8,6,3,5,3,6,9,8,1,-,1,5,7,40,42,11,12,56,61,0.92
Sven Bender,6,82'18,1,1,10,,3,2,6,3,4,14,5,-,1,-,4,5,33,40,13,16,50,61,0.82
Shinji Kagawa,7,94'04,1,6,6,3,,8,8,5,2,6,5,-,1,1,3,5,25,30,24,24,52,59,0.88
Ciro Immobile,9,72'12,1,-,3,2,5,,3,1,-,2,-,-,-,-,3,4,7,10,7,10,17,24,0.71
Pierre-Emerick Aubameyang,17,94'04,-,-,5,1,6,5,,-,-,1,3,-,2,-,1,2,11,14,11,13,23,29,0.79
Kevin Grosskreutz,19,65'22,1,1,2,2,5,3,2,,-,6,7,-,-,-,1,2,11,13,17,18,29,33,0.88
Sokratis Papastathopoulos,25,94'04,4,8,5,4,-,2,2,2,,2,5,-,-,-,7,10,24,27,3,3,34,40,0.85
Łukasz Piszczek,26,94'04,-,5,5,15,6,1,2,9,-,,-,-,2,-,3,4,28,30,14,17,45,51,0.88
Marcel Schmelzer,29,94'04,-,-,6,5,5,6,2,2,3,-,,-,1,-,0,2,19,24,11,13,30,39,0.77
Mats Hummels 15,,11'46,-,-,-,-,1,-,1,-,-,-,-,,-,-,1,1,1,1,0,0,2,2,1
Adrián Ramos 20,,28'42,-,-,2,1,2,-,2,-,-,1,-,-,,-,0,0,7,7,1,1,8,8,1
Erik Durm 37,,21'52,-,4,-,-,1,-,-,-,-,1,-,-,-,,1,2,5,5,0,0,6,7,0.86
Total passes received:,,,11,35,47,46,47,33,34,26,27,46,36,1,7,8,33,49,251 287 120 137,,,,404,473,0.85
,,,,,,,,,,,,,,,,,,,,,,,,02:20:27CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,02 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
