Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 30 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - GSP - Nicosia,,,,,,,,,,,,,,,,,,,,,,,,,
,APOEL FC,,,,,,,,,1 - 1,,,,,,,,AFC Ajax,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,78,3,5,8,9,15,16,21,26,28,46,7,30,79,PC,PA,PC,PA,PC,PA,PC,PA,%
Urko Pardo,78,93'12,,1,7,-,-,-,-,-,-,-,-,-,-,-,1,1,7,7,0,1,8,9,0.89
João Guilherme,3,93'12,2,,6,1,1,1,2,2,1,2,-,-,1,-,4,5,14,15,1,2,19,22,0.86
Carlão,5,93'12,7,10,,1,-,5,1,3,5,1,2,-,-,-,2,2,29,29,4,4,35,35,1
Tiago Gomes,8,71'42,-,-,4,,3,1,3,4,1,7,1,-,-,-,2,2,15,19,7,10,24,31,0.77
Cillian Sheridan,9,82'32,1,-,-,3,,-,-,1,4,-,1,-,1,-,0,0,6,7,5,5,11,12,0.92
Marios Antoniades,15,93'12,1,-,-,-,1,,-,2,1,-,5,-,-,1,2,2,7,11,2,2,11,15,0.73
Vinicius,16,93'12,-,4,2,2,1,1,,2,3,9,-,-,1,-,3,4,17,19,5,8,25,31,0.81
Gustavo Manduca,21,79'41,-,1,1,1,2,1,9,,4,1,3,-,-,-,1,3,12,14,10,12,23,29,0.79
Nuno Morais,26,93'12,3,1,8,4,1,-,4,4,,-,3,-,1,-,3,3,21,24,5,5,29,32,0.91
Mário Sérgio,28,93'12,3,2,1,7,-,1,2,2,2,,1,-,-,-,2,2,15,16,4,6,21,24,0.88
Stathis Aloneftis,46,93'12,-,-,2,1,1,4,-,3,3,1,,-,1,-,1,3,10,11,5,6,16,20,0.8
George Efrem,7,13'31,-,1,-,-,-,-,-,-,-,1,-,,1,-,0,0,3,3,0,0,3,3,1
Tomás De Vincenti 30,,21'29,-,-,-,-,-,-,-,-,-,3,2,1,,-,1,1,4,5,1,1,6,7,0.86
Rafik Djebbour 79,,10'39,-,-,-,-,-,1,-,-,-,-,1,1,-,,1,1,1,2,1,1,3,4,0.75
Total passes received:,,,17,20,31,20,10,15,21,23,24,25,19,2,6,1,23,29,161 182,,50,63,234,274,0.85
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,22,2,3,4,5,9,10,16,20,25,26,11,21,PC,PA,PC,PA,PC,PA,PC,PA,%,
Jasper Cillessen,22,93'12,,2,6,7,2,-,1,-,-,-,2,-,-,2,3,17,17,1,1,20,21,0.95,
Ricardo van Rhijn,2,93'12,3,,17,17,2,-,5,2,11,6,3,1,5,15,15,44,45,13,13,72,73,0.99,
Joël Veltman,3,93'12,4,29,,31,5,-,2,1,1,3,8,-,2,13,14,66,67,7,7,86,88,0.98,
Niklas Moisander,4,93'12,5,4,29,,35,-,3,1,3,8,4,1,-,6,7,82,82,5,6,93,95,0.98,
Nicolai Boilesen,5,93'12,-,-,10,18,,7,2,13,3,11,13,2,-,8,9,57,58,14,15,79,82,0.96,
Kolbeinn Sigthórsson,9,93'12,-,-,-,-,2,,3,1,1,1,1,1,-,0,0,4,5,6,7,10,12,0.83,
Davy Klaassen,10,93'12,-,8,-,1,4,2,,1,9,5,4,-,2,2,2,20,21,14,15,36,38,0.95,
Lucas Andersen,16,74'50,-,-,-,2,7,1,4,,3,7,2,-,-,0,0,16,18,10,12,26,30,0.87,
Lasse Schöne,20,74'22,-,12,2,-,5,1,5,1,,-,2,-,-,2,2,12,15,14,14,28,31,0.9,
Thulani Serero,25,93'12,-,3,1,2,8,2,4,9,3,,7,3,-,0,0,29,31,13,14,42,45,0.93,
Nick Viergever,26,93'12,-,4,12,7,14,3,4,5,1,3,,-,1,6,6,39,43,9,11,54,60,0.9,
Ricardo Kishna 11,,18'22,-,-,-,-,1,-,-,-,-,1,-,,1,0,0,1,1,2,2,3,3,1,
Anwar El Ghazi 21,,18'50,-,4,-,-,-,1,-,-,-,-,-,-,,0,0,4,4,1,3,5,7,0.71,
Total passes received:,,,12,66,77,85,85,17,33,34,35,45,46,8,11,54,58,391 407 109 120,,,,554,585,0.95,
,,,,,,,,,,,,,,,,,,,,,,,,02:21:39CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,01 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
