Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 2 - Tuesday 30 September 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stadion Gelsenkirchen - Gelsenkirchen,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Schalke 04,,,,,,,,,1 - 1,,,,,,,,NK Maribor,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,9,10,13,15,23,24,25,27,32,33,7,20,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Ralf Fährmann,1,93'13,,3,-,-,1,3,4,-,2,2,5,-,-,1,4,5,16,16,1,1,21,22,0.95
Kevin-Prince Boateng,9,78'24,-,,10,10,9,6,3,5,3,1,6,-,3,4,13,14,36,38,11,12,60,64,0.94
Julian Draxler,10,93'13,-,8,,-,7,4,3,3,5,4,2,-,1,-,4,4,26,30,7,12,37,46,0.8
Eric Maxim Choupo-Moting,13,66'02,1,7,1,,5,-,3,2,3,1,-,-,-,3,1,1,18,18,7,7,26,26,1
Dennis Aogo,15,93'13,1,8,9,1,,12,2,1,6,3,12,1,1,2,9,9,41,42,9,10,59,61,0.97
Christian Fuchs,23,93'13,1,7,8,-,7,,-,3,4,4,8,1,-,-,7,9,31,31,5,5,43,45,0.96
Kaan Ayhan,24,45'07,1,4,3,5,2,1,,-,3,6,-,-,-,-,3,4,14,15,8,10,25,29,0.86
Klaas-Jan Huntelaar,25,93'13,-,3,2,2,1,1,-,,5,-,-,2,-,-,0,0,6,7,10,12,16,19,0.84
Tranquillo Barnetta,27,93'13,-,6,5,4,4,4,4,1,,2,1,2,2,6,5,6,27,30,9,11,41,47,0.87
Joel Matip,32,93'13,6,5,3,2,3,3,5,2,2,,16,-,-,8,11,13,42,42,2,2,55,57,0.96
Roman Neustädter,33,93'13,4,5,5,-,7,11,1,-,6,17,,1,-,-,8,8,43,44,6,7,57,59,0.97
Max Meyer,7,14'48,-,-,-,-,2,1,-,-,1,2,-,,1,-,1,1,5,5,1,1,7,7,1
Chinedu Obasi 20,,27'11,-,2,1,-,2,-,-,-,2,-,-,-,,3,1,1,4,6,5,5,10,12,0.83
Atsuto Uchida 22,,48'06,1,3,1,2,1,-,-,3,3,1,2,1,4,,3,3,13,13,6,6,22,22,1
Total passes received:,,,15,61,48,26,51,46,25,20,45,43,52,8,12,27,70,78,322 337,,87,101,479,516,0.93
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,4,5,7,9,10,22,26,28,39,70,6,8,14,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasmin Handanovič,33,93'13,,1,1,-,1,1,1,1,1,-,-,-,-,1,3,14,5,6,0,0,8,20,0.4
Marko Šuler,4,93'13,3,,3,-,-,-,-,3,2,2,2,-,-,-,1,2,11,12,3,3,15,17,0.88
Željko Filipović,5,93'13,-,3,,1,-,2,6,-,10,4,2,1,-,-,4,4,24,27,1,2,29,33,0.88
Aleš Mejač,7,93'13,-,2,2,,4,3,4,2,-,-,7,-,-,-,2,3,14,15,8,10,24,28,0.86
Tavares,9,93'13,-,-,2,2,,1,3,1,1,4,2,-,-,1,1,1,11,13,5,7,17,21,0.81
Agim Ibraimi,10,93'13,-,-,1,-,1,,3,-,4,1,3,-,-,1,1,2,8,10,5,8,14,20,0.7
Dare Vršič,22,66'28,-,-,4,6,-,6,,1,1,3,5,-,-,-,2,2,21,21,3,3,26,26,1
Aleksander Rajčevič,26,93'13,2,1,2,4,-,1,3,,1,-,4,-,-,-,3,3,13,13,2,2,18,18,1
Mitja Viler,28,93'13,2,1,7,-,3,3,-,-,,5,-,-,1,-,1,2,19,21,2,3,22,26,0.85
Damjan Bohar,39,82'02,-,2,3,-,2,3,2,-,6,,2,-,-,-,1,3,12,12,7,10,20,25,0.8
Aleš Mertelj,70,79'28,1,-,3,5,2,4,6,3,1,1,,-,-,-,0,2,20,22,6,6,26,30,0.87
Welle Ndiaye,6,13'45,-,-,-,-,-,1,-,-,-,-,-,,1,-,0,0,2,2,0,0,2,2,1
Sintayehu Sallalich,8,11'11,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Jean-Philippe Mendy 14,,26'45,-,-,-,-,1,-,-,-,-,-,-,-,-,,0,0,1,2,0,0,1,2,0.5
Total passes received:,,,8,10,28,18,14,25,28,11,27,20,27,1,2,3,19,38,161 176,,42,54,222,268,0.83
,,,,,,,,,,,,,,,,,,,,,,,,02:23:21CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,01 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
