Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 22 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Stadio Georgios Karaiskakis - Piraeus,,,,,,,,,,,,,,,,,,,,,,,,,
,Olympiacos FC,,,,,,,,,1 - 0,,,,,,,,Juventus,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,2,3,5,7,8,10,11,14,22,26,6,19,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,96'05,,-,1,-,-,-,-,1,1,5,3,-,-,-,4,7,7,7,0,0,11,14,0.79
Giannis Maniatis,2,96'05,-,,1,1,1,4,3,1,2,-,3,2,1,-,3,3,14,16,2,2,19,21,0.9
Alberto Botía,3,96'05,7,1,,1,1,2,-,-,4,1,2,-,-,-,4,7,14,14,1,2,19,23,0.83
Luka Milivojević,5,96'05,-,3,5,,2,1,4,-,1,2,8,1,-,-,3,3,21,24,3,5,27,32,0.84
Kostas Mitroglou,7,70'26,-,1,-,-,,1,3,6,-,-,1,-,-,-,0,0,6,8,6,7,12,15,0.8
Delvin N'Dinga,8,96'05,-,4,5,5,-,,3,1,7,2,2,-,1,-,4,4,19,21,7,9,30,34,0.88
Alejandro Domínguez,10,86'26,-,1,-,7,3,1,,6,3,1,2,-,-,-,5,5,7,12,12,14,24,31,0.77
Pajtim Kasami,11,92'27,-,2,-,1,2,4,2,,-,1,6,-,-,-,0,0,11,12,7,11,18,23,0.78
Omar Elabdellaoui,14,96'05,2,7,1,1,1,3,2,-,,-,-,-,-,-,1,3,11,14,5,5,17,22,0.77
Éric Abidal,22,96'05,3,1,4,4,1,4,-,1,1,,-,-,-,-,4,5,14,14,1,2,19,21,0.9
Arthur Masuaku,26,96'05,-,1,1,5,3,2,3,8,-,6,,-,-,-,2,2,21,23,6,8,29,33,0.88
Ibrahim Afellay,6,25'39,-,-,-,-,-,-,-,1,-,-,-,,-,-,0,0,0,1,1,1,1,2,0.5
David Fuster 19,,9'39,-,-,-,-,-,1,-,-,-,-,-,1,,-,1,1,0,2,1,1,2,4,0.5
Kostas Giannoulis 20,,3'38,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,12,21,18,25,14,23,20,25,19,18,27,4,2,0,31,40,145 168,,52,67,228,275,0.83
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,6,9,10,19,21,22,23,26,8,12,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,96'05,,5,4,2,-,-,1,-,4,1,-,1,-,-,5,6,12,12,1,1,18,19,0.95
Giorgio Chiellini,3,96'05,2,,2,12,3,6,5,5,37,2,-,1,1,-,6,10,60,63,10,10,76,83,0.92
Angelo Ogbonna,5,78'50,3,3,,1,2,-,9,3,1,4,10,1,-,-,4,7,29,31,4,4,37,42,0.88
Paul Pogba,6,88'20,-,6,1,,3,5,-,2,10,2,3,2,-,-,6,6,23,24,5,9,34,39,0.87
Álvaro Morata,9,96'05,-,-,1,3,,5,-,-,-,2,1,-,-,-,1,1,5,6,6,9,12,16,0.75
Carlos Tévez,10,96'05,-,1,1,3,9,,1,3,6,4,6,-,1,1,2,3,23,25,11,14,36,42,0.86
Leonardo Bonucci,19,96'05,1,17,4,3,3,2,,1,1,1,2,2,-,-,7,11,27,28,3,3,37,42,0.88
Andrea Pirlo,21,58'51,-,5,3,4,2,1,2,,2,2,3,-,-,-,4,6,15,19,5,7,24,32,0.75
Kwadwo Asamoah,22,96'05,3,20,2,12,2,13,1,2,,2,-,3,2,-,8,8,31,34,23,25,62,67,0.93
Arturo Vidal,23,96'05,-,2,3,1,2,7,3,5,1,,4,1,-,1,2,3,17,17,11,12,30,32,0.94
Stephan Lichtsteiner,26,96'05,1,-,1,-,3,2,1,1,-,8,,1,-,1,1,1,14,16,4,7,19,24,0.79
Claudio Marchisio,8,37'14,-,5,-,3,-,1,3,-,3,1,-,,-,1,2,3,12,12,3,3,17,18,0.94
Sebastian Giovinco 12,,7'45,-,-,-,-,-,1,-,-,1,-,-,-,,-,0,0,1,1,1,1,2,2,1
Roberto Pereyra 37,,17'15,1,-,-,-,1,-,-,-,-,1,2,-,-,,0,0,1,1,4,4,5,5,1
Total passes received:,,,11,64,22,44,30,43,26,22,66,30,31,12,4,4,48,65,270 289,,91,109,409,463,0.88
,,,,,,,,,,,,,,,,,,,,,,,,02:19:37CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,23 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
