Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 22 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Anfield - Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool FC,,,,,,,,,0 - 3,,,,,,,Real Madrid CF,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,22,2,6,8,10,14,18,24,31,37,45,20,23,50,PC,PA,PC,PA,PC,PA,PC,PA,%
Simon Mignolet,22,93'03,,-,4,5,-,-,3,-,-,8,-,-,-,-,1,4,16,16,3,3,20,23,0.87
Glen Johnson,2,93'03,1,,1,5,2,7,-,1,-,2,-,1,1,4,0,1,11,12,14,15,25,28,0.89
Dejan Lovren,6,93'03,-,2,,4,3,2,10,8,3,3,1,2,3,1,7,7,27,27,8,10,42,44,0.95
Steven Gerrard,8,93'03,1,10,5,,8,7,13,8,5,10,1,3,4,5,12,15,52,55,16,16,80,86,0.93
Coutinho,10,68'04,-,2,1,8,,14,3,5,8,1,3,-,-,-,2,2,27,30,16,17,45,49,0.92
Jordan Henderson,14,67'18,1,4,3,8,12,,5,2,3,8,1,2,-,-,4,6,32,37,13,13,49,56,0.88
Alberto Moreno,18,93'03,-,1,4,6,7,4,,5,8,2,-,6,5,-,2,2,36,37,10,11,48,50,0.96
Joe Allen,24,93'03,-,1,4,5,3,1,7,,6,1,1,5,3,2,1,2,25,29,13,14,39,45,0.87
Raheem Sterling,31,93'03,-,-,2,1,6,2,5,4,,-,3,2,1,-,1,1,17,19,8,10,26,30,0.87
Martin Škrtel,37,93'03,6,3,6,17,1,10,-,1,-,,1,1,3,3,4,4,37,37,11,11,52,52,1
Mario Balotelli,45,46'01,-,2,-,-,5,2,2,1,2,-,,-,-,-,1,1,9,10,4,5,14,16,0.88
Adam Lallana 20,,47'02,-,1,1,2,-,2,2,4,4,-,-,,5,-,0,0,15,16,6,7,21,23,0.91
Emre Can 23,,25'44,1,-,1,9,-,-,1,3,-,2,-,3,,1,1,1,14,18,6,7,21,26,0.81
Lazar Marković 50,,24'59,-,8,2,1,-,-,-,2,-,1,-,1,1,,0,0,9,9,7,7,16,16,1
Total passes received:,,,10,34,34,71,47,51,51,44,39,38,11,26,26,16,36,46,327 352 135 146,,,,498,544,0.92
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,7,8,9,10,12,17,19,23,6,18,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,1,93'03,,3,4,1,1,1,-,2,-,-,1,-,-,-,2,5,11,11,0,0,13,16,0.81
Raphaël Varane,2,93'03,2,,5,1,8,2,1,8,3,8,7,-,-,-,5,7,34,34,6,7,45,48,0.94
Pepe,3,93'03,1,12,,2,8,1,4,2,4,9,1,-,-,-,9,9,32,32,3,3,44,44,1
Cristiano Ronaldo,7,75'30,-,2,3,,13,3,3,9,1,4,7,-,-,-,0,2,21,24,24,27,45,53,0.85
Toni Kroos,8,81'45,-,7,1,9,,9,4,6,5,24,18,5,-,-,8,8,58,59,22,23,88,90,0.98
Karim Benzema,9,93'03,-,-,1,15,4,,7,2,3,5,5,-,-,-,1,3,23,25,18,22,42,50,0.84
James Rodríguez,10,93'03,-,-,1,8,1,7,,2,9,9,6,3,-,-,5,6,25,29,16,17,46,52,0.88
Marcelo,12,85'06,-,5,2,10,6,5,1,,-,4,15,1,-,-,0,2,28,30,21,24,49,56,0.88
Álvaro Arbeloa,17,93'03,1,-,5,1,2,5,10,-,,12,-,3,-,-,3,4,23,25,13,16,39,45,0.87
Luka Modrić,19,93'03,2,6,8,8,16,6,12,6,11,,10,4,1,-,6,6,60,63,24,26,90,95,0.95
Isco,23,93'03,-,6,-,9,14,8,1,17,1,9,,1,-,1,2,3,45,51,20,24,67,78,0.86
Sami Khedira,6,17'33,-,1,1,-,3,1,3,-,5,1,1,,-,1,0,0,13,13,4,5,17,18,0.94
Nacho 18,,7'57,-,1,-,-,-,-,-,-,-,1,-,-,,-,0,0,1,1,1,1,2,2,1
Asier Illarramendi 24,,11'18,-,-,-,-,-,-,1,-,-,-,-,1,-,,0,0,2,2,0,0,2,2,1
Total passes received:,,,6,43,31,64,76,48,47,54,42,86,71,18,1,2,41,55,376 399 172 195,,,,589,649,0.91
,,,,,,,,,,,,,,,,,,,,,,,,02:15:56CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,23 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
