Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 22 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Stade Louis II - Monaco,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Monaco FC,,,,,,,,,0 - 0,,,,,,,,SL Benfica,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,6,7,8,9,11,22,24,28,15,17,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,97'14,,2,-,1,-,-,-,-,-,4,-,-,-,-,3,6,4,4,0,0,7,10,0.7
Fabinho,2,97'14,1,,-,3,7,3,3,-,2,4,1,-,-,3,3,6,22,25,2,5,27,36,0.75
Layvin Kurzawa,3,97'14,1,-,,5,-,1,-,4,2,1,-,-,1,-,4,5,7,9,4,4,15,18,0.83
Ricardo Carvalho,6,97'14,1,1,5,,2,2,1,1,3,10,7,-,-,2,8,8,25,26,2,2,35,36,0.97
Nabil Dirar,7,97'14,-,6,2,-,,4,1,2,4,-,4,-,1,2,1,1,10,12,15,18,26,31,0.84
João Moutinho,8,83'59,-,7,1,-,4,,1,4,2,-,4,-,-,-,1,2,10,15,12,13,23,30,0.77
Dimitar Berbatov,9,33'16,-,-,-,-,3,1,,1,1,1,3,-,-,-,1,1,7,8,2,4,10,13,0.77
Lucas Ocampos,11,63'21,-,1,4,1,-,1,-,,3,-,1,-,-,-,2,2,3,3,6,9,11,14,0.79
Geoffrey Kondogbia,22,97'14,-,1,2,7,5,2,1,2,,2,2,1,1,2,5,7,14,16,9,10,28,33,0.85
Andrea Raggi,24,97'14,8,5,1,4,1,3,-,-,1,,4,-,-,-,7,14,18,18,2,2,27,34,0.79
Jérémy Toulalan,28,97'14,-,10,4,4,4,1,-,1,4,4,,2,1,2,4,7,25,30,8,9,37,46,0.8
Bernardo Silva 15,,13'16,-,2,-,-,1,-,-,-,1,-,-,,1,-,0,0,3,3,2,2,5,5,1
Yannick Ferreira-Carrasco 17,,33'54,-,-,-,-,-,-,-,-,2,-,-,-,,1,1,1,1,1,1,1,3,3,1
Anthony Martial 23,,63'59,-,1,1,-,3,1,-,1,1,-,1,-,1,,1,1,6,6,3,3,10,10,1
Total passes received:,,,11,36,20,25,30,19,7,16,26,26,27,3,6,12,41,61,155 176,,68,82,264,319,0.83
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,10,11,14,18,19,30,34,35,7,32,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Artur,1,97'14,,2,3,-,2,-,1,1,2,2,-,-,-,-,5,6,7,7,1,1,13,14,0.93
Lisandro López,2,77'11,4,,6,3,-,-,1,10,1,12,1,-,-,-,1,2,30,31,7,7,38,40,0.95
Luisão,4,97'14,2,5,,-,-,10,5,-,-,11,1,-,-,1,2,4,30,31,3,3,35,38,0.92
Nicolás Gaitán,10,80'12,-,-,-,,1,-,1,4,7,1,-,-,-,-,1,2,7,9,6,8,14,19,0.74
Lima,11,97'14,-,-,-,1,,-,2,2,2,2,1,-,-,-,1,2,6,7,3,4,10,13,0.77
Maxi Pereira,14,97'14,-,1,2,1,-,,14,-,2,1,6,-,1,-,0,0,13,14,15,16,28,30,0.93
Eduardo Salvio,18,97'14,-,-,1,-,3,9,,-,2,1,4,1,-,-,0,1,13,14,8,12,21,27,0.78
Eliseu,19,97'14,2,4,-,6,1,1,-,,2,2,3,-,1,-,3,5,15,17,4,5,22,27,0.81
Talisca,30,69'53,-,1,2,3,-,3,3,3,,-,-,-,-,-,4,4,10,12,1,2,15,18,0.83
André Almeida,34,97'14,-,11,7,5,2,-,4,5,1,,5,-,-,-,1,2,28,31,11,12,40,45,0.89
Enzo Pérez,35,89'12,-,4,1,2,1,6,5,-,2,4,,-,-,-,2,4,16,19,7,9,25,32,0.78
Andreas Samaris,7,8'02,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,1,0,1,0
Tiago 32,,27'21,-,-,1,-,1,-,-,-,-,-,-,-,,-,0,0,2,2,0,0,2,2,1
César 37,,17'02,1,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,1,1,0,0,1,1,1
Total passes received:,,,9,28,23,21,11,29,36,25,21,36,21,1,2,1,20,32,178 195,,66,80,264,307,0.86
,,,,,,,,,,,,,,,,,,,,,,,,01:52:16CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,23 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
