Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 22 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Constant Vanden Stock Stadium - Brussels,,,,,,,,,,,,,,,,,,,,,,,,,
,RSC Anderlecht,,,,,,,,,1 - 2,,,,,,,,Arsenal FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,7,10,15,16,18,20,22,31,39,9,32,PC,PA,PC,PA,PC,PA,PC,PA,%,
Silvio Proto,1,93'11,,2,-,-,-,1,-,-,1,1,-,-,-,0,0,5,5,0,0,5,5,1,
Olivier Deschacht,3,93'11,6,,1,2,2,2,1,1,2,1,-,1,-,2,2,14,14,3,3,19,19,1,
Andy Najar,7,93'11,2,-,,4,-,8,1,1,-,3,6,-,-,4,6,11,12,10,11,25,29,0.86,
Dennis Praet,10,87'39,1,1,6,,-,2,3,3,-,3,2,2,-,4,4,16,16,3,4,23,24,0.96,
Cyriac,15,83'00,-,-,3,1,,3,-,2,-,2,-,-,-,0,0,5,6,6,6,11,12,0.92,
Steven Defour,16,93'11,1,2,9,3,1,,1,1,4,6,8,-,-,4,5,25,31,7,7,36,43,0.84,
Frank Acheampong,18,93'11,2,4,-,-,3,2,,2,-,5,1,-,-,2,5,14,15,3,4,19,24,0.79,
Ibrahima Conté,20,93'11,-,-,-,1,4,2,6,,-,3,-,-,-,1,1,9,9,6,7,16,17,0.94,
Chancel Mbemba,22,93'11,3,2,1,-,-,1,1,1,,2,1,-,-,3,8,7,8,2,2,12,18,0.67,
Youri Tielemans,31,93'11,1,3,5,3,3,5,4,8,1,,3,-,-,7,9,20,21,9,9,36,39,0.92,
Anthony Vanden Borre,39,93'11,4,-,8,3,-,3,-,-,-,-,,-,-,3,5,9,11,6,9,18,25,0.72,
Matías Suárez,9,10'11,-,-,-,-,-,1,-,1,-,1,-,,-,0,0,1,1,2,2,3,3,1,
Leander Dendoncker 32,,5'32,-,-,-,-,-,1,-,-,-,-,-,-,,0,0,1,1,0,0,1,1,1,
Total passes received:,,,20,14,33,17,13,31,17,20,8,27,21,3,0,30,45,137 150,,57,64,224,259,0.86,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,26,3,4,10,16,17,18,19,20,21,23,9,15,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Emiliano Martínez,26,93'11,,1,10,-,1,-,4,-,-,2,-,-,1,-,2,2,16,16,1,1,19,19,1
Kieran Gibbs,3,93'11,1,,3,4,6,6,4,7,4,-,5,-,4,-,3,5,31,33,10,10,44,48,0.92
Per Mertesacker,4,93'11,3,1,,10,10,4,16,2,5,9,-,1,-,-,4,5,45,47,12,12,61,64,0.95
Jack Wilshere,10,83'12,-,10,4,,11,5,4,4,11,3,4,-,-,2,7,8,31,37,20,25,58,70,0.83
Aaron Ramsey,16,93'11,-,5,7,7,,14,4,10,3,15,9,-,1,-,11,14,51,53,13,15,75,82,0.91
Alexis Sánchez,17,93'11,-,1,5,3,4,,2,5,2,3,3,1,-,1,1,3,24,24,5,6,30,33,0.91
Nacho Monreal,18,93'11,2,11,11,7,10,3,,3,4,-,-,1,-,-,4,4,40,40,8,9,52,53,0.98
Santi Cazorla,19,93'11,-,4,1,5,3,8,1,,5,2,5,3,2,-,3,5,22,24,14,16,39,45,0.87
Mathieu Flamini,20,74'32,-,5,6,11,11,2,8,2,,8,-,-,-,-,2,3,37,37,14,14,53,54,0.98
Calum Chambers,21,93'11,-,1,7,4,10,2,-,3,5,,3,-,-,7,4,5,24,26,14,14,42,45,0.93
Danny Welbeck,23,74'26,-,3,-,3,2,-,1,2,3,2,,-,-,-,0,0,7,9,9,10,16,19,0.84
Lukas Podolski,9,9'59,1,1,-,-,1,1,-,-,-,-,-,,1,-,1,1,4,4,0,0,5,5,1
Alex Oxlade-Chamberlain 15,,18'39,-,2,-,-,2,-,2,2,-,-,-,-,,1,0,0,4,4,5,5,9,9,1
Joel Campbell 28,,18'45,-,-,-,2,1,2,-,-,-,1,-,-,1,,0,1,4,4,3,5,7,10,0.7
Total passes received:,,,7,45,54,56,72,47,46,40,42,45,29,6,10,11,42,56,340 358 128 142,,,,510,556,0.92
,,,,,,,,,,,,,,,,,,,,,,,,02:01:16CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,23 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
