Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Wednesday 22 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Ali Sami Yen Spor Kompleksi - Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,
,Galatasaray AŞ,,,,,,,,,0 - 4,,,,,,,Borussia Dortmund,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,8,10,13,17,19,21,26,77,6,23,52,PC,PA,PC,PA,PC,PA,PC,PA,%
Fernando Muslera,1,94'18,,1,1,1,-,2,-,-,8,6,1,-,-,-,3,3,13,13,4,4,20,20,1
Felipe Melo,3,94'18,2,,7,9,6,9,-,-,11,8,3,2,3,1,8,12,51,56,2,3,61,71,0.86
Hamit Altıntop,4,63'02,1,9,,-,1,2,-,-,17,4,8,-,-,-,6,7,26,28,10,10,42,45,0.93
Selçuk İnan,8,94'18,-,12,3,,14,10,1,3,2,4,5,-,-,-,3,3,39,43,12,13,54,59,0.92
Wesley Sneijder,10,94'18,-,3,1,7,,16,-,1,2,2,2,1,-,3,3,5,23,31,12,12,38,48,0.79
Alex Telles,13,63'19,-,6,1,12,11,,-,2,3,7,-,-,-,-,2,2,30,34,10,11,42,47,0.89
Burak Yılmaz,17,94'18,1,1,3,1,3,-,,-,-,-,4,-,-,-,1,1,8,10,4,4,13,15,0.87
Goran Pandev,19,79'13,-,-,3,1,1,-,3,,-,-,1,-,-,-,1,1,5,7,3,4,9,12,0.75
Aurélien Chedjou,21,94'18,4,16,8,3,2,2,2,1,,16,12,1,3,1,5,9,61,69,5,5,71,83,0.86
Semih Kaya,26,94'18,2,10,4,11,1,9,3,-,15,,1,1,1,-,6,8,46,47,6,8,58,63,0.92
Tarık Çamdal,77,94'18,-,1,13,2,3,-,2,1,10,6,,1,-,-,0,0,29,31,10,11,39,42,0.93
Blerim Dzemaili,6,31'16,-,1,-,1,3,-,1,-,1,-,-,,2,-,1,1,6,8,2,3,9,12,0.75
Yasin Öztekin 23,,30'59,-,-,-,-,-,-,-,1,1,-,1,2,,4,0,0,5,7,4,4,9,11,0.82
Emre Çolak 52,,15'05,-,-,-,-,2,-,-,-,-,-,2,2,2,,2,2,5,6,1,1,8,9,0.89
Total passes received:,,,10,60,44,48,47,50,12,9,70,53,40,10,11,9,41,54,347 390,,85,93,473,537,0.88
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,6,7,10,11,15,17,25,26,8,20,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Roman Weidenfeller,1,94'18,,4,-,-,1,-,1,-,2,5,2,-,-,1,7,13,9,9,0,0,16,22,0.73
Neven Subotić,4,94'18,2,,2,1,-,4,2,1,1,-,13,-,-,3,2,6,25,25,2,4,29,35,0.83
Sebastian Kehl,5,94'18,2,3,,4,4,10,5,1,-,6,5,4,2,2,1,2,31,34,16,18,48,54,0.89
Sven Bender,6,56'24,-,1,1,,4,2,1,-,-,-,6,-,-,-,0,0,7,8,8,8,15,16,0.94
Shinji Kagawa,7,83'16,-,1,6,2,,1,15,2,6,6,1,4,-,1,2,4,18,20,25,29,45,53,0.85
Henrikh Mkhitaryan,10,94'18,-,-,5,2,4,,3,3,4,2,13,1,-,1,1,3,22,25,15,16,38,44,0.86
Marco Reus,11,94'18,-,2,9,-,15,6,,1,5,8,5,3,1,-,3,4,29,30,23,29,55,63,0.87
Mats Hummels,15,70'42,-,2,5,-,1,2,2,,-,2,3,-,-,-,3,4,11,11,3,3,17,18,0.94
Pierre-Emerick Aubameyang,17,94'18,-,-,2,-,5,2,2,-,,2,2,2,-,-,0,0,9,12,8,10,17,22,0.77
Sokratis Papastathopoulos,25,94'18,-,1,3,-,6,4,7,6,3,,-,2,-,5,1,2,26,26,10,12,37,40,0.92
Łukasz Piszczek,26,94'18,-,7,9,7,2,10,10,1,2,1,,2,1,-,1,2,27,30,24,27,52,59,0.88
İlkay Gündoğan,8,23'36,-,2,2,-,2,1,6,-,4,1,2,,3,2,5,6,12,12,8,9,25,27,0.93
Adrián Ramos 20,,11'02,-,-,1,-,-,-,1,-,1,-,-,3,,-,0,0,2,3,4,5,6,8,0.75
Matthias Ginter 28,,37'54,2,1,1,-,3,1,1,-,-,3,3,3,-,,0,0,11,12,7,8,18,20,0.9
Total passes received:,,,6,24,46,16,47,43,56,15,28,36,55,24,7,15,26,46,239 257 153 178,,,,418,481,0.87
,,,,,,,,,,,,,,,,,,,,,,,,03:29:41CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,23 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
