Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 21 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - Stadio Olimpico - Rome,,,,,,,,,,,,,,,,,,,,,,,,,
,AS Roma,,,,,,,,,1 - 7,,,,,,,FC Bayern München,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,26,2,3,4,7,10,15,16,27,35,44,8,24,25,PC,PA,PC,PA,PC,PA,PC,PA,%
Morgan De Sanctis,26,92'55,,4,1,-,-,2,1,4,2,4,5,-,-,-,7,10,13,13,3,3,23,26,0.88
Mapou Yanga-Mbiwa,2,92'55,5,,3,2,2,1,3,13,2,1,2,-,1,1,2,4,23,23,11,12,36,39,0.92
Ashley Cole,3,45'56,-,3,,-,3,2,-,-,-,-,-,-,-,-,0,0,6,7,2,3,8,10,0.8
Radja Nainggolan,4,92'55,-,1,2,,3,2,5,4,3,4,3,1,2,1,2,2,22,23,7,7,31,32,0.97
Juan Manuel Iturbe,7,92'55,-,2,-,4,,1,4,4,3,1,-,-,-,-,0,1,13,14,6,6,19,21,0.9
Francesco Totti,10,45'56,-,-,2,4,3,,3,-,2,-,-,-,-,-,1,2,6,9,7,7,14,18,0.78
Miralem Pjanić,15,79'27,1,2,-,6,3,2,,4,4,5,6,-,1,-,3,3,21,22,10,10,34,35,0.97
Daniele De Rossi,16,92'55,2,11,-,3,5,2,6,,2,3,4,-,6,2,4,5,34,35,8,10,46,50,0.92
Gervinho,27,92'55,-,-,-,2,4,2,2,3,,3,-,-,1,-,0,0,8,11,9,9,17,20,0.85
Vasilis Torosidis,35,92'55,1,-,1,-,3,1,2,3,3,,7,1,1,-,2,6,17,19,4,4,23,29,0.79
Kostas Manolas,44,92'55,7,8,-,3,3,1,2,4,1,1,,-,-,-,1,1,24,24,5,8,30,33,0.91
Adem Ljajić,8,13'28,-,-,-,-,-,-,-,-,-,-,-,,1,-,0,0,0,0,1,2,1,2,0.5
Alessandro Florenzi 24,,46'59,-,1,-,1,1,-,1,1,1,2,1,3,,-,1,1,9,10,2,2,12,13,0.92
José Holebas 25,,46'59,-,1,-,-,2,-,-,1,2,-,-,-,1,,1,1,1,1,5,5,7,7,1
Total passes received:,,,16,33,9,25,32,16,29,41,25,24,28,5,14,4,24,36,197 211,,80,88,301,335,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,9,10,17,18,19,21,25,27,7,11,13,PC,PA,PC,PA,PC,PA,PC,PA,%
Manuel Neuer,1,92'55,,-,1,-,1,8,1,-,4,-,9,-,-,2,6,6,18,18,2,2,26,26,1
Xabi Alonso,3,92'55,2,,6,4,8,10,11,9,20,1,16,2,1,5,11,13,59,61,25,27,95,101,0.94
Medhi Benatia,5,92'55,6,9,,1,4,8,-,3,7,-,3,-,-,6,3,4,30,31,14,14,47,49,0.96
Robert Lewandowski,9,68'09,-,3,-,,1,-,-,2,2,-,4,-,-,1,0,0,8,9,5,5,13,14,0.93
Arjen Robben,10,92'55,-,2,7,-,,-,-,4,23,1,2,8,5,9,0,0,42,44,19,19,61,63,0.97
Jérôme Boateng,17,92'55,7,9,9,2,3,,6,1,8,1,11,1,1,1,4,7,46,48,10,11,60,66,0.91
Juan Bernat,18,92'55,-,9,-,2,1,4,,3,1,-,9,6,-,1,0,0,22,24,14,15,36,39,0.92
Mario Götze,19,79'25,-,5,3,9,4,3,3,,3,2,7,-,-,1,4,4,22,25,14,16,40,45,0.89
Philipp Lahm,21,92'55,2,8,6,1,29,10,2,6,,2,6,1,-,9,4,4,55,59,23,25,82,88,0.93
Thomas Müller,25,60'36,-,2,1,2,1,-,2,2,2,,2,-,-,-,0,0,9,9,5,5,14,14,1
David Alaba,27,92'55,2,16,-,1,3,9,10,17,5,6,,7,2,1,2,3,53,54,24,24,79,81,0.98
Franck Ribéry,7,24'47,-,2,-,-,5,-,4,-,-,-,6,,2,-,0,1,10,14,9,10,19,25,0.76
Xherdan Shaqiri 11,,13'30,-,-,-,-,-,-,-,-,1,-,2,2,,-,0,0,3,3,2,3,5,6,0.83
Rafinha 13,,32'19,-,7,5,1,8,3,-,1,7,-,1,2,-,,1,2,22,24,12,12,35,38,0.92
Total passes received:,,,19,72,38,23,68,55,39,48,83,13,78,29,11,36,35,44,399 423 178 188,,,,612,655,0.93
,,,,,,,,,,,,,,,,,,,,,,,,02:25:58CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
