Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 21 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - GSP - Nicosia,,,,,,,,,,,,,,,,,,,,,,,,,
,APOEL FC,,,,,,,,,0 - 1,,,,,,,Paris Saint-Germain,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,78,3,5,7,8,9,15,16,21,26,28,6,30,79,PC,PA,PC,PA,PC,PA,PC,PA,%
Urko Pardo,78,96'07,,3,5,-,1,1,-,-,1,-,1,-,-,-,3,5,8,8,1,1,12,14,0.86
João Guilherme,3,96'07,-,,13,-,3,1,-,2,3,2,11,-,1,-,6,11,28,28,2,2,36,41,0.88
Carlão,5,96'07,6,14,,2,2,1,3,5,-,2,-,2,1,-,1,1,32,33,5,5,38,39,0.97
George Efrem,7,96'07,1,-,3,,3,4,-,1,4,5,2,1,1,1,2,2,18,21,6,7,26,30,0.87
Tiago Gomes,8,96'07,-,1,-,3,,2,-,5,3,2,9,1,1,2,1,1,22,24,6,7,29,32,0.91
Cillian Sheridan,9,69'16,-,-,-,-,1,,-,2,2,3,-,-,-,-,0,0,4,5,4,7,8,12,0.67
Marios Antoniades,15,40'10,1,-,1,3,-,1,,-,-,-,-,-,-,-,1,2,3,4,2,2,6,8,0.75
Vinicius,16,96'07,-,5,2,2,4,-,-,,10,3,9,3,-,1,5,9,23,23,11,13,39,45,0.87
Gustavo Manduca,21,96'07,-,2,2,6,6,2,2,7,,3,4,-,1,2,0,0,25,27,12,16,37,43,0.86
Nuno Morais,26,82'10,-,1,5,5,3,-,1,1,5,,3,3,-,-,2,3,21,24,4,8,27,35,0.77
Mário Sérgio,28,96'07,-,7,-,2,8,2,-,9,7,3,,-,-,2,3,4,26,29,11,12,40,45,0.89
John Arne Riise,6,55'57,-,1,2,-,1,-,-,1,-,3,-,,1,-,2,3,5,5,2,2,9,10,0.9
Tomás De Vincenti 30,,13'57,-,-,-,-,-,-,-,-,1,-,-,-,,2,0,0,2,2,1,3,3,5,0.6
Rafik Djebbour 79,,26'51,-,-,-,2,2,-,-,1,2,1,2,-,-,,0,0,6,6,4,4,10,10,1
Total passes received:,,,8,34,33,25,34,14,6,34,38,27,41,10,6,10,26,41,223 239,,71,89,320,369,0.87
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,30,2,7,8,9,14,17,23,24,27,32,4,15,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Salvatore Sirigu,30,96'07,,4,-,1,1,-,3,1,-,-,2,-,-,-,2,2,8,8,2,2,12,12,1
Thiago Silva,2,96'07,-,,4,15,-,5,2,9,11,1,13,2,-,-,0,0,50,50,12,12,62,62,1
Lucas,7,91'14,-,3,,6,3,4,1,4,14,6,-,2,-,-,2,3,29,30,12,12,43,45,0.96
Thiago Motta,8,96'07,-,4,3,,5,11,7,5,22,11,3,6,-,-,14,14,52,59,11,12,77,85,0.91
Edinson Cavani,9,96'07,-,-,3,2,,1,3,3,4,2,1,-,2,-,0,0,11,11,10,10,21,21,1
Blaise Matuidi,14,96'07,-,1,2,9,2,,17,1,5,8,2,1,7,-,2,2,37,38,16,17,55,57,0.96
Maxwell,17,96'07,1,5,1,13,2,16,,1,7,20,6,1,3,-,0,1,53,56,23,25,76,82,0.93
Gregory van der Wiel,23,96'07,1,15,12,4,3,-,1,,14,2,3,-,-,-,2,2,34,35,19,19,55,56,0.98
Marco Verratti,24,72'56,-,5,12,10,1,3,13,21,,14,7,-,-,-,10,12,57,60,19,21,86,93,0.92
Javier Pastore,27,72'38,-,-,5,5,4,6,11,6,7,,4,-,-,-,5,9,29,37,14,17,48,63,0.76
David Luiz,32,96'07,-,12,-,7,-,5,18,1,2,3,,1,-,-,1,1,44,44,4,4,49,49,1
Yohan Cabaye,4,23'29,-,1,1,3,-,1,2,4,-,-,-,,1,-,1,1,11,13,1,1,13,15,0.87
Jean-Christophe Bahebeck 15,,23'11,-,-,1,-,1,2,4,1,-,-,-,1,,-,1,1,2,2,7,8,10,11,0.91
Clément Chantôme 20,,4'53,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,2,50,44,75,22,54,82,57,86,67,41,14,13,0,40,48,417 443 150 160,,,,607,651,0.93
,,,,,,,,,,,,,,,,,,,,,,,,02:57:04CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
