Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 21 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Camp Nou - Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Barcelona,,,,,,,,,3 - 1,,,,,,,,AFC Ajax,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,7,8,10,11,14,15,18,22,12,29,31,PC,PA,PC,PA,PC,PA,PC,PA,%
Marc-André ter Stegen,1,94'19,,5,1,-,-,-,1,2,8,4,2,-,-,1,5,6,19,20,0,0,24,26,0.92
Gerard Piqué,3,94'19,4,,6,2,-,1,-,8,26,4,9,-,-,-,6,7,49,49,5,5,60,61,0.98
Ivan Rakitić,4,94'19,-,8,,3,1,4,3,7,6,4,16,1,-,1,6,6,34,34,14,15,54,55,0.98
Pedro Rodríguez,7,94'19,-,1,3,,2,6,1,3,1,2,8,1,-,-,0,0,13,13,15,15,28,28,1
Andrés Iniesta,8,75'36,-,5,5,2,,6,4,8,4,13,4,-,-,2,5,5,34,37,14,14,53,56,0.95
Lionel Messi,10,66'04,-,-,3,4,7,,6,1,3,-,2,-,-,-,2,2,17,17,7,8,26,27,0.96
Neymar,11,61'05,-,-,2,1,4,6,,2,4,6,-,-,-,-,0,0,14,17,11,13,25,30,0.83
Javier Mascherano,14,94'19,1,14,8,3,6,2,2,,9,8,4,1,-,2,9,9,45,46,6,8,60,63,0.95
Marc Bartra,15,94'19,13,21,1,-,11,-,5,6,,23,3,-,-,-,10,11,68,68,5,5,83,84,0.99
Jordi Alba,18,94'19,2,1,1,1,17,2,17,7,15,,-,1,-,1,2,3,44,46,19,25,65,74,0.88
Daniel Alves,22,94'19,-,6,12,7,2,5,-,3,2,4,,-,-,1,6,8,20,24,16,19,42,51,0.82
Rafinha 12,,18'42,-,-,-,2,-,-,-,-,-,1,1,,3,-,0,0,5,5,2,2,7,7,1
Sandro Ramírez 29,,33'14,-,-,2,1,1,-,-,-,-,1,1,-,,1,0,0,4,4,3,3,7,7,1
Munir El Haddadi 31,,28'15,-,-,3,1,-,-,-,-,-,3,1,1,1,,0,0,7,8,3,3,10,11,0.91
Total passes received:,,,20,61,47,27,51,32,39,47,78,73,51,5,4,9,51,57,373 388 120 135,,,,544,580,0.94
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,22,2,3,4,9,10,11,16,20,26,32,12,19,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasper Cillessen,22,94'19,,1,3,9,1,-,-,-,-,3,1,1,-,-,5,7,13,13,1,1,19,21,0.9
Ricardo van Rhijn,2,94'19,2,,11,2,1,-,-,2,6,1,2,1,1,-,4,4,20,20,5,7,29,31,0.94
Joël Veltman,3,94'19,7,6,,9,-,-,-,3,3,1,7,4,2,-,6,6,31,31,5,5,42,42,1
Niklas Moisander,4,94'19,3,2,8,,1,3,-,2,1,12,1,2,1,-,8,9,26,29,2,3,36,41,0.88
Kolbeinn Sigthórsson,9,72'47,-,-,1,1,,-,1,3,1,-,-,-,-,-,0,0,4,4,3,3,7,7,1
Davy Klaassen,10,94'19,-,1,1,1,2,,2,2,-,4,4,1,1,1,1,1,11,12,8,8,20,21,0.95
Ricardo Kishna,11,45'02,-,1,-,-,1,1,,-,-,-,-,-,-,-,0,0,1,2,2,4,3,6,0.5
Lucas Andersen,16,94'19,-,5,-,1,-,1,2,,8,1,6,-,1,1,0,0,15,17,11,13,26,30,0.87
Lasse Schöne,20,94'19,-,3,5,2,2,2,2,8,,3,6,1,1,-,1,1,23,23,11,13,35,37,0.95
Nick Viergever,26,94'19,1,-,1,4,1,4,4,-,5,,5,-,1,-,0,1,21,22,5,6,26,29,0.9
Niki Zimling,32,55'12,2,5,6,2,3,2,2,7,5,2,,-,1,-,3,3,30,33,4,4,37,40,0.92
Jairo Riedewald 12,,39'06,1,1,3,2,-,-,-,1,4,1,-,,3,1,0,0,16,17,1,1,17,18,0.94
Arkadiusz Milik 19,,49'17,-,-,-,1,-,1,-,2,2,2,-,1,,1,1,1,4,5,5,7,10,13,0.77
Anwar El Ghazi 21,,21'32,-,1,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,1,2,1,2,0.5
Total passes received:,,,16,26,39,34,12,14,13,30,35,30,32,11,12,4,29,33,215 228,,64,77,308,338,0.91
,,,,,,,,,,,,,,,,,,,,,,,,02:44:38CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
