Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 21 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Arena AufSchalke - Gelsenkirchen,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Schalke 04,,,,,,,,,4 - 3,,,,,Sporting Clube de Portugal,,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,9,10,12,15,20,22,24,25,33,7,13,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Ralf Fährmann,1,96'08,,11,-,-,2,-,-,-,5,-,-,-,-,-,1,2,15,15,2,2,18,19,0.95
Benedikt Höwedes,4,96'08,8,,4,6,15,19,-,3,17,1,4,2,5,-,16,16,62,62,6,6,84,84,1
Kevin-Prince Boateng,9,47'07,-,3,,2,2,2,3,4,1,-,2,-,-,-,1,1,14,17,4,5,19,23,0.83
Julian Draxler,10,83'56,-,4,1,,3,3,4,-,1,2,6,2,1,-,5,5,16,17,6,8,27,30,0.9
Marco Höger,12,96'08,1,10,6,1,,4,2,16,19,3,8,-,4,-,9,11,54,55,11,11,74,77,0.96
Dennis Aogo,15,96'08,3,9,1,6,5,,-,1,1,4,7,1,5,-,3,3,32,34,8,9,43,46,0.93
Chinedu Obasi,20,66'08,-,1,-,-,3,-,,7,2,1,-,-,-,-,1,1,8,8,5,9,14,18,0.78
Atsuto Uchida,22,96'08,2,1,2,1,12,2,8,,9,3,6,1,2,2,2,2,37,39,12,13,51,54,0.94
Kaan Ayhan,24,96'08,5,25,2,4,9,2,-,11,,1,6,-,-,-,7,9,52,53,6,7,65,69,0.94
Klaas-Jan Huntelaar,25,96'08,-,1,1,3,5,2,3,-,-,,1,1,-,-,1,1,7,8,9,11,17,20,0.85
Roman Neustädter,33,96'08,1,9,3,1,4,7,2,8,9,3,,4,4,-,8,8,34,39,13,14,55,61,0.9
Max Meyer,7,30'01,-,-,-,2,2,2,-,1,-,-,1,,3,2,2,2,7,9,4,4,13,15,0.87
Eric Maxim Choupo-Moting 13,,49'02,-,-,-,3,5,2,-,3,1,1,2,1,,-,1,1,10,11,7,9,18,21,0.86
Sidney Sam 18,,12'12,-,-,-,-,-,-,-,-,-,-,-,1,-,,0,0,1,2,0,0,1,2,0.5
Total passes received:,,,20,74,20,29,67,45,22,54,65,19,43,13,24,4,57,62,349 369,,93,108,499,539,0.93
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,9,14,17,18,23,26,33,41,77,10,11,29,PC,PA,PC,PA,PC,PA,PC,PA,%
Rui Patrício,1,96'08,,1,-,-,-,-,-,-,1,3,-,-,-,1,2,2,4,4,0,0,6,6,1
Maurício,3,32'12,-,,-,-,-,-,1,-,6,-,-,-,-,-,1,2,6,6,0,0,7,8,0.88
Islam Slimani,9,24'24,-,-,,2,-,-,1,1,-,1,1,-,-,-,0,0,4,4,2,2,6,6,1
William Carvalho,14,96'08,1,1,-,,2,7,7,2,3,3,3,1,-,2,5,5,18,21,9,9,32,35,0.91
João Mário,17,37'42,-,1,1,1,,1,1,1,3,5,1,-,-,-,1,1,10,10,4,5,15,16,0.94
André Carrillo,18,90'58,-,-,2,4,-,,4,1,3,10,3,3,-,-,0,0,19,20,11,11,30,31,0.97
Adrien Silva,23,96'08,-,-,1,5,1,3,,1,3,1,8,2,-,2,2,4,19,19,6,8,27,31,0.87
Paulo Oliveira,26,96'08,-,3,-,3,-,-,3,,1,4,-,1,-,2,2,3,10,10,5,5,17,18,0.94
Jonathan Silva,33,96'08,-,1,-,-,1,3,5,1,,-,7,-,-,1,0,1,11,12,8,9,19,22,0.86
Cédric,41,96'08,1,-,-,3,2,12,-,3,-,,3,-,-,1,2,2,15,18,8,9,25,29,0.86
Nani,77,96'08,-,-,1,3,1,1,7,-,3,-,,6,-,-,0,0,13,17,9,9,22,26,0.85
Fredy Montero 10,,71'45,-,-,-,2,2,1,-,-,1,2,2,,-,-,1,1,4,4,5,7,10,12,0.83
Diego Capel 11,,5'11,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Naby Sarr 29,,58'26,1,-,-,1,-,1,-,3,3,2,1,1,-,,0,1,13,13,0,0,13,14,0.93
Total passes received:,,,3,7,5,24,9,29,29,13,27,31,29,14,0,9,16,22,146 158,,67,74,229,254,0.9
,,,,,,,,,,,,,,,,,,,,,,,,02:43:58CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
