Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 21 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stamford Bridge - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea FC,,,,,,,,,6 - 0,,,,,,,,NK Maribor,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,4,5,8,10,18,21,22,26,6,11,35,PC,PA,PC,PA,PC,PA,PC,PA,%
Petr Čech,1,93'11,,4,7,2,3,-,-,-,-,-,2,-,-,1,5,5,11,11,3,3,19,19,1
Branislav Ivanović,2,93'11,1,,-,8,14,6,5,-,1,10,2,3,1,1,1,4,31,34,20,21,52,59,0.88
Filipe Luís,3,93'11,1,1,,7,3,10,16,-,5,7,11,2,2,-,7,7,38,41,20,22,65,70,0.93
Cesc Fàbregas,4,60'05,-,11,3,,5,6,9,1,10,7,3,-,2,-,4,6,36,40,17,19,57,65,0.88
Kurt Zouma,5,93'11,4,13,2,7,,1,-,-,5,1,13,4,1,-,9,9,36,37,6,6,51,52,0.98
Oscar,8,73'17,-,1,3,6,1,,9,-,6,9,2,-,-,-,2,2,22,25,13,15,37,42,0.88
Eden Hazard,10,93'11,-,6,10,4,1,4,,1,4,8,2,3,3,-,6,9,18,23,22,30,46,62,0.74
Loïc Rémy,18,15'10,-,1,-,-,-,-,-,,-,-,-,-,-,-,0,1,1,1,0,1,1,3,0.33
Nemanja Matić,21,93'11,1,3,7,7,7,5,8,-,,7,7,4,3,1,7,7,41,42,12,14,60,63,0.95
Willian,22,93'11,-,6,12,4,2,3,9,2,6,,6,1,2,-,9,9,33,38,11,11,53,58,0.91
John Terry,26,93'11,4,2,12,7,8,7,3,1,9,1,,2,-,-,3,3,43,43,10,10,56,56,1
Nathan Aké,6,33'07,-,3,1,-,3,1,3,-,4,3,3,,2,-,1,1,13,14,9,10,23,25,0.92
Didier Drogba 11,,78'01,-,3,1,3,-,-,4,-,-,1,-,-,,-,2,3,4,5,6,10,12,18,0.67
Dominic Solanke 35,,19'54,-,1,-,-,-,-,1,-,-,-,-,2,-,,0,0,2,2,2,3,4,5,0.8
Total passes received:,,,11,55,58,55,47,43,67,5,50,54,51,21,16,3,56,66,329 356 151 175,,,,536,597,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,4,5,7,9,10,26,28,30,39,70,11,14,22,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasmin Handanovič,33,93'11,,1,-,2,-,1,3,-,2,1,-,-,-,-,4,4,5,5,1,1,10,10,1
Marko Šuler,4,93'11,-,,7,2,1,-,8,3,3,4,6,-,-,-,7,7,24,24,3,3,34,34,1
Željko Filipović,5,93'11,1,3,,12,2,5,4,4,5,3,6,-,1,4,9,10,34,41,7,8,50,59,0.85
Aleš Mejač,7,93'11,1,6,5,,1,8,-,2,5,9,6,-,-,-,2,3,23,25,18,20,43,48,0.9
Tavares,9,72'47,-,-,2,5,,8,2,4,2,1,5,-,-,1,0,0,17,17,13,14,30,31,0.97
Agim Ibraimi,10,68'59,-,-,3,7,4,,3,4,3,-,3,-,-,1,1,2,17,19,10,14,28,35,0.8
Aleksander Rajčevič,26,93'11,4,11,3,1,-,-,,-,12,-,4,-,-,1,2,2,27,29,7,7,36,38,0.95
Mitja Viler,28,57'03,1,3,2,-,3,3,-,,-,8,1,-,-,-,1,1,15,16,5,7,21,24,0.88
Petar Stojanovič,30,93'11,-,2,4,6,1,1,10,1,,-,4,-,1,5,1,2,25,31,9,15,35,48,0.73
Damjan Bohar,39,93'11,-,3,5,4,4,2,1,3,1,,2,-,-,3,2,2,20,20,6,9,28,31,0.9
Aleš Mertelj,70,93'11,-,4,7,4,3,6,-,4,8,2,,1,1,9,2,2,28,28,19,23,49,53,0.92
Luka Zahovič 11,,24'13,-,-,-,-,-,-,-,-,2,1,-,,1,1,1,2,2,2,2,3,5,7,0.71
Jean-Philippe Mendy 14,,20'24,-,-,2,1,-,-,-,-,1,-,-,1,,1,0,0,3,3,3,3,6,6,1
Dare Vršič 22,,36'09,-,-,4,-,1,2,2,-,4,2,4,2,3,,0,0,15,17,9,10,24,27,0.89
Total passes received:,,,7,33,44,44,20,36,33,25,48,31,41,4,7,26,32,37,255 277 112 137,,,,399,451,0.88
,,,,,,,,,,,,,,,,,,,,,,,,03:39:07CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
