Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 3 - Tuesday 21 October 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Estádio do Dragão - Porto,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Porto,,,,,,,,,2 - 1,,,,,,,,Athletic Club,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,3,4,6,8,9,10,11,16,26,7,30,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Fabiano,12,93'09,,3,4,12,1,-,2,-,-,-,1,1,-,-,5,10,18,18,1,1,24,29,0.83
Danilo,2,93'09,-,,-,10,2,4,-,7,14,11,1,-,-,-,4,10,36,40,9,11,49,61,0.8
Bruno Martins Indi,3,93'09,6,-,,6,2,5,1,3,-,3,7,-,-,-,5,7,25,26,3,3,33,36,0.92
Maicon,4,93'09,6,16,9,,3,1,1,3,2,6,1,1,-,1,8,9,38,40,4,4,50,53,0.94
Casemiro,6,71'13,3,5,2,3,,2,-,8,3,6,5,-,-,-,9,12,19,20,9,9,37,41,0.9
Yacine Brahimi,8,93'09,1,3,1,1,5,,4,2,3,4,2,1,1,1,4,5,20,21,5,6,29,32,0.91
Jackson Martínez,9,93'09,-,-,-,-,-,4,,2,1,4,-,1,-,-,1,2,7,12,4,5,12,19,0.63
Juan Quintero,10,64'33,-,4,1,1,6,1,2,,5,9,3,-,-,-,6,8,17,21,9,11,32,40,0.8
Cristian Tello,11,82'12,-,6,1,-,-,-,5,4,,6,2,-,-,3,2,2,18,21,7,10,27,33,0.82
Hector Herrera,16,93'09,-,16,3,6,8,1,1,9,5,,1,-,-,-,8,11,32,35,10,13,50,59,0.85
Alex Sandro,26,93'09,2,2,3,1,-,6,-,1,1,3,,2,1,2,1,4,17,19,6,7,24,30,0.8
Ricardo Quaresma,7,21'57,-,-,-,-,-,1,-,-,-,-,1,,-,-,0,0,1,2,1,1,2,3,0.67
Óliver Torres 30,,10'57,-,-,-,-,-,2,-,-,-,-,-,-,,-,0,0,1,1,1,2,2,3,0.67
Rúben Neves 36,,28'37,-,-,-,2,-,1,-,-,1,2,2,2,1,,1,3,8,8,2,2,11,13,0.85
Total passes received:,,,18,55,24,42,27,28,16,39,35,54,26,8,3,7,54,83,257 284,,71,85,382,452,0.85
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,6,8,10,14,16,17,20,22,24,7,18,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Gorka Iraizoz,1,93'09,,9,-,2,3,-,6,-,1,-,-,-,-,-,5,6,16,16,0,0,21,22,0.95
Aymeric Laporte,4,93'09,6,,3,11,-,1,7,2,-,-,2,5,-,2,2,6,32,37,5,5,39,48,0.81
Mikel San José,6,46'02,-,3,,1,-,2,4,-,1,1,1,-,-,-,2,4,9,9,2,5,13,18,0.72
Ander Iturraspe,8,93'09,4,6,3,,4,4,4,2,1,5,4,3,-,8,11,14,27,30,10,10,48,54,0.89
Óscar de Marcos,10,93'09,-,1,2,2,,5,5,-,-,3,-,-,-,1,1,3,17,21,1,2,19,26,0.73
Markel Susaeta,14,93'09,-,1,1,4,3,,1,1,2,2,3,4,-,2,2,4,14,15,8,10,24,29,0.83
Xabier Etxeita,16,93'09,6,7,3,6,2,4,,-,4,1,1,1,-,1,4,7,29,31,3,4,36,42,0.86
Mikel Rico,17,73'26,-,1,1,-,3,5,3,,1,1,-,2,-,1,2,5,12,13,4,5,18,23,0.78
Aritz Aduriz,20,46'02,-,-,-,-,-,3,-,1,,-,-,-,-,-,0,1,3,3,1,3,4,7,0.57
Guillermo Fernández,22,93'09,1,-,1,4,5,1,-,1,1,,1,2,-,1,1,1,12,12,5,7,18,20,0.9
Mikel Balenziaga,24,93'09,2,3,-,2,-,2,-,2,2,-,,-,-,2,1,2,8,12,6,8,15,22,0.68
Beñat,7,47'08,-,-,-,4,1,2,-,1,-,4,2,,1,3,1,4,10,13,7,7,18,24,0.75
Carlos Gurpegi 18,,19'44,-,-,-,-,-,-,-,-,-,-,-,1,,-,0,0,0,0,1,2,1,2,0.5
Iker Muniain 19,,47'08,-,2,-,8,-,-,-,5,-,-,2,3,-,,0,0,13,14,7,9,20,23,0.87
Total passes received:,,,19,33,14,44,21,29,30,15,13,17,16,21,1,21,32,57,202 226,,60,77,294,360,0.82
,,,,,,,,,,,,,,,,,,,,,,,,03:05:01CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,22 Oct 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
