Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 5 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - Amsterdam ArenA - Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,
,AFC Ajax,,,,,,,,,0 - 2,,,,,,,FC Barcelona,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,22,2,3,4,5,9,10,16,20,21,25,12,19,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasper Cillessen,22,93'07,,1,9,8,1,-,-,-,-,-,1,-,-,1,1,4,20,20,0,1,21,25,0.84
Ricardo van Rhijn,2,93'07,2,,5,4,1,-,1,1,1,4,3,-,1,-,4,5,15,20,4,7,23,32,0.72
Joël Veltman,3,71'19,8,3,,14,2,-,2,2,-,6,12,-,-,-,8,8,36,40,5,5,49,53,0.92
Niklas Moisander,4,93'07,5,4,14,,7,1,4,2,4,1,4,2,-,-,7,10,36,36,5,5,48,51,0.94
Nicolai Boilesen,5,93'07,5,-,1,3,,1,-,3,11,1,6,-,-,-,0,1,22,26,9,10,31,37,0.84
Kolbeinn Sigthórsson,9,62'47,-,-,-,1,1,,2,3,2,-,4,-,-,-,0,0,7,7,6,9,13,16,0.81
Davy Klaassen,10,93'07,-,1,-,-,1,2,,1,5,7,1,1,-,-,0,1,12,15,7,12,19,28,0.68
Lucas Andersen,16,72'50,-,3,-,1,3,2,1,,3,1,5,-,-,-,0,0,12,14,7,10,19,24,0.79
Lasse Schöne,20,93'07,-,1,-,2,7,3,7,3,,-,2,-,-,1,0,1,15,18,11,13,26,32,0.81
Anwar El Ghazi,21,93'07,1,3,1,1,1,1,4,-,-,,1,-,1,-,1,1,7,11,6,14,14,26,0.54
Thulani Serero,25,80'12,1,5,12,6,7,1,-,5,4,2,,1,1,-,1,2,36,37,8,9,45,48,0.94
Jairo Riedewald 12,,20'17,-,3,-,-,1,-,-,-,1,-,1,,-,-,0,0,5,5,1,2,6,7,0.86
Arkadiusz Milik 19,,30'20,-,-,-,-,1,-,2,-,-,-,-,-,,-,0,0,1,3,2,2,3,5,0.6
Stefano Denswil 24,,12'56,1,-,-,-,1,-,-,-,-,-,-,-,-,,0,0,2,2,0,0,2,2,1
Total passes received:,,,23,24,42,40,34,11,23,20,31,22,40,4,3,2,22,33,226 254,,71,99,319,386,0.83
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,5,6,9,10,11,14,15,18,22,7,12,21,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,93'07,,-,1,2,-,-,1,10,5,2,5,-,-,-,10,12,15,15,1,1,26,28,0.93
Ivan Rakitić,4,80'29,3,,9,2,4,10,1,5,9,3,8,-,-,-,2,3,38,42,14,16,54,61,0.89
Sergio Busquets,5,93'07,-,7,,9,4,14,-,14,11,6,4,-,4,3,2,3,55,58,19,20,76,81,0.94
Xavi Hernández,6,93'07,1,8,12,,4,8,9,6,5,8,7,2,5,-,6,6,49,53,20,21,75,80,0.94
Luis Suárez,9,93'07,-,3,2,2,,5,4,-,4,1,4,-,1,-,1,4,13,15,12,17,26,36,0.72
Lionel Messi,10,93'07,-,7,7,9,5,,2,-,3,2,8,2,2,3,0,0,26,32,24,29,50,61,0.82
Neymar,11,75'02,-,2,1,3,3,2,,1,-,5,1,-,-,-,1,1,12,13,5,6,18,20,0.9
Javier Mascherano,14,93'07,12,3,7,13,4,1,1,,22,11,6,-,1,-,14,17,60,62,7,7,81,86,0.94
Marc Bartra,15,93'07,6,8,15,3,2,1,-,24,,1,10,-,-,4,7,9,59,61,8,11,74,81,0.91
Jordi Alba,18,93'07,1,-,4,12,2,1,7,13,2,,1,2,-,-,4,5,27,30,14,15,45,50,0.9
Daniel Alves,22,83'41,-,13,3,-,9,11,-,3,6,-,,2,1,-,2,3,33,39,13,15,48,57,0.84
Pedro Rodríguez,7,18'05,-,-,-,1,-,1,-,-,-,1,-,,-,-,0,0,1,1,2,2,3,3,1
Rafinha 12,,12'38,-,-,3,2,1,-,-,2,-,1,1,-,,3,0,1,9,10,4,4,13,15,0.87
Adriano 21,,9'26,-,-,2,-,-,5,-,2,2,-,-,-,2,,1,1,8,10,4,4,13,15,0.87
Total passes received:,,,23,51,66,58,38,59,25,80,69,41,55,8,16,13,50,65,405 441 147 168,,,,602,674,0.89
,,,,,,,,,,,,,,,,,,,,,,,,04:17:51CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,06 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
