Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 5 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Stadion Ljudski vrt - Maribor,,,,,,,,,,,,,,,,,,,,,,,,,
,NK Maribor,,,,,,,,,1 - 1,,,,,,,,Chelsea FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,33,5,8,9,10,11,26,28,30,44,70,6,14,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Jasmin Handanovič,33,93'35,,-,-,-,-,-,1,2,2,1,-,-,-,-,2,5,4,5,0,0,6,10,0.6
Željko Filipović,5,93'35,-,,2,3,8,2,3,8,2,1,9,-,1,-,4,6,27,30,8,10,39,46,0.85
Sintayehu Sallalich,8,92'13,-,4,,1,3,1,1,3,2,1,2,-,-,-,0,0,12,14,6,7,18,21,0.86
Tavares,9,93'35,-,2,6,,9,2,1,3,3,-,4,-,1,1,3,5,15,16,14,17,32,38,0.84
Agim Ibraimi,10,90'10,-,5,2,9,,6,-,3,4,-,3,-,2,-,2,4,23,27,9,9,34,40,0.85
Luka Zahovič,11,73'14,-,2,1,3,5,,-,-,1,-,-,-,-,-,0,0,9,10,3,3,12,13,0.92
Aleksander Rajčevič,26,93'35,2,2,-,1,-,-,,2,3,3,-,-,-,-,1,1,10,12,2,2,13,15,0.87
Mitja Viler,28,93'35,2,6,5,4,2,3,-,,-,4,1,-,-,-,1,2,23,25,3,3,27,30,0.9
Petar Stojanovič,30,93'35,1,4,2,5,5,3,3,-,,2,2,-,2,-,1,1,20,21,8,11,29,33,0.88
Arghus,44,93'35,-,2,1,1,-,-,1,5,-,,3,-,1,-,0,2,10,11,4,4,14,17,0.82
Aleš Mertelj,70,93'35,-,9,2,3,6,1,1,1,8,-,,-,2,-,2,3,20,22,11,12,33,37,0.89
Welle Ndiaye,6,1'22,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Jean-Philippe Mendy 14,,20'21,-,1,-,3,-,-,-,-,1,-,-,-,,-,0,0,3,3,2,3,5,6,0.83
Damjan Bohar 39,,3'25,-,-,-,1,-,-,-,-,1,-,-,-,-,,0,0,1,1,1,1,2,2,1
Total passes received:,,,5,37,21,34,38,18,11,27,27,12,24,0,9,1,16,29,177 197,,71,82,264,308,0.86
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,4,5,10,11,14,21,22,26,7,8,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Petr Čech,1,93'35,,2,2,5,3,1,-,-,-,-,1,-,-,-,4,6,9,9,1,1,14,16,0.88
Branislav Ivanović,2,93'35,1,,1,11,8,7,-,3,7,1,4,-,3,1,3,6,31,33,13,13,47,52,0.9
Filipe Luís,3,56'09,-,-,,7,2,7,-,-,8,2,6,-,3,1,2,2,26,30,8,8,36,40,0.9
Cesc Fàbregas,4,93'35,-,4,5,,9,12,13,8,15,6,4,1,7,2,7,10,62,64,17,20,86,94,0.91
Kurt Zouma,5,93'35,3,8,2,13,,1,-,-,9,-,13,6,2,1,9,11,42,44,7,7,58,62,0.94
Eden Hazard,10,93'35,-,4,8,7,-,,9,1,-,3,-,3,7,3,4,5,18,22,23,30,45,57,0.79
Didier Drogba,11,93'35,-,3,1,2,-,5,,1,-,1,-,-,1,2,2,3,7,12,7,11,16,26,0.62
André Schürrle,14,46'00,-,6,1,2,5,-,2,,1,2,1,-,-,-,1,1,14,15,5,5,20,21,0.95
Nemanja Matić,21,93'35,-,4,8,23,8,6,-,1,,3,7,4,3,2,4,6,52,53,13,16,69,75,0.92
Willian,22,46'00,-,2,2,2,1,4,3,4,3,,-,-,-,-,3,3,10,10,8,9,21,22,0.95
John Terry,26,93'35,1,9,10,6,12,3,-,-,12,2,,-,4,-,5,7,43,44,11,11,59,62,0.95
Ramires,7,37'26,-,-,-,2,1,1,1,-,1,-,-,,5,-,0,0,10,12,1,1,11,13,0.85
Oscar,8,47'35,-,5,2,5,-,5,2,-,2,-,1,1,,5,0,1,15,17,13,13,28,31,0.9
Diego Costa 19,,47'35,-,-,-,-,-,3,1,-,2,-,1,-,1,,0,0,5,5,3,6,8,11,0.73
Total passes received:,,,5,47,42,85,49,55,31,18,60,20,38,15,36,17,44,61,344 370 130 151,,,,518,582,0.89
,,,,,,,,,,,,,,,,,,,,,,,,03:34:36CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,06 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
