Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Wednesday 5 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group H - Estadio de San Mamés - Bilbao,,,,,,,,,,,,,,,,,,,,,,,,,
,Athletic Club,,,,,,,,,0 - 2,,,,,,,,FC Porto,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,6,7,10,11,14,17,18,22,24,15,19,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Gorka Iraizoz,1,95'05,,2,-,-,1,1,-,-,-,2,1,-,1,-,5,10,3,3,0,0,8,13,0.62
Aymeric Laporte,4,95'05,3,,14,1,2,3,2,-,8,1,3,2,1,2,9,14,28,32,5,6,42,52,0.81
Mikel San José,6,95'05,4,8,,2,2,2,1,6,8,1,5,1,6,2,2,7,34,36,12,15,48,58,0.83
Beñat,7,46'04,-,-,2,,1,3,1,3,-,-,-,-,-,-,1,2,5,7,4,5,10,14,0.71
Óscar de Marcos,10,95'05,2,-,1,1,,-,5,-,2,2,-,-,3,-,0,1,8,11,8,9,16,21,0.76
Ibai Gómez,11,73'39,-,3,-,4,-,,-,1,1,2,2,1,-,-,1,2,9,12,4,5,14,19,0.74
Markel Susaeta,14,46'04,-,-,1,1,5,-,,3,-,-,-,-,-,-,0,1,4,5,6,10,10,16,0.62
Mikel Rico,17,95'05,1,2,3,2,2,2,4,,2,3,2,1,1,1,0,0,16,18,10,14,26,32,0.81
Carlos Gurpegi,18,95'05,8,9,6,-,4,1,2,2,,-,1,1,1,-,4,5,27,28,4,6,35,39,0.9
Guillermo Fernández,22,95'05,-,3,2,-,1,3,-,4,-,,-,1,1,-,0,2,8,12,7,7,15,21,0.71
Mikel Balenziaga,24,95'05,1,7,4,-,-,3,-,1,1,5,,-,4,-,2,3,19,22,5,6,26,31,0.84
Andoni Iraola 15,,49'01,1,1,-,-,2,1,-,-,-,1,-,,-,-,0,0,5,6,1,2,6,8,0.75
Iker Muniain 19,,49'01,-,2,4,-,-,-,-,1,-,1,2,-,,-,0,0,9,10,1,3,10,13,0.77
Borja Viguera 21,,21'25,-,-,1,-,-,-,-,1,1,1,1,1,-,,0,1,4,7,2,2,6,10,0.6
Total passes received:,,,20,37,38,11,20,19,15,22,23,19,17,8,18,5,24,48,179 209,,69,90,272,347,0.78
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,12,2,3,4,6,8,9,11,16,26,30,7,18,36,PC,PA,PC,PA,PC,PA,PC,PA,%
Fabiano,12,95'05,,1,2,4,-,-,3,1,-,3,-,-,-,-,5,7,8,8,1,1,14,16,0.88
Danilo,2,95'05,-,,-,5,2,1,3,7,5,1,3,3,-,-,5,9,21,26,4,5,30,40,0.75
Bruno Martins Indi,3,95'05,5,-,,3,2,2,3,-,1,9,-,-,-,-,3,5,20,20,2,3,25,28,0.89
Maicon,4,95'05,2,16,5,,2,1,5,3,1,3,2,1,-,-,11,15,25,26,5,5,41,46,0.89
Casemiro,6,95'05,3,3,2,4,,2,2,-,2,2,4,1,-,-,4,5,12,15,9,12,25,32,0.78
Yacine Brahimi,8,91'30,2,-,-,4,2,,3,1,3,4,6,-,-,-,5,6,15,16,5,7,25,29,0.86
Jackson Martínez,9,95'05,-,3,-,-,-,1,,1,1,2,2,1,-,1,2,3,6,10,4,6,12,19,0.63
Cristian Tello,11,60'39,-,5,1,1,3,1,2,,2,-,1,-,-,-,2,2,9,10,5,7,16,19,0.84
Hector Herrera,16,95'05,-,5,1,2,4,3,6,5,,2,2,-,-,2,5,7,14,15,13,19,32,41,0.78
Alex Sandro,26,95'05,2,-,2,3,4,11,-,1,2,,4,-,2,-,8,13,18,23,5,6,31,42,0.74
Óliver Torres,30,82'15,-,4,-,4,1,5,-,2,3,9,,-,-,-,3,4,18,21,7,10,28,35,0.8
Ricardo Quaresma,7,34'25,-,1,-,-,-,-,-,-,-,-,1,,-,1,0,0,2,4,1,1,3,5,0.6
Adrián López 18,,3'35,-,-,-,-,-,-,-,-,-,1,-,-,,-,0,0,1,2,0,0,1,2,0.5
Rúben Neves 36,,12'50,-,2,-,-,-,-,-,-,1,-,-,1,1,,2,2,2,2,1,1,5,5,1
Total passes received:,,,14,40,13,30,20,27,27,21,21,36,25,7,3,4,55,78,171 198,,62,83,288,359,0.8
,,,,,,,,,,,,,,,,,,,,,,,,06:26:22CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,06 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
