Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Malmö New Stadium - Malmö,,,,,,,,,,,,,,,,,,,,,,,,
,Malmö FF,,,,,,,,,0 - 2,,,,,,Club Atlético de Madrid,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,25,3,4,6,7,8,9,20,21,24,33,11,14,PC,PA,PC,PA,PC,PA,PC,PA,%
Robin Olsen,25,96'07,,4,1,-,1,3,-,3,2,1,-,-,1,6,7,9,10,1,1,16,18,0.89
Anton Tinnerholm,3,96'07,2,,-,2,7,8,2,-,4,-,-,1,5,1,1,25,27,5,8,31,36,0.86
Filip Helander,4,96'07,2,1,,9,2,10,-,12,5,-,-,-,-,4,5,30,32,7,7,41,44,0.93
Markus Halsti,6,96'07,1,11,14,,4,6,3,9,-,2,2,-,4,11,12,40,42,5,5,56,59,0.95
Magnus Eriksson,7,96'07,1,9,3,2,,3,-,4,-,2,-,-,1,5,7,15,15,5,6,25,28,0.89
Enock Adu,8,96'07,1,11,5,12,6,,1,8,4,2,7,-,1,6,8,44,44,8,8,58,60,0.97
Markus Rosenberg,9,96'07,-,2,-,1,2,1,,-,-,1,2,1,3,2,3,7,7,4,5,13,15,0.87
Ricardinho,20,96'07,1,-,4,5,3,6,4,,3,3,9,5,-,8,8,30,37,5,9,43,54,0.8
Erik Johansson,21,65'22,-,7,9,1,1,2,-,1,,1,2,-,-,6,7,17,17,1,2,24,26,0.92
Isaac Kiese Thelin,24,96'07,-,-,-,-,1,2,1,-,1,,2,-,1,0,0,5,7,3,5,8,12,0.67
Emil Forsberg,33,88'07,-,-,-,-,1,2,1,13,-,-,,-,-,0,0,13,15,4,5,17,20,0.85
Simon Thern 11,,8'01,-,-,1,-,-,1,1,2,-,-,-,,-,0,0,5,7,0,1,5,8,0.62
Simon Kroon 14,,30'45,-,2,-,2,3,-,3,-,-,1,-,1,,0,1,7,9,5,5,12,15,0.8
Total passes received:,,,8,47,37,34,31,44,16,52,19,13,24,8,16,49,59,247 269,,53,67,349,395,0.88
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,4,6,8,9,10,14,20,23,7,21,PC,PA,PC,PA,PC,PA,PC,PA,%
Miguel Ángel Moyà,1,96'07,,-,2,-,-,-,-,-,-,-,2,-,-,2,3,2,2,0,0,4,5,0.8
Diego Godín,2,96'07,-,,1,2,-,2,1,-,1,2,1,-,-,3,3,5,6,2,2,10,11,0.91
Guilherme Siqueira,3,96'07,-,2,,1,4,-,1,-,-,-,-,-,-,1,2,5,8,2,2,8,12,0.67
Mario Suárez,4,96'07,-,3,2,,7,-,1,-,5,2,1,1,-,1,2,15,15,6,6,22,23,0.96
Koke,6,96'07,-,3,4,2,,4,2,6,8,2,-,1,-,0,2,19,24,13,16,32,42,0.76
Raúl García,8,96'07,-,-,1,1,2,,2,3,6,11,-,1,-,2,5,16,19,9,11,27,35,0.77
Mario Mandžukić,9,70'59,-,-,-,-,3,-,,4,-,-,-,-,-,0,0,2,3,5,8,7,11,0.64
Arda Turan,10,78'01,-,-,2,2,7,4,1,,3,7,-,-,-,0,0,13,14,13,15,26,29,0.9
Gabi,14,96'07,1,3,3,3,12,6,-,9,,10,-,2,-,5,7,31,35,13,15,49,57,0.86
Juanfran,20,96'07,-,1,-,3,3,5,1,4,11,,-,-,-,0,0,14,16,14,14,28,30,0.93
Miranda,23,96'07,-,1,1,-,-,4,-,-,4,1,,-,-,2,3,5,5,4,5,11,13,0.85
Antoine Griezmann,7,25'09,-,-,-,-,-,1,-,-,1,-,-,,-,0,0,1,1,1,2,2,3,0.67
Cristian Rodríguez 21,,18'06,-,-,1,-,1,-,-,-,-,-,-,-,,0,0,1,1,1,1,2,2,1
Total passes received:,,,1,13,17,14,39,26,9,26,39,35,4,5,0,16,27,129 149,,83,97,228,273,0.84
,,,,,,,,,,,,,,,,,,,,,,,,02:48:31CET
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,
