Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Juventus Stadium - Turin,,,,,,,,,,,,,,,,,,,,,,,,,
,Juventus,,,,,,,,,3 - 2,,,,,,,Olympiacos FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,8,9,10,19,21,22,23,26,14,20,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,95'55,,4,3,-,-,-,3,3,1,1,2,1,-,-,3,4,8,8,7,7,18,19,0.95
Giorgio Chiellini,3,95'55,2,,5,6,-,5,7,19,15,4,4,1,1,-,7,7,50,51,12,14,69,72,0.96
Paul Pogba,6,95'55,-,6,,1,3,8,-,8,10,5,6,1,-,-,5,6,31,33,12,13,48,52,0.92
Claudio Marchisio,8,71'18,-,6,2,,3,1,3,4,1,6,12,1,-,-,6,8,25,26,8,10,39,44,0.89
Álvaro Morata,9,58'14,-,1,1,1,,4,-,-,-,-,-,-,-,-,1,2,3,3,3,3,7,8,0.88
Carlos Tévez,10,95'55,-,1,3,1,1,,-,4,2,7,1,3,-,-,0,1,8,12,15,18,23,31,0.74
Leonardo Bonucci,19,95'55,-,13,3,3,1,1,,7,2,6,8,1,-,-,7,9,31,33,7,8,45,50,0.9
Andrea Pirlo,21,95'55,1,11,9,7,1,2,6,,20,9,11,1,1,-,17,20,51,55,11,12,79,87,0.91
Kwadwo Asamoah,22,83'50,-,15,17,-,1,5,1,11,,7,-,-,-,-,2,2,39,43,16,18,57,63,0.9
Arturo Vidal,23,95'55,1,2,4,2,3,7,5,10,5,,10,1,-,1,6,8,34,34,11,14,51,56,0.91
Stephan Lichtsteiner,26,95'55,1,2,3,13,2,4,6,3,1,6,,3,1,2,4,6,29,34,14,14,47,54,0.87
Fernando Llorente 14,,37'41,-,1,1,-,-,4,-,-,1,1,1,,3,-,3,3,5,6,4,4,12,13,0.92
Simone Padoin 20,,24'37,-,1,2,-,-,-,-,1,-,1,-,-,,-,0,0,5,5,0,1,5,6,0.83
Roberto Pereyra 37,,12'06,-,-,-,-,-,-,-,1,-,-,-,-,1,,0,0,2,3,0,0,2,3,0.67
Total passes received:,,,5,63,53,34,15,41,31,71,58,53,55,13,7,3,61,76,321 346 120 136,,,,502,558,0.9
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,16,2,3,5,6,7,8,10,14,22,26,11,17,19,PC,PA,PC,PA,PC,PA,PC,PA,%
Roberto,16,95'55,,-,1,-,-,1,-,1,2,2,7,2,-,-,8,10,8,8,0,0,16,18,0.89
Giannis Maniatis,2,83'39,1,,2,1,-,-,5,4,7,-,2,-,-,-,1,1,15,17,6,6,22,24,0.92
Alberto Botía,3,95'55,4,1,,-,4,-,3,-,3,2,3,1,-,1,5,6,14,14,3,3,22,23,0.96
Luka Milivojević,5,95'55,1,3,2,,1,1,6,-,5,2,2,-,-,-,8,8,12,14,3,3,23,25,0.92
Ibrahim Afellay,6,95'55,-,1,1,7,,7,2,3,5,3,7,-,1,1,2,2,27,29,9,10,38,41,0.93
Kostas Mitroglou,7,95'55,-,2,-,1,7,,1,2,-,-,3,-,-,1,1,1,9,11,7,7,17,19,0.89
Delvin N'Dinga,8,78'07,-,3,6,2,3,-,,5,9,4,7,-,-,-,4,6,28,29,7,7,39,42,0.93
Alejandro Domínguez,10,72'11,-,3,1,5,7,2,5,,1,-,-,-,-,-,3,3,15,18,6,6,24,27,0.89
Omar Elabdellaoui,14,95'55,-,9,3,1,5,1,6,3,,-,1,-,-,-,1,2,15,17,13,13,29,32,0.91
Éric Abidal,22,95'55,4,1,1,3,4,1,2,1,-,,4,-,-,2,5,5,15,17,3,3,23,25,0.92
Arthur Masuaku,26,95'55,1,-,-,4,10,2,3,5,-,2,,1,1,1,0,1,15,19,15,18,30,38,0.79
Pajtim Kasami 11,,17'48,-,-,-,1,-,-,-,-,1,-,-,,2,-,0,0,4,4,0,0,4,4,1
Dimitris Diamantakos 17,,12'16,-,-,-,-,-,-,-,-,1,-,-,-,,1,0,0,1,1,1,1,2,2,1
David Fuster 19,,23'44,-,1,-,-,1,1,-,-,1,-,1,1,-,,0,0,5,5,1,1,6,6,1
Total passes received:,,,11,24,17,25,42,16,33,24,35,15,37,5,4,7,38,45,183 203,,74,78,295,326,0.9
,,,,,,,,,,,,,,,,,,,,,,,,02:44:22CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
