Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - St. Jakob-Park - Basel,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Basel 1893,,,,,,,,,4 - 0,,,,,,PFC Ludogorets 1945,,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,7,11,16,17,19,20,25,33,34,36,10,21,39,PC,PA,PC,PA,PC,PA,PC,PA,%
Tomáš Vaclík,1,96'05,,-,1,9,6,1,2,-,3,-,2,-,-,-,7,8,15,15,2,2,24,25,0.96
Luca Zuffi,7,96'05,-,,2,-,-,7,3,4,2,1,3,1,1,1,1,2,17,18,7,8,25,28,0.89
Shkelzen Gashi,11,76'11,-,6,,-,1,10,7,2,1,-,2,-,-,-,2,2,22,23,5,8,29,33,0.88
Fabian Schär,16,96'05,7,-,-,,12,10,3,2,6,5,3,1,5,1,13,16,40,45,2,3,55,64,0.86
Marek Suchý,17,96'05,6,2,2,14,,14,4,-,9,-,-,2,2,-,5,5,47,47,3,3,55,55,1
Behrang Safari,19,96'05,3,6,14,2,5,,11,-,6,1,3,-,-,-,3,3,42,42,6,7,51,52,0.98
Fabian Frei,20,83'10,1,2,8,5,6,3,,7,11,5,4,-,-,-,7,12,39,45,6,6,52,63,0.83
Derlis Gonzalez,25,71'26,-,4,-,-,-,-,-,,6,7,7,-,-,-,2,3,13,16,9,14,24,33,0.73
Mohamed Elneny,33,96'05,1,-,1,8,8,1,13,11,,14,3,2,1,1,1,3,55,57,8,9,64,69,0.93
Taulant Xhaka,34,96'05,1,2,1,11,-,-,1,8,14,,1,-,2,-,3,3,29,32,9,14,41,49,0.84
Breel Embolo,36,96'05,-,4,3,-,1,-,2,7,1,3,,1,-,1,2,2,10,14,11,16,23,32,0.72
Matías Delgado 10,,19'54,-,3,-,2,-,2,1,-,-,1,-,,2,2,1,1,9,9,3,3,13,13,1
Marcelo Díaz 21,,12'55,1,-,-,2,2,1,-,-,1,3,-,4,,5,1,1,15,15,3,3,19,19,1
Davide Calla 39,,24'39,-,1,-,-,-,-,-,-,-,2,2,1,3,,0,0,3,6,6,6,9,12,0.75
Total passes received:,,,20,30,32,53,41,49,47,41,60,42,30,12,16,11,48,61,356 384,,80,102,484,547,0.88
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,21,7,8,9,16,17,18,27,55,80,84,12,15,99,PC,PA,PC,PA,PC,PA,PC,PA,%
Vladislav Stoyanov,21,96'05,,2,-,-,2,1,2,-,5,1,-,-,-,-,5,7,8,8,0,0,13,15,0.87
Mihail Alexandrov,7,96'05,1,,2,-,-,-,3,-,3,11,8,-,2,2,2,4,18,20,12,13,32,37,0.86
Fábio Espinho,8,66'22,-,4,,-,6,3,5,2,6,5,8,-,-,-,5,6,27,28,7,9,39,43,0.91
Roman Bezjak,9,48'07,-,-,1,,-,-,-,-,-,1,1,-,-,-,0,0,1,1,2,3,3,4,0.75
Brayan Angulo,16,96'05,1,1,3,1,,16,3,1,1,-,6,1,6,1,2,2,25,32,14,15,41,49,0.84
Dani Abalo,17,96'05,-,1,5,-,5,,5,1,1,1,3,1,3,1,1,1,18,20,8,8,27,29,0.93
Svetoslav Dyakov,18,96'05,3,5,3,1,7,3,,2,4,3,8,2,8,1,7,8,37,39,6,7,50,54,0.93
Cosmin Moţi,27,21'00,-,-,3,-,1,-,-,,4,3,-,-,-,-,1,2,10,10,0,0,11,12,0.92
Georgi Terziev,55,96'05,6,5,3,1,1,-,8,4,,16,1,-,10,1,5,5,41,43,10,10,56,58,0.97
Júnior Caiçara,80,96'05,1,12,6,1,-,-,5,-,10,,11,3,1,2,4,4,34,37,14,17,52,58,0.9
Marcelinho,84,96'05,1,6,4,2,3,6,8,-,3,10,,4,1,2,7,8,20,25,23,30,50,63,0.79
Anicet Abel 12,,29'43,-,3,-,-,-,2,3,-,1,-,4,,-,-,0,0,6,6,7,8,13,14,0.93
Aleksandrov 15,,75'05,2,-,-,-,12,-,4,-,13,3,3,2,,-,1,1,32,32,6,6,39,39,1
Younes Hamza 99,,47'58,-,1,2,-,3,-,2,-,-,-,1,-,1,,1,2,6,8,3,3,10,13,0.77
Total passes received:,,,15,40,32,6,40,31,48,10,51,54,54,13,32,10,41,50,283 309 112 129,,,,436,488,0.89
,,,,,,,,,,,,,,,,,,,,,,,,02:29:21CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
