Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Estadio Santiago Bernabéu - Madrid,,,,,,,,,,,,,,,,,,,,,,,,,
,Real Madrid CF,,,,,,,,,1 - 0,,,,,,,Liverpool FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,4,7,8,9,10,12,17,19,23,11,14,18,PC,PA,PC,PA,PC,PA,PC,PA,%
Iker Casillas,1,93'17,,6,7,-,2,1,-,3,-,1,-,-,-,-,1,1,17,17,2,2,20,20,1
Raphaël Varane,2,93'17,4,,12,1,7,2,1,3,16,8,-,-,-,1,5,5,41,42,9,9,55,56,0.98
Sergio Ramos,4,93'17,2,5,,1,23,1,2,11,1,9,13,1,-,1,3,4,55,56,12,12,70,72,0.97
Cristiano Ronaldo,7,93'17,-,-,-,,7,9,3,4,2,2,5,-,-,-,0,0,9,12,23,27,32,39,0.82
Toni Kroos,8,93'17,-,4,7,10,,9,3,13,9,34,27,1,-,1,12,14,74,79,32,32,118,125,0.94
Karim Benzema,9,87'01,-,-,1,14,8,,4,4,1,3,4,1,-,-,1,1,19,19,20,25,40,45,0.89
James Rodríguez,10,62'10,-,2,2,6,6,5,,-,2,10,5,-,-,-,2,2,23,23,13,15,38,40,0.95
Marcelo,12,93'17,-,6,12,5,10,5,-,,1,3,14,2,-,-,3,4,33,36,22,22,58,62,0.94
Álvaro Arbeloa,17,83'05,4,9,2,3,5,2,9,1,,10,3,3,-,-,1,2,34,35,16,18,51,55,0.93
Luka Modrić,19,93'17,1,3,12,5,22,8,10,3,13,,12,1,-,2,3,5,69,71,20,22,92,98,0.94
Isco,23,93'17,-,-,2,10,23,5,6,17,5,12,,-,-,-,4,4,53,60,23,24,80,88,0.91
Gareth Bale 11,,31'07,-,1,-,1,1,-,-,-,1,-,1,,1,1,0,1,4,4,3,3,7,8,0.88
Javier Hernández 14,,6'16,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Nacho 18,,10'12,-,1,1,-,-,-,-,-,-,1,-,-,-,,0,0,3,3,0,0,3,3,1
Total passes received:,,,11,37,58,56,114,47,38,59,51,93,84,9,1,6,35,43,434 457 195 211,,,,664,711,0.93
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,22,4,18,19,20,21,23,24,29,37,50,8,10,31,PC,PA,PC,PA,PC,PA,PC,PA,%
Simon Mignolet,22,93'17,,3,2,1,1,2,-,-,-,5,-,1,1,-,1,1,14,14,1,1,16,16,1
Kolo Touré,4,93'17,4,,12,1,2,3,-,2,4,-,2,2,-,-,3,3,22,23,7,7,32,33,0.97
Alberto Moreno,18,93'17,3,8,,1,10,10,2,4,5,-,-,3,1,1,6,7,29,30,13,13,48,50,0.96
Javi Manquillo,19,93'17,-,1,1,,1,5,5,-,1,4,13,2,1,3,3,3,18,21,16,18,37,42,0.88
Adam Lallana,20,93'17,-,3,9,-,,2,2,8,1,-,2,-,1,-,1,1,18,20,9,12,28,33,0.85
Lucas,21,69'02,1,4,6,5,8,,13,8,1,6,8,-,-,-,3,3,50,51,7,9,60,63,0.95
Emre Can,23,74'21,-,4,4,6,2,12,,7,2,7,5,-,-,-,2,2,25,28,22,24,49,54,0.91
Joe Allen,24,93'17,-,4,8,2,2,3,7,,3,-,2,1,-,-,3,4,23,24,6,10,32,38,0.84
Fabio Borini,29,93'17,-,2,5,1,-,6,1,2,,-,1,-,-,-,1,1,14,14,3,5,18,20,0.9
Martin Škrtel,37,93'17,4,2,1,7,1,5,5,-,-,,-,3,-,-,1,1,22,22,5,6,28,29,0.97
Lazar Marković,50,68'48,-,-,1,11,1,5,12,-,1,-,,-,-,-,2,2,12,13,17,18,31,33,0.94
Steven Gerrard,8,24'15,-,-,2,2,2,-,-,1,1,2,-,,4,1,5,9,9,9,1,1,15,19,0.79
Coutinho 10,,18'56,-,-,-,1,1,-,-,-,-,-,-,1,,3,1,1,2,3,3,5,6,9,0.67
Raheem Sterling 31,,24'30,-,-,-,1,2,-,-,-,-,-,-,3,1,,0,1,2,2,5,5,7,8,0.88
Total passes received:,,,12,31,51,39,33,53,47,32,19,24,33,16,9,8,32,39,260 274 115 134,,,,407,447,0.91
,,,,,,,,,,,,,,,,,,,,,,,,02:45:05CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
