Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group C - Estádio do SL Benfica - Lisbon,,,,,,,,,,,,,,,,,,,,,,,,,
,SL Benfica,,,,,,,,,1 - 0,,,,,,,AS Monaco FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,20,4,7,9,10,14,18,30,33,34,35,11,24,32,PC,PA,PC,PA,PC,PA,PC,PA,%
Júlio César,20,95'26,,2,1,-,1,1,2,-,7,1,2,1,-,-,2,3,15,15,1,1,18,19,0.95
Luisão,4,95'26,2,,3,-,1,9,2,2,11,1,5,2,-,-,3,3,27,29,8,9,38,41,0.93
Andreas Samaris,7,62'55,-,6,,1,4,4,3,2,10,4,10,-,-,-,7,7,33,36,4,7,44,50,0.88
Derley,9,86'57,-,-,-,,1,-,2,5,-,1,-,-,-,-,0,0,5,7,4,8,9,15,0.6
Nicolás Gaitán,10,91'24,-,-,2,8,,1,1,4,-,6,4,1,-,-,1,2,20,26,6,8,27,36,0.75
Maxi Pereira,14,95'26,-,4,3,1,2,,18,1,1,-,8,1,-,-,1,3,27,30,11,16,39,49,0.8
Eduardo Salvio,18,95'26,-,2,1,1,2,8,,5,-,-,7,4,-,-,0,1,18,21,12,16,30,38,0.79
Talisca,30,95'26,-,-,3,1,11,2,5,,1,2,3,2,-,-,2,3,21,24,7,8,30,35,0.86
Jardel,33,95'26,3,6,16,1,1,-,-,3,,6,2,1,-,-,3,5,29,34,7,7,39,46,0.85
André Almeida,34,95'26,1,-,-,1,9,1,2,3,3,,1,1,-,-,2,2,12,15,8,8,22,25,0.88
Enzo Pérez,35,95'26,3,5,6,-,3,16,6,9,2,2,,-,-,-,3,4,35,39,14,18,52,61,0.85
Lima 11,,32'31,-,-,-,1,2,1,4,-,-,-,1,,-,-,0,0,8,10,1,3,9,13,0.69
Bryan Cristante 24,,8'29,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Tiago 32,,4'01,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0
Total passes received:,,,9,25,35,15,37,43,45,34,35,23,43,13,0,0,24,33,250 286,,83,109,357,428,0.83
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,2,3,6,8,11,17,19,22,24,28,7,18,23,PC,PA,PC,PA,PC,PA,PC,PA,%
Danijel Subašić,1,95'26,,1,-,2,-,-,1,1,-,-,1,-,-,-,2,4,3,3,1,1,6,8,0.75
Fabinho,2,95'26,-,,-,3,2,-,8,1,4,3,5,1,-,-,4,5,15,21,8,9,27,35,0.77
Layvin Kurzawa,3,95'26,1,-,,3,-,3,1,-,3,1,2,-,-,1,1,3,13,17,1,2,15,22,0.68
Ricardo Carvalho,6,95'26,2,-,1,,2,3,-,-,4,4,3,1,-,-,2,5,16,19,2,2,20,26,0.77
João Moutinho,8,95'26,-,7,3,-,,2,10,4,5,3,2,1,-,1,2,5,22,28,14,16,38,49,0.78
Lucas Ocampos,11,63'27,-,-,1,2,2,,1,1,7,-,1,-,-,-,1,3,8,10,6,7,15,20,0.75
Ferreira-Carrasco,17,95'26,-,10,-,-,9,-,,2,2,1,-,1,-,1,5,9,10,12,11,14,26,35,0.74
Lacina Traoré,19,72'35,-,-,-,1,1,2,1,,1,-,-,2,-,-,0,0,5,6,3,3,8,9,0.89
Geoffrey Kondogbia,22,87'06,1,4,8,3,7,3,4,3,,-,6,2,-,1,6,6,24,29,12,12,42,47,0.89
Andrea Raggi,24,95'26,2,6,1,5,-,-,-,1,-,,2,-,2,-,2,4,13,14,4,4,19,22,0.86
Jérémy Toulalan,28,95'26,2,4,4,-,5,1,3,1,3,5,,1,-,-,2,7,20,20,7,7,29,34,0.85
Nabil Dirar,7,31'59,-,-,-,1,2,-,-,1,2,-,3,,-,1,0,0,5,5,5,6,10,11,0.91
Valère Germain 18,,8'20,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,1,0,0,0,1,0
Anthony Martial 23,,22'50,-,-,2,-,-,-,1,-,-,-,-,1,-,,1,1,2,2,1,1,4,4,1
Total passes received:,,,8,32,20,20,30,14,30,15,31,17,25,10,2,5,28,52,156 187,,75,84,259,323,0.8
,,,,,,,,,,,,,,,,,,,,,,,,01:34:30CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
