Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 4 - Tuesday 4 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Arsenal Stadium - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Arsenal FC,,,,,,,,,3 - 3,,,,,,,RSC Anderlecht,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,8,15,16,17,18,19,21,23,7,9,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Wojciech Szczęsny,1,95'13,,4,4,-,-,-,1,6,1,1,-,-,-,-,3,3,14,14,0,0,17,17,1
Kieran Gibbs,3,95'13,-,,-,1,3,5,5,17,7,-,1,-,-,3,1,1,29,30,12,15,42,46,0.91
Per Mertesacker,4,95'13,8,-,,15,6,11,-,16,7,4,-,-,-,1,8,8,41,43,19,19,68,70,0.97
Mikel Arteta,8,62'31,-,6,11,,5,13,11,7,7,13,-,-,-,-,8,8,58,62,7,7,73,77,0.95
Oxlade-Chamberlain,15,82'05,-,2,2,1,,5,4,1,1,7,4,-,-,2,2,5,20,24,7,9,29,38,0.76
Aaron Ramsey,16,95'13,-,6,10,9,11,,6,7,7,4,1,3,1,2,4,5,44,46,19,21,67,72,0.93
Alexis Sánchez,17,95'13,-,2,2,-,5,11,,2,7,2,3,1,-,-,5,7,19,27,11,14,35,48,0.73
Nacho Monreal,18,95'13,3,15,11,21,1,5,4,,4,1,-,-,-,5,8,8,51,51,11,11,70,70,1
Santi Cazorla,19,95'13,-,5,2,8,3,4,9,2,,7,1,-,-,1,4,5,27,27,11,15,42,47,0.89
Calum Chambers,21,95'13,2,-,13,2,7,6,5,-,6,,-,-,-,-,1,1,26,28,14,16,41,45,0.91
Danny Welbeck,23,82'16,-,-,1,-,1,4,2,1,1,1,,-,-,-,0,0,6,8,5,5,11,13,0.85
Tomáš Rosický,7,13'07,-,-,-,-,-,1,-,-,-,-,-,,-,-,0,0,0,0,1,1,1,1,1
Lukas Podolski,9,12'57,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Mathieu Flamini 20,,32'42,1,4,-,-,1,5,2,4,-,1,-,-,-,,1,2,9,9,8,8,18,19,0.95
Total passes received:,,,14,44,56,57,43,70,49,63,48,41,10,4,1,14,45,53,344 369 125 141,,,,514,563,0.91
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,7,10,15,18,19,20,22,31,39,32,38,45,PC,PA,PC,PA,PC,PA,PC,PA,%
Silvio Proto,1,95'13,,1,1,-,-,1,1,-,3,-,-,1,2,1,3,3,8,8,0,0,11,11,1
Olivier Deschacht,3,95'13,1,,3,-,-,5,2,1,1,1,2,-,-,-,3,3,11,11,2,2,16,16,1
Andy Najar,7,95'13,-,1,,4,1,1,1,1,-,4,7,1,-,1,1,1,18,18,3,5,22,24,0.92
Dennis Praet,10,95'13,-,-,3,,4,4,4,-,1,4,3,-,2,-,1,2,16,17,8,10,25,29,0.86
Cyriac,15,62'23,-,-,-,2,,1,1,1,-,1,1,-,1,-,0,1,5,7,3,4,8,12,0.67
Frank Acheampong,18,95'13,2,3,1,2,1,,6,4,-,4,1,-,4,1,3,3,17,18,9,10,29,31,0.94
Sacha Kljestan,19,95'13,-,4,4,5,3,6,,2,1,5,4,2,-,2,2,3,27,29,9,9,38,41,0.93
Ibrahima Conté,20,46'09,-,-,-,1,2,1,5,,-,3,-,-,-,-,0,0,7,9,5,7,12,16,0.75
Chancel Mbemba,22,54'45,2,2,-,-,-,-,1,1,,2,2,-,-,-,0,0,9,9,1,1,10,10,1
Youri Tielemans,31,95'13,1,2,3,3,1,7,5,1,-,,6,1,1,-,5,8,22,25,4,4,31,37,0.84
Anthony Vanden Borre,39,95'13,-,-,6,4,4,3,6,1,1,1,,2,-,1,2,3,17,20,10,13,29,36,0.81
Leander Dendoncker 32,,40'28,1,1,1,-,-,-,-,-,-,1,3,,-,-,2,2,5,6,0,0,7,8,0.88
Andy Kawaya 38,,49'04,-,-,-,1,-,4,1,-,-,3,1,-,,1,1,1,7,7,3,3,11,11,1
Aleksandar Mitrović 45,,32'49,-,-,-,1,-,1,1,-,-,1,1,-,-,,0,0,1,2,4,5,5,7,0.71
Total passes received:,,,7,14,22,23,16,34,34,12,7,30,31,7,10,7,23,30,170 186,,61,73,254,289,0.88
,,,,,,,,,,,,,,,,,,,,,,,,01:35:04CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,05 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
