Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 26 November 2014,,,,,,,,,,,,,,,,,,,,,,,,
Group A - Malmö New Stadium - Malmö,,,,,,,,,,,,,,,,,,,,,,,,
,Malmö FF,,,,,,,,,0 - 2,,,,,,,,Juventus,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,25,3,4,6,7,8,9,20,21,24,33,15,31,PC,PA,PC,PA,PC,PA,PC,PA,%
Robin Olsen,25,94'15,,2,1,-,-,2,2,5,-,5,1,2,-,13,25,7,8,0,0,20,33,0.61
Anton Tinnerholm,3,85'51,2,,-,1,9,1,-,-,4,2,-,1,-,0,4,15,16,5,7,20,27,0.74
Filip Helander,4,94'15,5,1,,1,-,2,-,6,3,1,1,-,-,5,7,12,12,3,4,20,23,0.87
Markus Halsti,6,94'15,2,6,1,,2,5,2,-,1,2,2,1,-,6,6,12,14,6,8,24,28,0.86
Magnus Eriksson,7,94'15,-,7,1,2,,-,5,5,6,-,1,-,-,7,7,16,24,4,7,27,38,0.71
Enock Adu,8,94'15,2,1,3,4,5,,1,13,2,3,2,-,2,7,7,24,26,7,8,38,41,0.93
Markus Rosenberg,9,94'15,-,1,1,4,1,1,,2,-,2,5,1,1,0,0,14,17,5,8,19,25,0.76
Ricardinho,20,94'15,2,2,3,4,3,6,7,,1,1,9,2,1,8,15,27,32,6,9,41,56,0.73
Erik Johansson,21,89'33,2,2,1,3,7,2,1,4,,2,-,1,-,5,6,16,16,4,6,25,28,0.89
Isaac Kiese Thelin,24,70'22,-,-,-,-,3,3,2,1,-,,1,-,-,0,1,6,11,4,7,10,19,0.53
Emil Forsberg,33,94'15,-,2,1,-,-,3,7,10,-,-,,1,-,2,2,13,13,9,11,24,26,0.92
Pawel Cibicki 15,,23'52,-,-,-,-,2,-,2,-,-,-,1,,-,0,0,3,3,2,5,5,8,0.62
Erdal Rakip 31,,8'23,-,-,-,-,-,2,-,-,-,-,-,1,,0,0,1,1,2,3,3,4,0.75
Total passes received:,,,15,24,12,19,32,27,29,46,17,18,23,10,4,53,80,166 193,,57,83,276,356,0.78
,,,To,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,6,8,10,14,19,20,21,23,26,9,37,PC,PA,PC,PA,PC,PA,PC,PA,%
Gianluigi Buffon,1,94'15,,13,1,1,-,-,9,1,3,-,2,1,-,5,5,26,26,0,0,31,31,1
Giorgio Chiellini,3,94'15,5,,14,9,7,2,2,5,8,12,2,1,1,10,15,47,52,11,12,68,79,0.86
Paul Pogba,6,94'15,-,10,,3,2,1,2,9,2,13,4,1,-,3,7,28,31,16,20,47,58,0.81
Claudio Marchisio,8,83'48,-,9,-,,6,5,3,4,5,9,10,2,-,11,11,34,40,8,11,53,62,0.85
Carlos Tévez,10,94'15,-,1,3,4,,1,1,2,6,6,5,1,-,1,2,21,23,8,10,30,35,0.86
Fernando Llorente,14,72'37,-,-,3,2,-,,-,1,-,3,5,-,-,0,1,6,7,8,8,14,16,0.88
Leonardo Bonucci,19,94'15,1,5,4,8,2,-,,-,5,5,6,-,1,5,7,28,33,4,6,37,46,0.8
Simone Padoin,20,94'15,2,10,5,2,3,-,-,,7,6,-,1,-,1,2,26,26,9,9,36,37,0.97
Andrea Pirlo,21,94'15,1,7,11,8,8,2,4,10,,6,4,2,-,6,12,43,48,14,15,63,75,0.84
Arturo Vidal,23,94'15,-,6,8,8,11,2,3,6,13,,15,-,2,9,11,44,50,21,21,74,82,0.9
Stephan Lichtsteiner,26,94'15,-,-,1,19,3,4,6,-,4,7,,-,2,1,1,26,31,19,22,46,54,0.85
Álvaro Morata,9,21'37,-,-,1,1,1,-,-,-,-,1,-,,-,0,0,2,3,2,2,4,5,0.8
Roberto Pereyra 37,,10'26,-,-,1,-,-,-,2,-,-,1,-,-,,0,0,2,2,2,3,4,5,0.8
Total passes received:,,,9,61,52,65,43,17,32,38,53,69,53,9,6,52,74,333 372 122 139,,,,507,585,0.87
,,,,,,,,,,,,,,,,,,,,,,,,02:30:10CET
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,27 Nov 2014
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,
