Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 26 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - Natsionalen Stadion Vasil Levski - Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC Ludogorets 1945,,,,,,,,,,2 - 2,,,,,,,,Liverpool FC,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,21,7,8,17,18,25,27,55,80,84,93,11,88,99,,PC,PA,PC,PA,PC,PA,PC,PA,%
Vladislav Stoyanov,21,93'13,,1,2,-,3,1,3,6,-,-,-,-,1,-,,3,3,12,12,2,2,17,17,1
Mihail Alexandrov,7,71'59,-,,3,2,6,-,-,-,3,1,1,-,-,-,,1,1,9,11,6,7,16,19,0.84
Fábio Espinho,8,80'24,1,4,,4,8,6,6,3,7,3,5,1,-,-,,6,8,30,32,12,14,48,54,0.89
Dani Abalo,17,68'58,-,2,4,,3,-,2,-,1,7,4,-,-,-,,1,2,10,11,12,13,23,26,0.88
Svetoslav Dyakov,18,93'13,-,3,11,5,,5,5,5,7,10,5,1,-,-,,2,5,42,47,13,18,57,70,0.81
Yordan Minev,25,93'13,-,-,4,7,4,,7,-,-,3,3,3,1,1,,5,7,23,24,5,7,33,38,0.87
Cosmin Moţi,27,93'13,3,-,8,2,6,13,,14,3,7,6,2,-,-,,12,13,49,52,3,4,64,69,0.93
Georgi Terziev,55,93'13,-,2,3,2,7,-,21,,13,1,1,1,2,-,,13,13,34,35,6,7,53,55,0.96
Júnior Caiçara,80,93'13,1,5,5,-,2,-,-,12,,6,3,1,2,-,,2,2,26,31,9,10,37,43,0.86
Marcelinho,84,93'13,-,1,5,2,10,4,4,1,9,,5,-,1,2,,4,4,25,30,15,20,44,54,0.81
Virgil Misidjan,93,93'13,-,-,4,3,4,4,9,-,1,4,,-,-,-,,1,1,14,15,14,15,29,31,0.94
Júnior Quixadá 11,,24'14,-,-,-,-,-,1,1,-,-,4,-,,2,-,,0,0,4,6,4,5,8,11,0.73
Wanderson 88,,21'14,-,-,1,-,2,-,-,1,-,2,1,2,,-,,0,0,7,7,2,3,9,10,0.9
Younes Hamza 99,,12'49,-,-,-,-,-,-,-,1,1,-,-,-,-,,,0,0,2,2,0,1,2,3,0.67
Total passes received:,,,5,18,50,27,55,34,58,43,45,48,34,11,9,3,,50,59,287 315 103 126,,,,440,500,0.88
,,,To,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,,
From,,TP,22,2,4,8,9,14,19,21,24,31,37,18,,PC,PA,PC,PA,PC,PA,PC,PA,%,,
Simon Mignolet,22,93'13,,-,4,1,5,-,2,1,1,1,3,-,,9,13,9,9,0,0,18,22,0.82,,
Glen Johnson,2,93'13,1,,7,2,2,-,-,-,10,9,1,1,,2,2,24,25,7,7,33,34,0.97,,
Kolo Touré,4,93'13,5,7,,-,-,-,-,5,11,1,4,-,,1,1,25,27,7,9,33,37,0.89,,
Steven Gerrard,8,93'13,-,4,2,,2,5,4,8,3,10,1,1,,3,5,26,33,11,14,40,52,0.77,,
Rickie Lambert,9,93'13,-,1,-,7,,2,3,6,-,3,-,1,,0,1,12,16,11,14,23,31,0.74,,
Jordan Henderson,14,93'13,1,1,1,2,2,,2,10,3,3,2,-,,3,4,11,13,13,15,27,32,0.84,,
Javi Manquillo,19,93'13,1,-,1,-,-,3,,2,1,-,7,-,,1,2,12,13,2,4,15,19,0.79,,
Lucas,21,93'13,-,3,3,14,4,9,2,,9,2,10,-,,3,5,41,44,12,13,56,62,0.9,,
Joe Allen,24,93'13,-,7,5,12,2,1,3,9,,12,-,1,,2,3,35,36,15,17,52,56,0.93,,
Raheem Sterling,31,81'59,-,6,3,9,2,3,-,3,3,,-,-,,0,2,13,20,16,18,29,40,0.72,,
Martin Škrtel,37,93'13,6,-,8,-,2,3,2,9,-,-,,-,,4,6,21,21,5,5,30,32,0.94,,
Alberto Moreno 18,,11'14,-,-,-,-,1,-,-,-,-,-,-,,,0,0,0,0,1,1,1,1,1,,
Total passes received:,,,14,29,34,47,22,26,18,53,41,41,28,4,,28,44,229 257 100 117,,,,357,418,0.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,02:40:56CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,,27 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,,
