Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 26 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group B - St. Jakob-Park - Basel,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Basel 1893,,,,,,,,,0 - 1,,,,,,,Real Madrid CF,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,7,11,16,17,19,20,25,33,36,14,21,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Tomáš Vaclík,1,95'36,,2,-,1,2,3,3,1,1,1,-,-,1,-,3,4,10,10,2,2,15,16,0.94
Philipp Degen,4,75'50,-,,-,-,5,-,-,5,10,13,1,-,-,-,0,0,22,26,12,14,34,40,0.85
Luca Zuffi,7,86'06,-,-,,8,-,3,4,9,-,3,2,-,-,-,0,0,20,24,9,9,29,33,0.88
Shkelzen Gashi,11,95'36,-,-,3,,-,-,1,5,1,1,2,-,1,1,1,1,10,10,4,6,15,17,0.88
Fabian Schär,16,95'36,1,4,-,2,,3,2,7,1,3,5,-,3,-,5,8,22,23,4,4,31,35,0.89
Marek Suchý,17,95'36,6,2,3,-,3,,8,9,3,1,2,-,-,-,4,4,31,33,2,2,37,39,0.95
Behrang Safari,19,95'36,4,-,7,1,1,5,,5,-,-,4,-,-,-,1,3,22,28,4,4,27,35,0.77
Fabian Frei,20,82'49,-,12,7,3,9,3,5,,4,13,6,-,-,-,5,7,48,53,9,11,62,71,0.87
Derlis Gonzalez,25,95'36,-,6,1,-,2,1,1,3,,7,4,-,1,2,0,0,19,22,9,9,28,31,0.9
Mohamed Elneny,33,95'36,-,11,3,1,3,4,-,12,11,,2,1,-,4,5,6,38,42,9,14,52,62,0.84
Breel Embolo,36,95'36,-,-,5,4,1,1,-,3,1,2,,-,1,1,1,3,11,12,7,7,19,22,0.86
Yoichiro Kakitani 14,,9'30,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,1,0,0,0,1,0
Marcelo Díaz 21,,12'47,-,-,-,1,1,-,2,-,-,7,-,-,,-,2,2,4,5,5,5,11,12,0.92
Ahmed Hamoudi 24,,19'46,-,-,-,-,-,-,1,-,1,3,-,-,1,,0,0,2,3,4,4,6,7,0.86
Total passes received:,,,11,37,29,21,27,23,27,59,33,54,28,1,8,8,27,38,259 292,,80,91,366,421,0.87
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,5,7,8,9,10,11,17,23,12,18,24,PC,PA,PC,PA,PC,PA,PC,PA,%
Keylor Navas,13,95'36,,3,6,1,-,-,-,-,-,-,1,-,1,1,5,6,8,8,0,0,13,14,0.93
Raphaël Varane,2,95'36,2,,12,1,-,10,-,3,-,5,5,-,-,2,4,6,30,33,6,6,40,45,0.89
Sergio Ramos,4,95'36,3,7,,8,3,10,1,10,2,2,6,-,-,-,13,13,31,34,8,9,52,56,0.93
Fábio Coentrão,5,95'36,-,1,7,,3,5,1,6,4,-,3,-,-,1,0,1,16,19,15,17,31,37,0.84
Cristiano Ronaldo,7,95'36,-,1,1,2,,3,4,3,2,2,5,-,-,1,1,2,14,17,9,13,24,32,0.75
Toni Kroos,8,95'36,-,6,13,6,8,,4,12,4,6,13,-,-,-,11,12,46,48,15,17,72,77,0.94
Karim Benzema,9,70'27,-,1,1,3,7,2,,6,2,1,-,-,-,-,1,1,13,15,9,12,23,28,0.82
James Rodríguez,10,88'18,1,-,5,6,9,12,9,,2,6,9,-,-,2,5,8,32,37,24,25,61,70,0.87
Gareth Bale,11,95'36,-,1,1,3,1,1,1,2,,1,4,-,-,-,2,2,5,6,8,8,15,16,0.94
Álvaro Arbeloa,17,95'36,-,3,1,1,-,6,-,3,3,,5,-,-,3,1,1,13,14,11,11,25,26,0.96
Isco,23,92'10,1,10,6,4,10,12,2,6,4,2,,-,-,-,1,1,44,47,12,14,57,62,0.92
Marcelo 12,,7'18,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Nacho 18,,3'26,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Asier Illarramendi 24,,25'09,1,6,-,1,1,2,-,3,1,-,-,-,-,,3,4,8,9,4,5,15,18,0.83
Total passes received:,,,8,39,53,36,42,63,22,54,24,25,51,0,1,10,47,57,260 287 121 137,,,,428,481,0.89
,,,,,,,,,,,,,,,,,,,,,,,,02:43:16CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,27 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
