Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 26 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Constant Vanden Stock Stadium - Brussels,,,,,,,,,,,,,,,,,,,,,,,,,
,RSC Anderlecht,,,,,,,,,2 - 0,,,,,,,Galatasaray AŞ,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,7,10,16,18,20,22,31,39,45,15,19,38,PC,PA,PC,PA,PC,PA,PC,PA,%
Silvio Proto,1,97'36,,2,-,1,1,3,3,1,1,2,-,-,1,-,6,7,9,9,0,0,15,16,0.94
Olivier Deschacht,3,97'36,2,,-,2,3,11,-,6,2,-,2,-,2,-,2,3,22,23,6,6,30,32,0.94
Andy Najar,7,97'36,-,-,,4,-,-,6,2,3,10,-,-,-,-,1,1,17,21,7,7,25,29,0.86
Dennis Praet,10,85'49,-,-,2,,-,2,2,1,3,3,1,-,-,1,0,0,12,14,3,4,15,18,0.83
Steven Defour,16,47'46,-,3,2,-,,4,2,5,4,5,-,-,-,-,5,5,17,18,3,4,25,27,0.93
Frank Acheampong,18,97'36,4,9,-,-,3,,9,-,12,3,2,1,1,3,7,7,28,28,12,13,47,48,0.98
Ibrahima Conté,20,97'36,-,4,1,-,5,8,,-,9,3,2,-,3,-,1,2,21,23,13,14,35,39,0.9
Chancel Mbemba,22,97'36,2,-,2,2,2,2,2,,1,8,-,-,-,-,2,2,18,20,1,1,21,23,0.91
Youri Tielemans,31,97'36,-,3,4,5,4,11,6,3,,4,2,-,1,1,5,8,32,40,7,8,44,56,0.79
Anthony Vanden Borre,39,97'36,1,-,12,6,-,1,6,3,3,,4,-,-,-,7,8,21,25,8,9,36,42,0.86
Aleksandar Mitrović,45,91'19,-,1,2,-,-,2,3,-,1,2,,-,-,-,2,2,3,3,6,7,11,12,0.92
Cyriac 15,,6'18,-,-,-,-,-,-,-,-,-,-,-,,-,-,0,0,0,0,0,0,0,0,0
Sacha Kljestan 19,,11'48,-,1,-,-,-,2,2,1,1,-,-,-,,2,0,0,9,9,0,1,9,10,0.9
Andy Kawaya 38,,49'51,-,-,-,-,-,1,2,-,2,-,-,-,1,,0,0,5,5,1,1,6,6,1
Total passes received:,,,9,23,25,20,18,47,43,22,42,40,13,1,9,7,38,45,214 238,,67,75,319,358,0.89
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,4,8,10,11,13,17,21,26,77,9,20,PC,PA,PC,PA,PC,PA,PC,PA,%,
Fernando Muslera,1,97'36,,1,2,1,-,-,4,-,2,2,2,-,-,0,0,14,14,0,0,14,14,1,
Felipe Melo,3,97'36,2,,11,9,7,5,8,2,8,5,6,-,-,6,6,49,51,8,9,63,66,0.95,
Hamit Altıntop,4,92'33,-,8,,12,4,2,1,5,7,1,5,-,-,3,3,26,29,16,17,45,49,0.92,
Selçuk İnan,8,84'51,-,13,9,,2,5,7,2,3,5,10,1,-,6,7,38,41,13,13,57,61,0.93,
Wesley Sneijder,10,97'36,-,7,5,3,,13,7,3,1,-,1,-,-,3,3,28,29,9,12,40,44,0.91,
Bruma,11,77'03,-,2,2,4,10,,9,-,-,-,-,-,-,1,2,17,20,9,10,27,32,0.84,
Alex Telles,13,97'36,-,11,1,10,6,10,,2,2,1,1,1,-,1,2,27,29,17,17,45,48,0.94,
Burak Yılmaz,17,97'36,-,1,2,3,2,1,3,,-,-,2,-,-,2,2,4,6,8,9,14,17,0.82,
Aurélien Chedjou,21,97'36,1,10,6,6,2,-,4,2,,2,5,-,-,5,8,28,28,5,5,38,41,0.93,
Semih Kaya,26,97'36,2,5,1,6,-,3,3,-,5,,-,-,-,0,0,19,20,6,6,25,26,0.96,
Tarık Çamdal,77,97'36,1,3,8,6,1,1,2,2,5,-,,1,-,4,5,15,16,11,12,30,33,0.91,
Umut Bulut,9,20'33,-,-,-,-,-,-,1,-,-,-,-,,-,0,0,0,4,1,1,1,5,0.2,
Furkan Özçal 20,,5'03,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,0,0,0,0,0,0,
Total passes received:,,,6,61,47,60,34,40,49,18,33,16,32,3,0,31,38,265 287 103 111,,,,399,436,0.92,
,,,,,,,,,,,,,,,,,,,,,,,,02:51:55CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,27 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
