Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Wednesday 26 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group D - Arsenal Stadium - London,,,,,,,,,,,,,,,,,,,,,,,,,
,Arsenal FC,,,,,,,,,2 - 0,,,,,,,Borussia Dortmund,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,26,3,4,8,15,16,17,18,19,21,22,9,20,28,PC,PA,PC,PA,PC,PA,PC,PA,%
Emiliano Martínez,26,94'11,,1,2,1,-,-,-,1,1,-,2,1,-,-,6,13,3,3,0,1,9,17,0.53
Kieran Gibbs,3,94'11,1,,1,1,-,3,10,4,1,-,-,-,-,-,1,2,13,16,7,8,21,26,0.81
Per Mertesacker,4,94'11,6,2,,6,-,3,-,10,2,2,-,-,1,-,2,4,25,25,5,6,32,35,0.91
Mikel Arteta,8,66'18,-,4,4,,4,9,-,8,5,6,-,-,-,-,2,2,25,28,13,13,40,43,0.93
Oxlade-Chamberlain,15,89'18,-,-,3,2,,4,2,1,4,6,3,-,1,-,3,3,13,14,10,10,26,27,0.96
Aaron Ramsey,16,94'11,-,4,4,1,2,,9,3,8,8,2,-,-,-,2,3,23,27,16,18,41,48,0.85
Alexis Sánchez,17,94'11,-,3,-,2,3,4,,3,4,-,-,1,-,-,3,6,11,16,6,8,20,30,0.67
Nacho Monreal,18,94'11,8,7,5,7,-,3,2,,8,-,1,-,-,-,7,8,25,25,9,10,41,43,0.95
Santi Cazorla,19,94'11,-,7,4,5,5,4,4,2,,8,2,1,-,1,8,10,22,27,13,14,43,51,0.84
Calum Chambers,21,94'11,1,-,3,2,5,6,1,-,6,,2,1,2,1,3,4,17,19,10,15,30,38,0.79
Yaya Sanogo,22,78'56,-,2,-,-,4,2,1,-,4,1,,-,-,-,0,0,8,10,6,8,14,18,0.78
Lukas Podolski,9,15'15,-,-,-,-,-,1,3,-,1,-,-,,-,-,0,0,1,1,4,4,5,5,1
Mathieu Flamini 20,,27'53,-,-,1,-,1,1,-,1,-,1,-,-,,-,0,0,3,4,2,2,5,6,0.83
Joel Campbell 28,,4'53,-,-,-,-,-,-,-,-,-,1,-,-,-,,1,1,0,0,0,0,1,1,1
Total passes received:,,,16,30,27,27,24,40,32,33,44,33,12,4,4,2,38,56,189 215 101 117,,,,328,388,0.85
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,4,6,8,9,10,17,19,26,28,29,7,14,20,PC,PA,PC,PA,PC,PA,PC,PA,%
Roman Weidenfeller,1,94'11,,5,1,2,-,-,1,-,1,14,-,-,-,2,4,6,19,20,3,3,26,29,0.9
Neven Subotić,4,94'11,11,,10,9,2,2,1,1,13,7,-,1,-,3,4,5,47,51,9,9,60,65,0.92
Sven Bender,6,94'11,3,8,,17,1,6,5,2,6,9,8,3,1,-,5,5,50,52,14,16,69,73,0.95
İlkay Gündoğan,8,94'11,4,16,16,,3,10,4,3,10,13,7,2,2,1,11,15,62,69,18,20,91,104,0.88
Ciro Immobile,9,60'18,-,-,2,2,,-,3,2,2,-,-,-,-,-,0,0,6,6,5,6,11,12,0.92
Henrikh Mkhitaryan,10,94'11,-,2,3,8,2,,1,2,3,4,5,1,-,1,2,3,20,26,10,12,32,41,0.78
Aubameyang,17,60'29,-,-,1,4,1,-,,4,2,-,1,-,-,-,0,1,6,9,7,10,13,20,0.65
Kevin Grosskreutz,19,77'59,-,2,2,4,-,2,3,,3,1,2,-,-,1,1,1,10,12,9,14,20,27,0.74
Łukasz Piszczek,26,94'11,1,6,8,4,-,7,2,4,,-,-,3,1,-,1,3,25,27,10,13,36,43,0.84
Matthias Ginter,28,94'11,8,10,7,15,3,1,2,2,2,,10,-,-,3,7,10,51,51,5,5,63,66,0.95
Marcel Schmelzer,29,94'11,-,2,6,8,-,2,1,4,-,5,,-,-,1,1,1,20,24,8,12,29,37,0.78
Shinji Kagawa,7,33'53,-,-,1,1,-,-,-,1,1,2,-,,-,1,1,2,3,3,3,3,7,8,0.88
Miloš Jojić 14,,16'12,-,1,1,-,-,-,-,-,1,-,-,-,,-,1,1,1,1,1,1,3,3,1
Adrián Ramos 20,,33'42,-,-,1,2,-,1,-,-,-,1,1,2,-,,0,0,6,6,2,3,8,9,0.89
Total passes received:,,,27,52,59,76,12,31,23,25,44,56,34,12,4,13,38,53,326 357 104 127,,,,468,537,0.87
,,,,,,,,,,,,,,,,,,,,,,,,02:55:13CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,27 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
