Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 25 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group E - City of Manchester Stadium - Manchester,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City FC,,,,,,,,,,3 - 2,,,,,,,FC Bayern München,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,6,7,8,15,16,18,20,22,5,26,35,PC,PA,PC,PA,PC,PA,PC,PA,%
Joe Hart,1,95'06,,3,5,1,1,-,1,-,-,2,-,-,-,-,5,7,8,8,0,0,13,15,0.87
Bacary Sagna,3,69'03,-,,7,2,-,3,19,1,4,-,-,-,-,-,2,2,25,27,9,11,36,40,0.9
Vincent Kompany,4,95'06,5,12,,2,1,6,7,-,2,17,2,9,-,2,4,5,56,57,5,6,65,68,0.96
Fernando,6,95'06,2,6,9,,4,7,1,2,7,3,5,1,-,3,8,8,30,31,12,12,50,51,0.98
James Milner,7,66'45,1,1,-,2,,7,3,1,1,1,3,-,-,-,1,1,11,15,8,11,20,27,0.74
Samir Nasri,8,95'06,-,4,6,5,2,,7,2,6,4,8,2,-,2,3,4,27,28,18,24,48,56,0.86
Jesús Navas,15,95'06,-,12,4,8,2,9,,4,11,2,-,5,-,1,3,3,32,34,23,26,58,63,0.92
Sergio Agüero,16,94'34,-,-,-,2,2,2,2,,2,-,-,3,-,-,0,0,8,9,5,7,13,16,0.81
Frank Lampard,18,95'06,-,1,7,7,3,5,6,3,,4,3,2,-,1,5,5,28,30,9,12,42,47,0.89
Eliaquim Mangala,20,95'06,3,1,13,7,2,1,2,1,7,,8,-,-,2,3,5,38,39,6,6,47,50,0.94
Gaël Clichy,22,95'06,-,-,1,5,7,9,-,4,2,5,,-,-,2,4,9,19,21,12,12,35,42,0.83
Pablo Zabaleta,5,26'03,1,-,2,1,-,2,8,5,1,-,-,,-,-,3,5,10,10,7,8,20,23,0.87
Martín Demichelis 26,,32,-,-,-,-,-,-,-,-,-,-,-,-,,-,0,0,0,0,0,0,0,0,0
Stevan Jovetić 35,,28'21,-,-,-,-,-,4,1,2,-,1,2,-,-,,0,0,5,6,5,7,10,13,0.77
Total passes received:,,,12,40,54,42,24,55,57,25,43,39,31,22,0,13,41,54,297 315 119 142,,,,457,511,0.89
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,5,7,9,10,13,17,18,20,34,4,11,31,PC,PA,PC,PA,PC,PA,PC,PA,%
Manuel Neuer,1,95'06,,4,2,-,2,1,3,11,5,-,5,6,-,-,8,10,28,29,3,3,39,42,0.93
Xabi Alonso,3,95'06,6,,5,16,-,6,15,13,7,5,11,8,1,2,5,8,66,71,24,26,95,105,0.9
Medhi Benatia,5,19'52,3,3,,-,-,2,3,3,-,3,1,-,-,-,0,0,11,12,7,7,18,19,0.95
Franck Ribéry,7,81'31,2,14,-,,4,10,5,7,7,-,8,3,-,-,4,4,31,35,25,26,60,65,0.92
Robert Lewandowski,9,85'07,-,1,-,-,,7,1,1,1,1,4,1,-,-,0,0,11,15,6,9,17,24,0.71
Arjen Robben,10,95'06,-,4,-,10,5,,13,8,4,4,9,-,-,1,0,1,27,29,31,35,58,65,0.89
Rafinha,13,95'06,3,10,3,6,3,17,,9,-,2,11,2,1,-,1,1,35,35,31,32,67,68,0.99
Jérôme Boateng,17,95'06,12,15,1,3,9,10,8,,5,1,9,6,-,-,12,20,54,55,13,16,79,91,0.87
Juan Bernat,18,95'06,-,8,-,13,1,-,-,6,,-,8,5,-,-,0,0,26,27,15,16,41,43,0.95
Sebastian Rode,20,24'22,-,3,3,-,1,-,2,5,-,,1,-,-,-,0,0,9,12,6,6,15,18,0.83
Pierre Højbjerg,34,95'06,1,16,1,7,2,9,9,11,5,3,,5,1,-,1,3,45,49,24,26,70,78,0.9
Dante,4,70'44,7,7,-,7,1,-,2,1,6,-,10,,-,-,2,3,27,28,12,12,41,43,0.95
Xherdan Shaqiri 11,,9'59,-,-,-,-,-,1,1,-,-,-,2,-,,-,0,0,1,2,3,3,4,5,0.8
Schweinsteiger 31,,13'35,-,2,-,-,-,1,1,-,-,-,-,-,-,,0,0,3,4,1,1,4,5,0.8
Total passes received:,,,34,87,15,62,28,64,63,75,40,19,79,36,3,3,33,50,374 403 201 218,,,,608,671,0.91
,,,,,,,,,,,,,,,,,,,,,,,,02:06:10CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
