Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 25 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group F - GSP - Nicosia,,,,,,,,,,,,,,,,,,,,,,,,,
,APOEL FC,,,,,,,,,0 - 4,,,,,,,FC Barcelona,,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,78,3,5,8,9,15,16,21,26,28,46,7,30,79,PC,PA,PC,PA,PC,PA,PC,PA,%
Urko Pardo,78,93'03,,1,2,-,-,-,1,-,2,-,-,-,-,-,0,0,6,6,0,0,6,6,1
João Guilherme,3,84'43,-,,-,1,2,-,2,2,3,1,-,-,1,-,0,0,8,8,4,4,12,12,1
Carlão,5,93'03,2,2,,2,1,2,1,1,3,-,-,-,-,-,4,4,6,6,4,4,14,14,1
Tiago Gomes,8,93'03,-,1,-,,-,2,1,2,1,2,-,-,3,-,1,2,6,10,5,8,12,20,0.6
Cillian Sheridan,9,93'03,-,-,-,2,,1,3,-,1,1,1,1,2,-,0,0,4,4,8,11,12,15,0.8
Marios Antoniades,15,93'03,1,-,-,1,5,,1,1,-,-,3,-,-,2,2,4,9,10,3,4,14,18,0.78
Vinicius,16,74'17,-,3,2,-,3,-,,1,3,3,-,1,1,-,1,2,7,11,9,12,17,25,0.68
Gustavo Manduca,21,63'06,-,-,-,1,-,1,3,,4,-,-,-,-,-,0,0,3,6,6,6,9,12,0.75
Nuno Morais,26,93'03,3,-,2,2,2,4,2,4,,2,-,1,3,1,1,1,19,21,6,7,26,29,0.9
Mário Sérgio,28,93'03,2,-,-,2,2,1,2,2,3,,-,1,3,-,1,2,11,13,6,7,18,22,0.82
Stathis Aloneftis,46,45'59,-,-,-,-,-,1,-,-,-,-,,-,-,-,0,1,1,4,0,1,1,6,0.17
George Efrem,7,47'04,-,-,-,2,1,-,-,-,-,-,-,,1,-,1,1,2,3,1,1,4,5,0.8
Tomás De Vincenti 30,,29'57,-,-,-,1,-,3,2,-,4,2,-,1,,2,2,4,10,10,3,3,15,17,0.88
Rafik Djebbour 79,,18'45,-,-,-,-,-,1,-,-,-,1,-,1,1,,0,0,2,2,2,2,4,4,1
Total passes received:,,,8,7,6,14,16,16,18,13,24,12,4,6,15,5,13,21,94,114,57,70,164,205,0.8
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,1,3,4,7,9,10,12,14,15,18,22,5,6,21,PC,PA,PC,PA,PC,PA,PC,PA,%
ter Stegen,1,93'03,,7,1,-,2,-,1,2,5,2,3,-,-,-,9,9,13,13,1,1,23,23,1
Gerard Piqué,3,93'03,4,,4,1,1,13,2,15,23,4,20,1,1,1,18,19,63,63,9,9,90,91,0.99
Ivan Rakitić,4,62'28,-,2,,-,-,11,2,7,4,2,13,-,-,-,2,2,25,28,14,18,41,48,0.85
Pedro Rodríguez,7,93'03,2,-,2,,6,3,8,7,-,12,1,1,3,1,2,2,19,21,25,26,46,49,0.94
Luis Suárez,9,77'04,-,2,4,5,,4,2,2,-,2,4,-,3,-,0,0,11,13,17,22,28,35,0.8
Lionel Messi,10,93'03,-,7,11,5,6,,3,10,4,3,28,2,3,-,6,7,45,49,31,36,82,92,0.89
Rafinha,12,70'22,-,9,2,8,1,2,,11,7,9,1,-,2,2,3,3,44,45,7,8,54,56,0.96
Javier Mascherano,14,93'03,3,8,11,3,3,9,9,,11,19,17,-,6,4,27,27,65,67,11,12,103,106,0.97
Marc Bartra,15,93'03,6,20,1,8,-,-,4,8,,21,3,2,3,3,5,6,66,67,8,8,79,81,0.98
Jordi Alba,18,62'57,2,4,1,17,12,-,16,10,7,,4,-,-,-,9,12,42,43,22,25,73,80,0.91
Daniel Alves,22,93'03,-,13,7,-,5,42,1,8,1,-,,2,8,3,4,5,54,57,32,34,90,96,0.94
Sergio Busquets,5,15'59,-,-,-,-,-,1,-,3,3,-,6,,2,-,2,2,11,11,2,2,15,15,1
Xavi Hernández,6,30'35,-,2,-,4,2,3,-,5,3,-,6,3,,4,4,5,22,23,6,7,32,35,0.91
Adriano 21,,30'06,-,1,-,5,1,-,2,2,2,-,-,2,5,,3,3,12,12,5,5,20,20,1
Total passes received:,,,17,75,44,56,39,88,50,90,70,74,106,13,36,18,94,102,492,512 190 213,,,776,827,0.94
,,,,,,,,,,,,,,,,,,,,,,,,01:18:04CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
