Passing distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Matchday 5 - Tuesday 25 November 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Group G - Arena AufSchalke - Gelsenkirchen,,,,,,,,,,,,,,,,,,,,,,,,,
,FC Schalke 04,,,,,,,,,0 - 5,,,,,,,,Chelsea FC,,,,,,,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,,
From,,TP,1,3,4,5,9,12,13,15,22,25,33,7,11,PC,PA,PC,PA,PC,PA,PC,PA,%,
Ralf Fährmann,1,92'06,,-,-,2,1,-,1,2,1,-,8,-,1,6,6,9,9,1,1,16,16,1,
Jan Kirchhoff,3,45'03,-,,4,5,4,5,1,2,4,3,1,-,-,4,4,18,21,7,8,29,33,0.88,
Benedikt Höwedes,4,92'06,2,7,,1,7,2,10,11,1,2,9,3,-,1,1,35,36,19,19,55,56,0.98,
Felipe Santana,5,92'06,5,5,2,,1,8,1,5,2,-,11,1,-,1,2,31,32,9,10,41,44,0.93,
Kevin-Prince Boateng,9,62'56,-,5,7,-,,6,2,3,1,-,2,-,-,0,2,16,17,10,10,26,29,0.9,
Marco Höger,12,92'06,1,3,1,5,1,,6,8,17,4,6,-,5,2,4,46,50,9,10,57,64,0.89,
Choupo-Moting,13,92'06,-,5,6,-,3,4,,5,3,4,1,3,4,2,2,20,21,16,21,38,44,0.86,
Dennis Aogo,15,92'06,2,2,8,3,2,9,7,,3,3,12,5,2,4,9,45,46,9,10,58,65,0.89,
Atsuto Uchida,22,92'06,1,3,1,3,1,12,5,-,,1,-,4,10,0,1,21,23,20,21,41,45,0.91,
Klaas-Jan Huntelaar,25,92'06,-,1,4,-,3,5,8,4,3,,4,1,2,1,1,22,24,12,12,35,37,0.95,
Roman Neustädter,33,92'06,5,1,9,11,6,6,4,9,1,7,,5,1,8,8,46,46,11,11,65,65,1,
Max Meyer,7,29'10,-,-,6,-,-,3,2,3,4,3,2,,4,2,2,16,16,9,10,27,28,0.96,
Christian Clemens 11,,47'03,-,-,-,-,2,3,1,3,4,3,-,2,,0,1,12,12,6,8,18,21,0.86,
Total passes received:,,,16,32,48,30,31,63,48,55,44,30,56,24,29,31,43,337 353 138 151,,,,506,547,0.93,
,,,To,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Long,,Medium,,Short,,,Total,
From,,TP,13,2,4,8,10,19,21,22,24,26,28,7,11,14,PC,PA,PC,PA,PC,PA,PC,PA,%
Thibaut Courtois,13,92'06,,2,2,3,-,-,-,3,4,2,1,-,-,-,8,8,9,9,0,0,17,17,1
Branislav Ivanović,2,92'06,1,,5,6,5,-,4,14,18,1,-,-,1,-,2,3,39,40,14,16,55,59,0.93
Cesc Fàbregas,4,78'08,1,11,,17,9,4,12,10,7,6,13,-,-,-,18,23,53,56,19,21,90,100,0.9
Oscar,8,75'02,-,7,13,,11,5,7,6,4,2,6,-,1,-,3,4,45,46,14,17,62,67,0.93
Eden Hazard,10,92'06,-,7,12,9,,3,1,5,-,2,9,1,4,-,6,8,29,33,18,20,53,61,0.87
Diego Costa,19,65'50,-,2,-,2,4,,-,1,-,-,2,-,-,-,2,2,3,5,6,10,11,17,0.65
Nemanja Matić,21,92'06,-,8,6,4,5,2,,4,12,9,11,5,2,1,7,9,51,53,11,12,69,74,0.93
Willian,22,92'06,-,10,10,3,7,-,5,,3,3,5,1,3,1,7,9,30,32,14,15,51,56,0.91
Gary Cahill,24,92'06,3,9,12,4,2,-,13,1,,19,3,1,-,-,8,8,49,51,10,10,67,69,0.97
John Terry,26,92'06,1,1,14,4,4,-,15,3,8,,9,6,-,-,2,2,49,49,14,14,65,65,1
César Azpilicueta,28,92'06,1,-,9,12,15,1,4,7,1,11,,2,2,-,1,1,40,41,24,24,65,66,0.98
Ramires,7,17'04,-,1,1,-,1,-,5,-,5,1,3,,1,3,0,0,19,19,2,2,21,21,1
Didier Drogba 11,,26'16,-,1,-,-,3,-,2,2,-,-,1,2,,1,1,1,7,10,4,5,12,16,0.75
André Schürrle 14,,13'59,-,-,-,-,2,-,-,-,1,-,-,2,-,,1,1,2,2,2,2,5,5,1
Total passes received:,,,7,59,84,64,68,15,68,56,63,56,63,20,14,6,66,79,425 446 152 168,,,,643,693,0.93
,,,,,,,,,,,,,,,,,,,,,,,,01:07:16CET,
TP: Time played,PA: Passes attempted,,,,,,PC: Passes completed,,,,,,%: Passing success percentage,,,,,,,,,,,26 Nov 2014,
UEFA Media Information,,,,,,,,,,,,,,,,,,,,,,,,,
